{'短评内容': '不错的酒店，出入方便，好评', '短评打分': 5}
{'短评内容': '非常好很舒服', '短评打分': 5}
{'短评内容': '安静舒适早餐也不错', '短评打分': 5}
{'短评内容': '帮同事订的，还不错，第二次订了，离粤海大厦近', '短评打分': 5}
{'短评内容': '帮同事订的，还不错，第二次订了，离粤海大厦近', '短评打分': 5}
{'短评内容': '帮同事订的，还不错，第二次订了，离粤海大厦近！', '短评打分': 5}
{'短评内容': '地点不错，交通方便，也很安静。', '短评打分': 5}
{'短评内容': '几年前情侣出游就住这里，很喜欢周边的环境。吃饭的地方也有很多选择，酒店外有个叫枕边游戏的情趣店值得一去', '短评打分': 5}
{'短评内容': '喜欢酒店的风格，交通也很方便', '短评打分': 5}
{'短评内容': '很好，下次再来住', '短评打分': 5}
{'短评内容': '很好，下次再来', '短评打分': 5}
{'短评内容': '酒店位置较好方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店很干净舒适，早餐丰富，味道不错，下次出差还选择住这里，交通方便。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 2}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店一般啦，位置很不错，交通方便，卫生还过得去。', '短评打分': 4}
{'短评内容': '进出房间都不是很方便。房间也超级小，房间内设施也不够完善。', '短评打分': 1}
{'短评内容': '酒店地理位置不错，环境也还可以，价格也挺优惠，值得推介。', '短评打分': 5}
{'短评内容': '非常不错，各方面都很满意，以后还会选择这里', '短评打分': 5}
{'短评内容': '我预订时看见上面注明的是一个1.8米的床和一个1.1米的床，住起去却发现是2个1.1米的小床，房间感觉比较拥挤，并且通风透气不是很好，房间内有股味道。', '短评打分': 1}
{'短评内容': '酒店房间偏小了点，如果想要大空间，建议选高级客房，不过价格要高一百多。', '短评打分': 3}
{'短评内容': '确认和沟通能力不足，但住的环境和服务态度不错', '短评打分': 5}
{'短评内容': '给人感觉很舒服，比其他酒店好多了，环境很好，以后再来', '短评打分': 5}
{'短评内容': '早餐比较丰富，有较多品种选择，房间不错，就是太小。', '短评打分': 3}
{'短评内容': '酒店条件不错，对得起这个价格，希望服务再好些，下次还来这儿住！', '短评打分': 5}
{'短评内容': '房间很干净，服务很周到，一如既往的好，以后还会住。', '短评打分': 5}
{'短评内容': '本来预定了两天的，结果住了一晚，实在受不了里面甲醛的味道。。。房间里免费送的水也没有，冰箱什么的都没有。。。设施简陋。', '短评打分': 1}
{'短评内容': '同事过来都住这里，房间还行，重要的是离公司近，比较方便', '短评打分': 5}
{'短评内容': '不错，地理位置和酒店设施都不错，建议推荐', '短评打分': 5}
{'短评内容': '酒店房间装修不错，位置也不错，性价比可以，值得推荐！', '短评打分': 5}
{'短评内容': '房间装修味道重，预订时没有提示分A，B座，从A到B要走外面街道，有几十米远，如果行李多，非常不便，房间也没有矿泉水，不推荐。', '短评打分': 3}
{'短评内容': '还不错，第二次住了', '短评打分': 3}
{'短评内容': '已经住第二次，还是不错，服务态度也很好。', '短评打分': 5}
{'短评内容': '早餐非常丰富. 不过房间小了点.而且厕所的下水道有点臭. 但性价比还是不错的.', '短评打分': 5}
{'短评内容': '不推荐，此酒店有些黑！广交会期间，同一个房间居然在第二日上涨两倍多的价格，从600多涨到1300多，黑！', '短评打分': 1}
{'短评内容': '很安静，方便', '短评打分': 3}
{'短评内容': '房间很干净，东西很新，服务也很好，下次去还住那里。', '短评打分': 5}
{'短评内容': '地点不错，环境也不错', '短评打分': 3}
{'短评内容': '是一间非常好的酒店，干净，整洁，下次还会再定这家酒店！', '短评打分': 5}
{'短评内容': '酒店的房间太小了！早餐很简单！环境还不错！交通方便！', '短评打分': 3}
{'短评内容': ' 房间还不错挺舒服的，网络速度和上网方式可以再提高一下就好了。', '短评打分': 3}
{'短评内容': '酒店环境不错，繁华市区地带，交通方便。', '短评打分': 3}
{'短评内容': '推荐入住主楼，副楼刚装修，味道太重，服务不错', '短评打分': 5}
{'短评内容': '离办法国签证的地方很近，价格优惠，又含双早。下回还住。', '短评打分': 5}
{'短评内容': '洒店地点较好，交通方便。过天桥到对面动物园是地铁一号线，非常方便。我住的是328元，是附楼，不是主楼，这点网上没有注明，有点不爽。房间较小，热水不烫。不过随便住还是可以的。因为这个房价在广州可以住怎样的酒店不清楚。', '短评打分': 5}
{'短评内容': '因为是到了总台才发现不喜欢B区的客房，所以很无奈的要化448元重订A区的，而直接在山水酒店网上订才418元的价格，超级郁闷。不过又喜欢住这个酒店，唉！！！', '短评打分': 5}
{'短评内容': '中规中距的酒店，没什么特点，没有特色，凑合吧！', '短评打分': 5}
{'短评内容': '一间很差的酒店，交通是比较方便，自助早餐品种小，味道亦欠佳，住的房间洗手间的门锁只有一边已安装，另一边竟然没装上，洗手间永远不能关门。', '短评打分': 1}
{'短评内容': '价格是达到了四星的标准 但是大堂装修 房间硬件 服务质量 早餐品种 都让人不敢恭维 特别是房间里装修得味道很浓 一晚上都没睡好 第二天起来直接退房走人 不推荐', '短评打分': 1}
