{'短评内容': '哈哈哈哈哈哈，取消了没么去住', '短评打分': 5}
{'短评内容': '环境这个价格还好，就是好几个楼梯口都能进酒店，不止大门一个入口，让人觉得不安全', '短评打分': 3}
{'短评内容': '不错 ，位置交通方便，离地铁站很近，房间卫生服务也不错，赞一个', '短评打分': 5}
{'短评内容': '酒店位置很方便，就在地铁站边上，离河坊街也很近', '短评打分': 4}
{'短评内容': '隔音超级超级差！！！原本和朋友好不容易出来一次连玩都不能玩 隔壁说话完全能听见 已经很抑制地说话了 因为隔音真的太差了被拍门 撞墙威胁 对于女孩子来说太恐怖了！好不容易出来一次也被弄得压抑和害怕没有心情玩 房间里纸也只有厕所有 浴室洗澡的地方会积水 ', '短评打分': 3}
{'短评内容': '酒店位置不错，就是隔音效果不太好，服务员态度挺好的。没有过酒店的早餐，整体效果不错，就是隔音效果太差了', '短评打分': 5}
{'短评内容': '不错，实惠。唯一不足是实惠房没有窗，只有暗窗，不够通风。酒店服务员态度很好', '短评打分': 5}
{'短评内容': '一般，比较失望，房间不好', '短评打分': 3}
{'短评内容': '东西不错，住的还可以，感觉不差', '短评打分': 5}
{'短评内容': '地理位置不错，有七八个停车位，离小吃街很近，到西湖各景点坐公交车比较方便，但隔音效果不好', '短评打分': 5}
{'短评内容': '距离南宋御街很近很近，转弯处就是四世同堂的雕塑，大晚上的还把我吓了一跳，当时去的时候是夏天，热的简直受不了。', '短评打分': 4}
{'短评内容': '酒店周围交通挺方便 房间在一楼 通风稍显不足', '短评打分': 5}
{'短评内容': '还行，离地铁很近。', '短评打分': 5}
{'短评内容': '房间小了点，总体还好！', '短评打分': 5}
{'短评内容': '位置很好，地铁周边，前台接待很热闹情。。。。。。。。。。', '短评打分': 5}
{'短评内容': '早餐很好，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '周末涨价一间涨近百元，实在是不合理，就沾着离景区近的光了，房间偏小，性价比不高', '短评打分': 3}
{'短评内容': '如家中规中矩，性价比高', '短评打分': 4}
{'短评内容': '家人挺满意的', '短评打分': 5}
{'短评内容': '特别棒的一次住宿。', '短评打分': 5}
{'短评内容': '环境一般般！服务还可以！不推荐！', '短评打分': 3}
{'短评内容': '可以，还不错，离景点很近，从宾馆后门出去，向左走会看见天桥乘扶梯上去过桥就是南宋御街，往里走和南宋御街垂直的有河坊街适合买特产，宾馆出门左走不上天桥继续走，会看见公交站点可以去西湖，宾馆后门右拐是地铁口定安路出口2-3分钟即到，出行很方便', '短评打分': 5}
{'短评内容': '位置很好找，服务很好', '短评打分': 5}
{'短评内容': '房间偏小，房间给人感觉比较暗，不过设施很齐全，卫生方面也还好', '短评打分': 1}
{'短评内容': '没有无线，带的iPad没用，这个不好，离西湖还比较近', '短评打分': 3}
{'短评内容': '交通便利，离火车站近，出门不远有公交车站，去西湖及周边景点也很方便，屋内设施齐全。缺点是隔音不好，隔壁的声音会传进来，听得很清楚，内窗没有阳光，早上睡醒通常会以为还是天黑', '短评打分': 5}
{'短评内容': '还行吧？不如南宋御街上的那家，但是价格比那家便宜些。', '短评打分': 5}
{'短评内容': '酒店不错位置很好，离河坊街 西湖都很近 去城站火车站也很方便', '短评打分': 5}
{'短评内容': '，房間很乾淨，很整潔，就是1237號房潮氣味太重了。服務員很好。', '短评打分': 3}
{'短评内容': '人不错，只是我的订单总没有，有点不愉快。酒店有点老，硬件差了点。', '短评打分': 1}
{'短评内容': '房间太小了，房间衣架太少，晒衣服不方便，不过交通挺方便，旁边似乎有地铁站在施工，以后会更方便。', '短评打分': 5}
{'短评内容': '离西湖很近的酒店，走走就可以到了，酒店房间实惠', '短评打分': 5}
{'短评内容': '离西湖近，走走就可以到，房间比较小，但总体还不错', '短评打分': 5}
{'短评内容': '这家酒店的地理位置比较好，然后服务也不错房间也不错，住了四天感觉很好哦，', '短评打分': 5}
{'短评内容': '环境一般，设施比较简单，比较靠近步行街。', '短评打分': 1}
{'短评内容': '因为只是用来睡觉的房间，所以定的是特价无窗的房子，总的来说酒店位置比较好，离火车站、南宋御街、西湖都很近，比较方便，但是无窗的房子确实有点闷，还好有空调，另外房间也稍微小了点，桌子上几乎没空间摆东西。另外，中间的无窗房是轻质隔墙隔起来的，隔音效果不太好，好在住的2天也没受什么影响。总的来说，只作为落脚的地方可以将就住2晚，不然最好还是选有窗的房间', '短评打分': 5}
{'短评内容': '地段可以，服务可以，就是没有实事求是描述特价房的情况，让人有点不舒服。', '短评打分': 1}
{'短评内容': '地理位置很好很方便，服务人员平易近人，房间温馨', '短评打分': 3}
{'短评内容': '此房型房间面积不大，离西湖很近，步行10分钟左右就到了。总之作为出差的我们还不错', '短评打分': 5}
{'短评内容': '床单不干净，有点小失望', '短评打分': 3}
{'短评内容': '①出了门就是西湖大道。②公交K7到火车站、西湖都很方便。③挨着南宋御街，那里逛逛什么的不错。推荐一家概念明信片的店——一生一信（有同名微博），我和男友在那里写了明信片，要求纪念日的时候寄出。④给我们安排的房间总是在尽头的角落，换了一次房间也是。\n\n⑤让我很心痛、很绝望的一点：\n我和男朋友的情侣手链，退房后丢在这里，打了三次电话，还回去找了，行李也极其仔细地翻过，但是都没有，连垃圾桶都找遍了也没有。', '短评打分': 1}
{'短评内容': '几好...但床有點塌......其他可以', '短评打分': 5}
{'短评内容': ' 第一次入住，感觉不错，环境可以，不吵！', '短评打分': 3}
{'短评内容': '交通便利，距离杭州城站、西湖和南宋御街都比较方便，环境较为宁静，就是有些窗户不能打开，很不畅快\n', '短评打分': 5}
{'短评内容': '位置方便~服务不错，设施也好~~因为没有特惠房了，给我们免费升级了~~', '短评打分': 5}
{'短评内容': '之前定的两间房，入住后整体感觉不错，那些个嫌隔音不好的，嫌有发小广告的，嫌这嫌那的，推荐去住香格里拉，具体位置在西湖区北山路78号。', '短评打分': 5}
{'短评内容': '地理位置优越，与御街和河坊街近在咫尺。服务态度很好，房间内环境很好，价格合理。媳妇表扬，出去玩还是得住如家。', '短评打分': 5}
{'短评内容': '很干净，离步行街很近，不错', '短评打分': 3}
{'短评内容': '真是非常不错的酒店，纯属意外发现，下次去还会选择！', '短评打分': 5}
{'短评内容': '太嘈杂，天天都有往门里塞小卡片的。晚上楼道里吵的要死，商务大床房巨小无比，第一夜玩完回来门打不开了，影响心情，问路还告错了', '短评打分': 1}
{'短评内容': '还挺温馨的', '短评打分': 3}
{'短评内容': '位置容易找，可坏境一般。隔音效果不好！~~~~', '短评打分': 1}
{'短评内容': '位置不错 离火车站 很近 去西湖也很方便  早餐还可以  就是晚上有好多小卡片', '短评打分': 5}
{'短评内容': '特惠大床房，先说说优点，还是比较干净的，基本设施都会有，尤其是有吹风机，是让我意料之外的。缺点还是比较突出的，内窗那个小啊，形同虚设，不开灯的状态下，乌黑一片，以至于早上起晚；整体房间属于袖珍型的，有点压抑；还有一点不得不说，隔音实在是太差了，隔壁的说话声，上楼梯的脚步声。。。这一点希望如家特别重视，严重影响休息的质量~~~~~~', '短评打分': 5}
{'短评内容': '房间很干净，但面积太小了,面且每天都有很多小卡片从门缝外塞进门内。', '短评打分': 5}
{'短评内容': '服务很热情，房间很干净，但小卡片太多了。', '短评打分': 5}
{'短评内容': '不错，地方干净！服务态度好！!!!!!!', '短评打分': 5}
{'短评内容': '实话实说，这家酒店地点很是难找，晚上过去异常的僻静……南京御街附近还有不少200、300的酒店，这家显然不能算是很好的选择~', '短评打分': 1}
{'短评内容': '还可以，就是房间小了点，电话是坏的。其他都还好，周围有很多吃的，交通也方便', '短评打分': 5}
{'短评内容': '地理位置很好，距离火车站和西湖都很近，前台服务也很好，卫生装修都很棒，下次去西湖还会住！', '短评打分': 5}
{'短评内容': '距离西湖边，闹中取静的地方，酒店环境应该来说符合如家的一贯风格，不过无窗大床房有点小贵，房间也小了很多，比较闷，如果下次还要入住的话应该不会选择无窗大床房。酒店可能装修比较久，感觉比较旧，但如家的服务加上位置的便利，针对去杭州旅游的朋友还是值得推荐的酒店。', '短评打分': 5}
{'短评内容': '中规中矩吧，没有惊喜，也没有什么不好，一贯的品质，信赖如家', '短评打分': 5}
{'短评内容': '位置很好，就在城站和延安路之间，去西湖和火车站都很方便，而且旁边就是南宋御街。房间总体就是麻雀虽小五脏俱全，该有的东西都有，装修也还可以，挺舒服的。不好的是酒店的周边虽然很安静，但房间的隔音非常非常不好，如果你的隔壁或者走廊上有人走动说话看电视，你的房间里可以听的非常清楚。', '短评打分': 5}
{'短评内容': '还不错，干净', '短评打分': 3}
{'短评内容': '不错~~交通方便，离西湖也不算远，住的房间还算安静。不太挑剔，满意', '短评打分': 5}
{'短评内容': '还凑合吧，靠近西湖大道，就是没有进门衣架，别的基本满意', '短评打分': 5}
{'短评内容': '位置不错，房间比较小，还算温馨', '短评打分': 3}
{'短评内容': '入住第二天和第一天价格不一样，而且主要没事先告知，我觉得这一点提醒其他朋友注意，其他的都还可以', '短评打分': 3}
{'短评内容': '酒店位置在一个夹弄里，住房有分两个部分，总之感觉很局促。有点没有安全感！入住时酒店说没有预定信息！后来解决了！', '短评打分': 1}
{'短评内容': '出火车站一直走一公里就到了，过马路就是步行街了，离西湖也近，出门就有公交，不过电视真的很小哟', '短评打分': 5}
{'短评内容': '挺好，位置偏，门面小，房间还算干净卫生，服务周到', '短评打分': 5}
{'短评内容': '双床房比大床房大很多~~大床房很小，隔音效果不好', '短评打分': 5}
{'短评内容': '挺好的，但是房间有点小，隔音效果不好，能听到隔壁说话声', '短评打分': 5}
{'短评内容': '还不错~~~干净，服务也好，就是位置有点偏', '短评打分': 5}
{'短评内容': '1.房间味道很重.\n2.睡觉的时候才发现前一晚的被子也没换.\n3.房间也没提供茶叶,前台也没有.\n\n', '短评打分': 1}
{'短评内容': '地理位置很好，距离西湖和火车站都不远，稍微有一点气味，没什么关系，总体感觉不错', '短评打分': 5}
{'短评内容': '还可以，就是房间小了点，电话是坏的。其他都还好，周围有很多吃的，交通也方便', '短评打分': 5}
{'短评内容': '环境设施还行，出行方便，性价比不错，可以选择。', '短评打分': 5}
{'短评内容': '舒适，干净，卫生，入住客人很多但是有点小吵，不过没有关系，不错。', '短评打分': 5}
{'短评内容': '我住的是商务大床房，除了房间小、隔音效果差，电视好小外，交通、就餐、逛街还是蛮方便的。', '短评打分': 1}
{'短评内容': '我住的是商务大床房，除了房间小，电视也好小，不是非常干净之外，总体来说还是不错的。\n离火车站就两个站，去高银巷、吴山、河坊街都蛮近的。有去断桥、灵隐寺的直达车', '短评打分': 5}
{'短评内容': '交通还方便，房间太小，卫生一般，电视机小的可怜，', '短评打分': 1}
{'短评内容': '这家店的位置真隐蔽，虽然不难找，但是感觉乖乖的~房间不大，床挺大的，厕所的味道很难闻~', '短评打分': 1}
{'短评内容': ' 非常好 很干净 ', '短评打分': 3}
{'短评内容': '服务态度还好，但房间的标示不够清晰，使得客人找到房间比较费劲。', '短评打分': 5}
{'短评内容': '地方还行，就是周边配套还不 行，吃的玩的没有，好像', '短评打分': 5}
{'短评内容': '总体感觉还不错.', '短评打分': 3}
{'短评内容': '房间还可以，就是房间太小了，而且床离门口太近', '短评打分': 3}
{'短评内容': '安静，干净，前台服务态度很好，速度也很快，就是稍微在街道里，没拿地图的话不好找，但是离西湖很近的，顺西湖大道向东不到一千米就到了，离火车站2站地，公交步行都可以，离公交站牌50M左右吧', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '离西湖距离还是可以的，不是太远，步行10分钟即可，周围生活设施较全，离御街近，特色饭店很多，可以大饱口福了，房间通风不好，上面是楼梯，经常吵人，特烦，房间感觉较憋闷', '短评打分': 1}
{'短评内容': '房间太小，太潮湿，只是距离火车站比较近。', '短评打分': 1}
{'短评内容': '闹中取静，适宜休息，24小时热水，舒适洁净，只是房间小些，设施简单些，夏夜蚊子多些，离不开电蚊香。位于中山路南宋御街和西湖大道西北交口，标志明显，250米之内有多组公交站，出行便捷，附近吃饭方便。前台服务态度不错，基本满意。', '短评打分': 5}
{'短评内容': '应该说酒店的位置和卫生还可以，但是268元的价格入住一个没有窗户的房间，我还是觉得不划算。另外，酒店的墙壁有点薄，能听到隔壁的声言。', '短评打分': 1}
{'短评内容': '房间恨小，价格有点高了,出乎我的意料，不知道是怎么样定价的。', '短评打分': 1}
{'短评内容': '总体来说，服务态度很好，入住环境之类的也还不错，但是在浴室里发现有2条细小的黄色的貌似小蜈蚣类型的小虫，不知道是不是因为是特价房的原因，隔音效果不是太好，老是有水流的声音。', '短评打分': 5}
{'短评内容': '周边环境还算不错，就是室内面积小了点，周五、周六价格加的一次比一次离谱。有时间我得咨询一下杭州物价部分了！！', '短评打分': 5}
{'短评内容': '虽然离西湖也很近，交通也方便，但感觉位置一般，不像御街店那么精致。', '短评打分': 5}
{'短评内容': '环境清静', '短评打分': 3}
{'短评内容': '房间较小，但还干净，交通还可以，我儿子林梓芳入住较满意。。。。。。', '短评打分': 5}
{'短评内容': '房间气味挺重的，很小！价格也没有想象的便宜。。。', '短评打分': 1}
{'短评内容': '推荐！服务员素质真的很高！我退房后老婆的钻戒忘在洗手间了，一个半小时候才想起来，马上给酒店打电话询问，说找到了。真是很感谢如家！', '短评打分': 5}
{'短评内容': '这块不错，交通啥都挺方便的，离西湖和延安路都很近，下回来还住这里。但是自助早点的品种有点少，希望能够多一点！', '短评打分': 5}
