{'短评内容': '位置好,停車方便,喜歡這裡的安靜. 下次來還住這   ', '短评打分': 4}
{'短评内容': '酒店太老了', '短评打分': 3}
{'短评内容': '位置不错，酒店不干净，设施也很差', '短评打分': 2}
{'短评内容': '还好的', '短评打分': 4}
{'短评内容': '早餐确实有点差，四星的酒店，就7,8个品种，酒店设施一般，略显老旧，优点是离龙川景区很近，开车2分钟，很方便。带孩子还可以，地方大，有停车场，就是我定的套间居然没有配浴缸，小宝宝洗澡不太方便。这个价格性价比有点低。', '短评打分': 4}
{'短评内容': '房间内设施陈旧', '短评打分': 3}
{'短评内容': '再也不想去了。', '短评打分': 3}
{'短评内容': '厨师很棒，徽菜一流，很安静。离景区远了些。', '短评打分': 5}
{'短评内容': '距离景区最近，装修用料差设施也不好，下次不住了', '短评打分': 4}
{'短评内容': '房间设施很旧', '短评打分': 3}
{'短评内容': '酒店老了点，环境不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '离景区近，硬件设施一般，出游方便', '短评打分': 3}
{'短评内容': '在景区里，环境也不错，卫生服务也不错，就是设施旧了点，价格不太亲民。', '短评打分': 4}
{'短评内容': '设施有点旧了，性价比不太高，这个周围也没有再好的酒店了，也就将就下了，如果是年轻人大可以住农家乐，有小孩入住酒店要方便点，总体还算可以吧。要是可以便宜点也就算OK了，周末的价格实在有点亏。', '短评打分': 4}
{'短评内容': '第二次住这儿了，奔着人在房内就能欣赏到美景来的，被安排了朝北的房子，啥也看不见。好在前台小妹答应会尽快调到朝东的房间。', '短评打分': 3}
{'短评内容': '山庄的环境非常不错，前水后山，生意很好，预定要提早的。', '短评打分': 5}
{'短评内容': '  隔音(门)太差，不像4星，更像经济型，不过价格便宜，环境也可。', '短评打分': 3}
{'短评内容': '1、龙川风景区附近唯一酒店；\n2、服务态度差、服务反应慢；\n3、房间隔音差、外面说话如在耳边；\n4、早餐供应差、不到时间就啥也没有了。', '短评打分': 1}
{'短评内容': '这家酒店是按四星标准建造的，去龙川很方便，步行十来分钟，酒店周围环境也还不错，就是打电话蛮贵的，市话每分钟还要三毛多钱。', '短评打分': 5}
{'短评内容': '酒店设施达不到4星标准', '短评打分': 3}
{'短评内容': '酒店硬件条件不错，但是感觉服务意识不够专业。早餐比较简单。', '短评打分': 5}
{'短评内容': '设施较新，性价比高，值得推荐，早餐有待改进', '短评打分': 5}
{'短评内容': '价格不高，设施很好，离周围几个景区都不远\n就是早餐比较差，没什么吃的', '短评打分': 5}
