{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '卫生一般，环境很好。', '短评打分': 5}
{'短评内容': '小木屋好小，节假日期间房价略贵。', '短评打分': 5}
{'短评内容': '这家酒店的人员很热情、我们住的是海景房A，房间在入住前最好巡视一下，因为阳台还有几根烟头、其他都还可以、有点小建议拖鞋是有点不适合啦、昨天走得很累了，脚底好痛。穿那个拖鞋挺痛的、整改一下更好、个人觉得里面是有一些旧了，但周边的环境不错，风景也挺好的！还在前台买了一件CK原单的T恤，整体来讲 感觉还可以！！', '短评打分': 4}
{'短评内容': '第二次入住，但是觉得并没有第一次住的舒服～', '短评打分': 4}
{'短评内容': '1、卫生还不错，我这么挑剔的人可以接受的范围，因为岛内有很多酒店图片上看起来很好，但装修卫生什么的我一眼就能识破，看了很久才定了这家2、酒店地势挺高的，很喜欢海景房的露台，真的能看到海，晚上跟男朋友在露台吹吹风喝花茶看夜景，早上可以到露台呼吸新鲜空气，听听歌，挺浪漫挺休闲的3、酒店用很多灯饰布置，个人觉得挺有feel的，还有钢琴可以弹4、我们走的时候下雨没带雨伞，酒店有得卖，也不贵，10块钱一把', '短评打分': 4}
{'短评内容': '海景很到位，心情很舒畅。夜里还看到了对岸的烟火。阳台上装装B挺合适的。', '短评打分': 5}
{'短评内容': '在山顶 还不错', '短评打分': 4}
{'短评内容': '为什么评价酒店这种东西啊！！我感觉就是好呀！！便宜啊！！房间大啊！！！卫生也很OK啊！！难道还会有别的可以写吗？！点评你这是在逗我吗！！！表示下次来这里还会住在这个酒店！！！景色真的非常好！！关键价格很实在有木有！！老板炒鸡好！！给老板点三十二个赞！！房间真心超大，周围环境炒鸡优美！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '视野很好，就是位置太高，靠近島中交通不变，如果喜欢视野体验可以去体验一下', '短评打分': 3}
{'短评内容': '房间可以看到海。小院得环境不错。', '短评打分': 3}
{'短评内容': '428元的房间真的贵了，环境很好，可是价格略贵。宾馆地处最高处，提前预约有老板来码头接客。要爬很久。不过宾馆旁边就是集美沙滩，日光岩。资金丰余的可以考虑这家宾馆。', '短评打分': 3}
{'短评内容': '环境还可以，服务一般般，就是离渡口远，走的比较累', '短评打分': 4}
{'短评内容': '位置较远 在山上 每次回一次酒店要上一趟上\n如果住一晚的话 就不用选这么贵的\n因为实在没时间看所谓的无敌大海景\n不过老板很热情就是\n还是建议选中心一点的\n\n', '短评打分': 5}
{'短评内容': '很温馨，老板人超好，领着我们回酒店，还一路讲解好吃好玩的，很棒！值得推荐！', '短评打分': 5}
{'短评内容': '很温馨，老板人超好，领着我们回酒店，还一路讲解好吃好玩的，很棒！值得推荐！', '短评打分': 5}
{'短评内容': '很好,很舒服', '短评打分': 3}
{'短评内容': ' 不错的酒店 以后还会考虑入住', '短评打分': 3}
{'短评内容': ' 不错的酒店小木屋很有特色 风景也不错 由于失误 还免费帮我们换了高一档的旅馆', '短评打分': 3}
{'短评内容': '這酒店總體還不錯!最無法接受的就是從碼頭要拿著行李走半個小時經過很多高坡才能到酒店走的發脾氣!到了后就是一家家庭旅館!喜歡出門有點家感覺的朋友可以選擇那邊但如果想要講究裝修和位置方便的朋友就不推薦了因為酒店房間裝修比較成舊只能當作去一朋友家寄宿的感覺!但剛進旅店的第一印象還是挺好的房子的外觀和和邊上的小朩屋把旅店襯托的佷漂亮很整洁!有個小泳池!但泳池很小水也不夠!我們住的是海景房D!海景房A!觀景', '短评打分': 5}
{'短评内容': '有点偏远在小山坡上，不过有人来接就可以啦，反正鼓浪屿也不大。风景很好！条件超级棒的！还有个游泳池呢~送早餐！', '短评打分': 5}
{'短评内容': '环境很漂亮，两栋别墅加一排小木屋，最给力的是有游泳池，太爽了！！！', '短评打分': 5}
{'短评内容': '三层的风景不错 价格偏高 不过还是值得推荐一下的 房间的话适合家庭', '短评打分': 5}
{'短评内容': '在鼓浪屿上应该算是一间好酒店了。老板待人也很热情。但是致命的缺点就是实在太远了！虽然只有10分钟的路，但是大夏天还是走得很让人崩溃。另外，结账的时候还附赠了50元/间的抵用券，建议换种形式，直接降低点房价更好！因为对于游客来讲抵用券没什么用啊', '短评打分': 1}
{'短评内容': '还可以吧，有一个游泳池，晚上可以玩的好开心， \n不过房间里面有虫子，希望以后不要这样了，\n酒店太高了，爬上去，太累了', '短评打分': 5}
{'短评内容': '帮客户订的，公馆环境不错，客户很满意！！！\n下次有客户到鼓浪屿还推荐。。。', '短评打分': 5}
{'短评内容': '酒店环境挺好的，就是离码头有点距离，拿着行李比较不方便。。。', '短评打分': 5}
{'短评内容': '定的是特色木屋，以为会很有情调，结果房间真的很不怎么样，非常小，房间内设施也不好，真是令人失望！', '短评打分': 1}
{'短评内容': '昨晚入住的，环境挺好，还包了早餐。今晚还会多住一晚。店主还是比较热情的', '短评打分': 3}
{'短评内容': '酒店设施陈旧，我住的钻石房，说白了就是另外搭建出来的阳光房。厕所没有另外隔开，只用窗帘拉上，感觉不是很好。一进去很热（那天气温32度），空调开了几个小时才觉得凉爽。而且房间的床也很不舒服，床品很旧。 码头到酒店要走蛮远的路，天气太热的话不适合住这么远，酒店在半山腰。晚上回来路上满冷清的！', '短评打分': 1}
{'短评内容': '没有想象的好，离轮渡有点小远，拖行李上山有点累的，还有就是房间空间小，光线也很暗，就像住的阁楼，露台也是在房间外面的， 不过早上坐在庭院里吃早餐感觉还是不错的，环山伴水，空气清新。', '短评打分': 1}
{'短评内容': '住的观景木屋，比较有特色。有个单独的小院子有摇椅。酒店服务不错，到鼓浪屿以后打电话就会有人来接，而且到房间以后里面竟然开好空调，这个对于很多五星级酒店都未必做的到。整个酒店由辆幢白色的别墅构成，有游泳池，院子很大环境比较幽静。最后离店的时候还送了酒店的卷。以后来就要感受下海景套房', '短评打分': 5}
{'短评内容': '没有网上的图片那么好，不过房间全是玻璃，能看到山下的风景！', '短评打分': 3}
{'短评内容': ' 鑫雅琪公馆，山顶海景房，是就是山顶了，但海景就只能远观。这里环境还是很不错的，就是有点偏不好找', '短评打分': 3}
{'短评内容': '电话酒店会有专人来接你的，，算是比较安静的，就是房间里没有电话，如果要和酒店的人联系要跑出去或是手机电话联系，其他都蛮好的\n', '短评打分': 5}
{'短评内容': '老板员工都很热情，就是上山很累的说，不过到了住的地方一切都值了，地方住着很舒服，泳池，吊椅，观景，很是自在。三人住双床房也没另加钱，', '短评打分': 5}
{'短评内容': '这里环境很优雅 \n，服务非常周到，到轮渡打电话就有人出来接，不大好找！本来以为是间小小单房，到了后安排在双人间木屋，好舒适呢！老板娘人很好，下次一定会再来！', '短评打分': 3}
{'短评内容': '环境优美，有早餐，老板娘热情，员工亲切，值得入住，值得推荐，呵呵～', '短评打分': 5}
{'短评内容': '到酒店的路有点远哦，不过可以当锻炼啦！环境不错，差不多鼓浪屿的最高点了。不过晚上太晚回酒店的路有点怕怕的哦！相当的幽静。房间设施齐全，不过卫生间少了放衣服的地方，不太方便，浴室全玻璃的门似乎更合适情侣唉！淋浴房里也少了个放洗漱用品的地方，只好放地上了。', '短评打分': 5}
{'短评内容': '综合服务，地理位置，环境评分，按10分制，可评7.5.扣分处在于酒店设施,稍后说明.\n1、酒店位于半山腰，到繁华地段需走一段路，个人觉得并不是很远，可以接受。也正是因为这样，酒店很安静。可以看到一部分海。\n2、酒店外观可以，可惜了游泳池，比较脏，本来还想游泳来着。\n3、服务态度好，领路的小哥，前台还有为我们煮饭的阿姨，都非常好。\n4、可以预定晚餐，我们一行四人吃了278+40人工费，6菜一汤，OK', '短评打分': 5}
{'短评内容': '已入住，环境不错，就是上山累点', '短评打分': 3}
{'短评内容': '我到了码头打电话给店里，大概15分钟就有人来接了，公馆在半山腰上，装潢有点陈旧了，有泳池但没有水。还有白色的三角钢琴，可以弹弹噢。还有秋千和小茶座。很舒服。可以看到一部分的鼓浪屿和大海。小木屋有点小，也自带卫生间的，价格比较适中啦，晚上很安静。对了，如果在菜场买了海鲜需要加工要5点之前和老板说噢，加工的阿姨会下班的。希望会对别人有帮助吧。', '短评打分': 5}
{'短评内容': '定的钻石海景房间，可是被一颗巨大的古树挡住了', '短评打分': 5}
{'短评内容': '虽然在半山  爬上来真的要了我们的命  但是晚上风景美丽舒服 房间虽然有点小但是感觉还OK  店内人员非常好  一直在推荐鼓浪屿岛上好玩的地方', '短评打分': 5}
{'短评内容': '除了路比较远，比较偏，比较幽静，旁边有“墓地”有点怕怕外，住的小木屋倒还温馨，中规中矩吧', '短评打分': 1}
{'短评内容': '非常小资，非常美丽，服务到位，风景独好！', '短评打分': 3}
{'短评内容': '住的环境不错，院子里有游泳池秋千和大钢琴，不足之处就是离轮渡有点远在半山腰上，但是正是因为高吧俯视的景色很不错，院内能看见日光岩，对了我们三人住的大床房也没有加钱，其他的旅馆加1人都要50-100不等呢。', '短评打分': 5}
{'短评内容': '酒店不错，干净，空气很好，老板也很热情，地方不处于闹市，但休息绝对是个好地方！推荐！', '短评打分': 3}
{'短评内容': ' 酒店有点远了而且得爬坡！不过比较宁静，订的是观景大床B房，厕所没排气扇，房间插头很少灯也坏掉的，总体感觉一般吧不值那个价！', '短评打分': 3}
{'短评内容': '环境挺好的~但因为在山上，拉行李上去有点辛苦', '短评打分': 3}
{'短评内容': '很安静的酒店  房间相比鼓浪屿其他房间算大很多的啦\n离闹市步行15分钟   但是和海滩很近\n公馆里有个白色三脚架钢琴\n 很有感觉', '短评打分': 5}
{'短评内容': '小木屋还是风格还是挺不错的，酒店环境也很好，要是夏天来更好', '短评打分': 5}
