{'短评内容': '非常愉快，太美了，下次再来，五星好评，是渡假首选', '短评打分': 5}
{'短评内容': '同学老师一行12人聚会，入住双标和三人房，木地板，大窗户，房间干净，晚上也很安静。村内环境优美，附近就是华东地区最大的人工森林，天然氧吧。饭后和清晨散步，秋风习习，心旷神怡。提前一天联系歺厅，可帮助釆购自己想吃的菜，订好标准，厨师长会帮你配菜，我们吃了二顿菜不重复，味美价廉量多。特别推荐土鸡汤、红烧羊肉、大蛋饺、鲍汁鹅掌、野生鱼、小菠菜，早上荠菜馄饨特别香。工作人员态度和气，尤其是厨师长特别热情周', '短评打分': 5}
{'短评内容': '同学老师一行12人聚会，入住双标和三人房，木地板，大窗户，房间干净，晚上也很安静。村内环境优美，附近就是华东地区最大的人工森林，天然氧吧。饭后和清晨散步，秋风习习，心旷神怡。提前一天联系歺厅，可帮助釆购自己想吃的菜，订好标准，厨师长会帮你配菜，我们吃了二顿菜不重复，味美价廉量多。特别推荐土鸡汤、红烧羊肉、大蛋饺、鲍汁鹅掌、野生鱼、小菠菜，早上荠菜馄饨特别香。工作人员态度和气，尤其是厨师长特别热情周', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '同学聚会选了一间棋牌房，二个房间不算很大，一个房放一张麻将台，旁边没沙发可坐，觉得有点小，房间安排在楼层最后一间，本人觉得这比较好，可少影响周围别的游客，下次如果再去崇明，这家酒店是首选', '短评打分': 5}
{'短评内容': '服务质量好，到酒店时已经深夜了，非常饿，建议酒店增加方便食品销售。东平国家森林公园旁边，窗外全是绿色，美极了！', '短评打分': 5}
{'短评内容': '酒店位置紧邻东平国家森林公园，空气质量优！老酒店，设施有些旧了，也不太注重细节，冷热水是反的，如此多客人住过，竟然没有修正。', '短评打分': 4}
{'短评内容': '酒店环境不错，性价比高，比邻度假村，有森林，空气很好', '短评打分': 5}
{'短评内容': '地理位置不错，离森林公园较近。天然的氧吧，酒店内有很多散养的鸡鸭，小朋友看的很开心。家庭出游性价比高，整体还行。', '短评打分': 4}
{'短评内容': '一般，不太干净', '短评打分': 3}
{'短评内容': '我订了12月5日晚的棋牌房、因没有定到普通标间、所以通过携程退掉了！后客服说有3人和家庭房、所以又订了棋牌房！12月5日去酒店、服务员一定要叫我付2间棋牌房的钱！气死人了、投诉无门呀！', '短评打分': 1}
{'短评内容': '自爆，，差', '短评打分': 3}
{'短评内容': '自爆流，，还行', '短评打分': 3}
{'短评内容': '环境很好，服务一般', '短评打分': 5}
