{'descr': '不错第二次入住', 'star': 5}
{'descr': '性价比还行', 'star': 4}
{'descr': '早餐实在太简单了，我们没有吃，索性到外面去吃早饭了，其他的还算过得去，酒店外观比较壮观，酒店旁边有停车场，旁边有水饺店，酒店内部设施比较陈旧，国庆期间涨价厉害，从酒店设施来说，肯定是不值这个价的，不过估计连云港的酒店都差不多', 'star': 4}
{'descr': '还算过得去，离市中心近，酒店外观比较壮观，中规中矩的，适合自驾居住。酒店旁边有停车场，旁边有水饺店，我们十几个朋友一起点的大排面，超出水饺店老板的瞬时产能，忙不过来用电饭煲煮的面条O(∩_∩)O哈哈~，大排变成猪骨面(*￣︶￣)，对面有农家乐，还比较方便，但内部设施比较陈旧，国庆期间涨价厉害，从酒店设施来说，肯定是不值这个价的', 'star': 4}
{'descr': '这个床根本没法睡啊，很多小虫子，坐等天亮，我肯定没有比这个更烂的住宿了，地上很脏，卫生间连个专门淋浴的地方都没有，空调响个不停，好糟糕的一夜！', 'star': 1}
{'descr': '设施陈旧，卫生状况有待改善！不过，该酒店有酒店和客房两部分，可满足住宿党的发票需求！', 'star': 4}
{'descr': '房间很大，当然价格也不便宜啊，酒店旧了，管理也存在一些问题，我和妈妈住的，结账时竟然有15元计生用品，呵呵，在我的指责下没收此项费用', 'star': 4}
{'descr': '卫生还可以，只是装修太旧了，服务还不错！', 'star': 4}
{'descr': '酒店设施一般，环境不好，服务还可以，旅游的人休息应该够了。', 'star': 3}
{'descr': '还可以吧 ', 'star': 4}
{'descr': '房间够大，但前台服务态度差，且没有早餐，附近也没有好吃的，位置比较偏。', 'star': 4}
{'descr': '这可能是连云港是星际酒店里最糟糕的了。糟糕的像噩梦一样。糟糕的早餐，糟糕的房内卫生。糟糕的前台。每天都见到前台和客人吵架', 'star': 1}
{'descr': '好', 'star': 4}
{'descr': '还行。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店环境不错，就是周边不太方便', 'star': 4}
{'descr': '很不错，住了两天', 'star': 5}
{'descr': '在汽车站不远的地方 服务也蛮好 早餐很好吃 总之挺好的 ', 'star': 5}
{'descr': '房间装修很好，服务员很漂亮，就是早餐不是太好。', 'star': 5}
{'descr': '位置相对偏了点，但去周边景点方便。边上就是车站。服务态度不错。', 'star': 5}
{'descr': '＋楼下的饭菜非常好吃，房间干净整洁，建议入住。', 'star': 3}
