{'短评内容': '一般般的酒店一般般的服务', '短评打分': 1}
{'短评内容': '这个酒店服务很不好，还要和客人打架。骂客人。', '短评打分': 2}
{'短评内容': '周围环境可以，卫生设施一般。', '短评打分': 4}
{'短评内容': '服务不错，环境也还行，如果是出去玩住这里不错', '短评打分': 5}
{'短评内容': '总体还好，就是电视坏的，其他还好', '短评打分': 4}
{'短评内容': '床太硬，卫生间状况一般，沐浴出水太小，下水道下水太慢，一没有一次性拖鞋，除了有wifi之外，没什么及格的，喔，还有小蟑螂出没，两个晚上打死了三只', '短评打分': 2}
{'短评内容': '伪窗户。也就是没窗户，地板很脏，卫生间也不行。。条件各种渣', '短评打分': 3}
{'短评内容': '房间还不错，地方也挺大的！卫生一般般！离夫子庙秦淮河也挺近的！', '短评打分': 3}
{'短评内容': '路边门脸小，不好找，刷卡也刷不了', '短评打分': 3}
{'短评内容': '感觉还可以，不比其他的差', '短评打分': 3}
{'短评内容': '很不错~态度很好，设施也不错', '短评打分': 3}
{'短评内容': '宾馆门面不大 但是客房里面特别的干净 很喜欢 而且前台的人也很好 还帮我们查路线 太感谢她了 好人有好报 ', '短评打分': 5}
{'短评内容': '环境真的不错 门面小了一点但是里面的空间很开阔 强烈推荐', '短评打分': 3}
{'短评内容': '按时间入住了,门面有点小,进去之后才发现真心不错,干净整洁,说是父子庙地区,但是打车过去还得十几块,很不爽', '短评打分': 3}
{'短评内容': '环境不错，服务态度也好。尤其光纤上网够给力。这种价格住这样的酒店挺超值。', '短评打分': 3}
