{'短评内容': '早餐不錯啊服务不错很好', '短评打分': 5}
{'短评内容': '有停车场，服务很好', '短评打分': 5}
{'短评内容': '周边环境差了点', '短评打分': 4}
{'短评内容': '都挺好的，就是门口修路，很乱。', '短评打分': 5}
{'短评内容': '房间很干净，设施很新，服务人员态度很好！', '短评打分': 5}
{'短评内容': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。？？。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '不错。。。。。。。。。。。。？。。。。。。。。。。。。。？。。。。。。。。。。。。。。？？。。。。。。', '短评打分': 4}
{'短评内容': '就那样吧，宾馆比较旧了，在装潢早晨特别吵', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店设备很老，据说近期要装修了，连WiFi都没有。希望能好些。', '短评打分': 3}
{'短评内容': '房间一股异味。地毯好脏。其他还行吧，洁癖的人肯定受不了', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '环境还不错', '短评打分': 3}
