{'短评内容': '非常好，干净整洁，服务态度好，早餐也很不错', '短评打分': 5}
{'短评内容': '挺好的挺干净也安静', '短评打分': 5}
{'短评内容': '房间宽敞是最大的特点', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '住宿环境很好，比想像的好，订的大床房，室内空间特别大', '短评打分': 5}
{'短评内容': '挺好的酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间够大，就是房间有一股怪怪的味道，可能是卫生间发霉的味道。', '短评打分': 4}
{'短评内容': '交通方便，周围很多吃到的地方', '短评打分': 4}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服，唯一感觉不好的是枕头，2个高了，1个又低，连睡了2天感觉颈椎有点不舒服。酒店服务也不错。房间还有雨伞备用，周五出去的时候下雨了，懒得上房间去取，也可以在大堂内凭房卡借伞，感觉挺满意的，吃东西很方便，既可以在酒店内就餐也可以到酒店外吃，酒店周围各种不同的餐馆、小吃店教多，还有养生的美容的，想购物的话也有较大', '短评打分': 5}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服，唯一感觉不好的是枕头，2个高了，1个又低，连睡了2天感觉颈椎有点不舒服。酒店服务也不错。房间还有雨伞备用，周五出去的时候下雨了，懒得上房间去取，也可以在大堂内凭房卡借伞，感觉挺满意的，吃东西很方便，既可以在酒店内就餐也可以到酒店外吃，酒店周围各种不同的餐馆、小吃店教多，还有养生的美容的，想购物的话也有较大', '短评打分': 5}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服，唯一感觉不好的是枕头，2个高了，1个又低，连睡了2天感觉颈椎有点不舒服。酒店服务也不错，不过第一晚有水果送，第二晚就没有了，不知道是何原因？另外房间还有雨伞备用，周五出去的时候下雨了，懒得上房间去取，也可以在大堂内凭房卡借伞，感觉挺满意的，吃东西很方便，既可以在酒店内就餐也可以到酒店外吃，酒店周围各种不同', '短评打分': 5}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服，唯一感觉不好的是枕头，2个高了，1个又低，连睡了2天感觉颈椎有点不舒服。酒店服务也不错，不过第一晚有水果送，第二晚就没有了，不知道是何原因？另外房间还有雨伞备用，周五出去的时候下雨了，懒得上房间去取，也可以在大堂内凭房卡借伞，感觉挺满意的，吃东西很方便，既可以在酒店内就餐也可以到酒店外吃，酒店周围各种不同', '短评打分': 5}
{'短评内容': '位置很好，在购物广场后面，周围饭店多，吃饭很方便。房间设施非常好，全套西门子家电', '短评打分': 5}
{'短评内容': '多次入驻 马马虎虎吧 地理位置尚可 公寓改建的酒店 价格也马马虎虎 不能算便宜的 唐山毕竟也就是三线城市而已 价格应该控制在300之内', '短评打分': 3}
{'短评内容': '酒店位置还不错，交通方便', '短评打分': 4}
{'短评内容': '每次來這都住，一如既往的好', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
