{'短评内容': '环境非常好，住着干净，舒服，强烈推荐，京东渠道就是好。', '短评打分': 5}
{'短评内容': '很好的！推荐入住！价格不贵，性价比还好！也比较干净！', '短评打分': 5}
{'短评内容': '位置很好，对面就是百脑汇，下面有肯德基，环境也还不错。', '短评打分': 3}
{'短评内容': '交通便利,房间很干净,安静!就是不含早餐,没有餐厅.', '短评打分': 3}
{'短评内容': '不是太喜欢这个酒店，比较乱，房间特别服务电话多。', '短评打分': 1}
{'短评内容': '有停车场，设施可以，附近有座百脑汇，就是第一次来要注意路', '短评打分': 5}
{'短评内容': '房间是改的 不过还算经济实惠  卫生还好', '短评打分': 5}
{'短评内容': '服务不错 但是硬件太差 空调完全不给力 晚上很吵', '短评打分': 1}
{'短评内容': '服务不错，环境不错,就是早餐不好，竟然在旁边的KFC里，汗啊！', '短评打分': 5}
{'短评内容': '房间虽然不大，但是很整洁干净的。个人觉得性价比很高的旅店', '短评打分': 5}
{'短评内容': '味道大，性价比不高。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '一进门很难闻，空调也不是很好，床单是黄色的，看得不舒服', '短评打分': 5}
{'短评内容': '还不错  很安静  就是不太喜欢被子的颜色 感觉不好', '短评打分': 5}
{'短评内容': ' 还行 旁边有肯德基 交通也还可以 性能比也可以', '短评打分': 5}
{'短评内容': '定的大床，去了没有给换成标间，郁闷。。。', '短评打分': 5}
{'短评内容': '+酒店不错，最主要方便啊。', '短评打分': 5}
{'短评内容': '一般                                                     ', '短评打分': 3}
{'短评内容': '能延时退房就好了', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '这是我住过的最差的酒店，被单全是土黄色，我的天，太难受了。', '短评打分': 1}
{'短评内容': '一般般', '短评打分': 1}
{'短评内容': '不错的酒店，前台也很热情。酒店位置也还可以，出门很方便，什么都有，就是因为在路边，可能有点吵，但是关了窗还是可以的。下次还会再来。', '短评打分': 5}
{'短评内容': '房间小，有异味，床小', '短评打分': 1}
{'短评内容': '有点吵，没有早餐', '短评打分': 5}
{'短评内容': '隔音差 骚扰电话', '短评打分': 3}
{'短评内容': '靠近高架 比较吵 晚上有2个骚扰电话', '短评打分': 1}
{'短评内容': '因临近路边，很吵，其它还好。', '短评打分': 1}
{'短评内容': '酒店本来是不错的，前台也很热情，可惜的是，效率太低了，开个房要等十几分钟，结账又得十几分钟，无法忍受。房间卫生什么的都不错，可惜挨着一条大路，相当的吵，打电话都得大声喊。下次即使还住格林豪泰，也不能再住这里，地理位置太差了', '短评打分': 1}
{'短评内容': '方便，环境有点乱', '短评打分': 3}
{'短评内容': '方便，环境有点乱', '短评打分': 3}
{'短评内容': '其他的都还可以，就是有几个房价房间靠近高架桥，几乎是近在咫尺，车流声能把人给吵死，建议把这几个房间搞特价', '短评打分': 1}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '我超级喜欢的酒店', '短评打分': 3}
{'短评内容': '超级喜欢这个酒店 真的很好 离商场这些都很近 下面也有吃的', '短评打分': 3}
{'短评内容': '性价比不错，值得推荐', '短评打分': 5}
{'短评内容': '总体还可以，如果以后能把床单换成白色，地毯弄干净点就更好了', '短评打分': 5}
{'短评内容': '不错 价格实惠', '短评打分': 5}
{'短评内容': '那时候去真的很冷！空调效果差，没冻死。', '短评打分': 1}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '这个酒店真的挺好的', '短评打分': 5}
{'短评内容': '感觉总体还可以，就是位置有些不好，而且晚上睡觉的时候有些吵，应该在窗户上做些隔音的效果', '短评打分': 5}
{'短评内容': '房间太小，有异味。', '短评打分': 5}
{'短评内容': 'HAI不错，就是味道稍许大了些!', '短评打分': 5}
{'短评内容': '一股地沟味，臭的我一晚头晕，第二天7点起床赶紧换宾馆', '短评打分': 1}
{'短评内容': '总体还可以，就是环境吵闹一些。', '短评打分': 5}
{'短评内容': '酒店的硬件设施比较一般，环境还算可以，位置交通真不是特别方便，对于他这个位置来说，价格也偏高。', '短评打分': 3}
{'短评内容': '准确的说还可以，一般般，但也没太大的优势', '短评打分': 5}
{'短评内容': '除了周边环境有些吵闹,其它方面还是蛮不错的,价格方面也比较合适的.', '短评打分': 3}
{'短评内容': '房间环境还不错，也挺方便，我觉得还比较满意 ', '短评打分': 3}
{'短评内容': '酒店环境不好,房间里面很潮,而且早餐尽然给的是隔壁肯德基德早餐,卫生条件一般,服务也一般.下次不会入住了.', '短评打分': 3}
{'短评内容': '房间太小', '短评打分': 1}
{'短评内容': '酒店的服务卫生以及房间的内部设施都很一般的,酒店的位置不错的,出行和方便,性价比还不错的', '短评打分': 5}
{'短评内容': '酒店的服务和环境卫生挺不错的，但是这个位置挨着高架，会有点吵，硬件设施算是一般了，这个价格感觉也马马虎虎，不是特别好。', '短评打分': 1}
{'短评内容': '商务大床房的房型一般，地理位置不好，正好在高架旁，日夜都很吵。发现床单被罩上都有污渍，请服务员连换了三次都还是不干净，解释是承包的服务公司洗涤质量有问题。屋内有很浓烈的地沟味，厕所门关上也不行。窗帘很脏，门窗的密封效果很差。服务员很早就会在走廊大声喧哗，不自律。这是我第一次入住该酒店，但我以后都不会尝试，不管是合肥的还是其他地方。', '短评打分': 1}
