{'短评内容': '房间没矿泉水，服务电话打不通', '短评打分': 4}
{'短评内容': '酒店内喝的水都没，电话也打不通', '短评打分': 5}
{'短评内容': '酒店改名了，携程没更改过来，差点找不到地方。停车方便。双人间换大床房，房间小很多，浴室下水有点问题', '短评打分': 4}
{'短评内容': '酒店环境不好，房间老旧', '短评打分': 1}
{'短评内容': '和女朋友一起去的，挺不错的。', '短评打分': 5}
{'短评内容': '硬件一般，服务需提高', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境可以就是水是冰的，怎么开都不热   其他还好', '短评打分': 5}
{'短评内容': '还好吧，', '短评打分': 4}
{'短评内容': '酒店设施，服务都一般子。', '短评打分': 3}
{'短评内容': '房间太老旧了，也不怎么干净，不怎么好', '短评打分': 3}
{'短评内容': 'Ktv隔音效果差，晚上很吵。', '短评打分': 2}
{'短评内容': '有点旧，不过服务不错', '短评打分': 3}
{'短评内容': '地毯太脏了，不过隔金太阳温泉比较近，但是房间环境不好，空调好像没什么效果，冻死了，昨天那个人服务态度还不好，又不能换房间。', '短评打分': 3}
{'短评内容': '很一般，不太建议住', '短评打分': 3}
{'短评内容': '酒店位置不错，房间干净卫生，服务也还行，期待酒店会建设得更好。', '短评打分': 5}
{'短评内容': '位置可以，小镇入口处，出住都方，新开发的旅游点', '短评打分': 5}
