{'descr': '已入住', 'star': 3}
{'descr': '幸亏我是定了两间房，只做了一间的评价，否则，对于贵店的答复，在无法追加评论的情况之下，我还真是莫口难辩了！\n一、再美的人身上也难免有疤痕，不论你们在全国有多少家，7月22日在千灯镇的贵连锁店发生的换房加价的问题，是事实存在的，也是不合理的！我只是向你们反应不合理之处，贵店没有必要回避这一即成的事实！\n二、你们没有切入实际的进行调查，妄加评论的做法不切实际。并没有如你们所说的“看了房间并且满意才交钱', 'star': 1}
{'descr': '已入住', 'star': 3}
{'descr': '   7月22日入住贵连锁千灯镇店！网上预定一间标间，一间大床间。下午六时许入住后即外出吃饭，游玩！回来后，贵店提供的2楼的标间中霉味较重，两头的风机声音轰鸣，让两位老人无法入睡，遂于晚11时提出换房，前台以没有相类似的的标间为由，更换其他房型需要另加20元！\n    我想问的是：一、贵店既然提供住宿服务，就如网上介绍一样，为客人提供同等标准的服务，那么有霉味或噪音较大，影响睡眠的话，让客人无法入', 'star': 1}
{'descr': '挺好的，房间很干净，很值得推荐，下次还会入住', 'star': 5}
{'descr': '酒店很干净，就是有点小难找。这里离千灯古镇很近的，推荐', 'star': 3}
{'descr': '我很满意的。也很干净的，就是房间空间小了一点啊。', 'star': 5}
{'descr': '房间比较小，隔音不是很好，离大润发近，买东西方便', 'star': 5}
{'descr': '酒店位置很好，环境也不错，对面就是大润发，也可以购物，娱乐。\n室内环境也不错，就是空调偶尔不太好用\n整体还是很满意', 'star': 5}
{'descr': '1，如果没有车，我不会选择那里，地理位置太偏了！\n2，周边就一个大润发超市，吃饭的地方少之又少，那天晚上没有办法，只好和朋友去吃傣妹的.\n3，房间还算好，装修的一般，住住也还行，不过基本上没有意外，不会有下次了！！', 'star': 1}
{'descr': '环境很好，设施齐全，就是窗户太小了，而且还在上面的，汗啊', 'star': 5}
{'descr': '设施挺新的，但热水不够热，洗澡有点冷。', 'star': 3}
{'descr': '感觉蛮好的，静，休息的好．．．．．．．．．．．．．．．．', 'star': 5}
{'descr': '环境整洁。床位舒服。设备齐全。唯一不足卫生间的门锁不能用了。', 'star': 5}
{'descr': '酒店房间很大，设施一般，早餐实在不怎么样', 'star': 1}
{'descr': '闹中取静，房间够大，枕头有特色，比较舒服。就是有点难找，建议设立多一点指路牌。', 'star': 5}
{'descr': '位置有点偏僻，周边的店家还没营业，较为冷清', 'star': 5}
