{'短评内容': '环境服务可以，由于开业时间长 硬件设施一般。', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '卫生好，服务好，早餐尚可，位置好，一侧有装修声关上窗尚可，价格低，总体推荐', '短评打分': 5}
{'短评内容': '太差太差太差', '短评打分': 3}
{'短评内容': '价位相比其他APP合理，但性价比低，房间装修陈旧，湿度大，楼下装修，未在入住前告知，噪音大，早餐一般，地下停车场服务差，不是很愉快的体验', '短评打分': 3}
{'短评内容': '豪华标准间，干净舒适，地处中心', '短评打分': 5}
{'短评内容': '还可以，每次去都住着一家，谢谢', '短评打分': 5}
{'短评内容': '服务不错的一家酒店，大家可以参考选订', '短评打分': 5}
{'短评内容': '此行入住一个星期 总体还不错 早餐好吃哦 设施有点陈旧 前台服务一般 周边交通便利 就在市中心 紧邻步行街 ', '短评打分': 4}
{'短评内容': '去过这么多五星级酒店，第一次在夏威夷酒店里洗浴感觉真不错，很高档，各种池子都有，洗澡也是一件很舒服放松的事情啦，客房和总台的服务也都不错，下次一定领着老婆孩一起感受一下五星级洗浴，推荐！', '短评打分': 5}
{'短评内容': '房间干净，不错，下次再住', '短评打分': 5}
{'短评内容': '五星酒店卫生是没得说，很干净，地理位置好，无论离哪里都很近，但是毕竟是比较老的酒店了，设施还是比较陈旧的，酒店吹风机不好使，网络十分卡。', '短评打分': 4}
{'短评内容': '各方面比较满意', '短评打分': 5}
{'短评内容': '在市中心，周边环境很热闹,步行街附近，旁边有超市，物有所值。', '短评打分': 5}
{'短评内容': '很好，前台热情，大堂经理热情，提出的事情马上热情解决，早餐丰富', '短评打分': 5}
{'短评内容': '很好，前台热情，大堂经理热情，提出的事情马上热情解决，早餐丰富', '短评打分': 5}
{'短评内容': '总体上过的去，但是走的时候说房间有个被烟头烫过的地方，可是我们都不抽烟，没办法，赶火车，大早上六点，没时间和她理论，弄的心情有点小失落', '短评打分': 3}
{'短评内容': '不错，没想到牡丹江这样的三线城市还有这样好的酒店', '短评打分': 5}
{'短评内容': '地理位置，酒店价格，和人员服务，还算可以，', '短评打分': 5}
{'短评内容': '房间干净，整洁，明亮，床柔软舒适！很好！', '短评打分': 3}
{'短评内容': '环境及服务都十分到位，交通位居市中心非常发达', '短评打分': 5}
{'短评内容': '还可以的酒店，就是服务人员有点二，早起问几点开饭，第一次说9点开早餐，再问一次说六点开早餐，可我们一看表都七点了，还不让进去吃饭，你说晕不晕。最后没厅她的直接进去吃了。', '短评打分': 5}
{'短评内容': '酒店没的说，出差不二之选。服务热情，条件优秀', '短评打分': 5}
{'短评内容': '位置好，在市中心，设施还好，服务一般，早餐的水平和五星不符。', '短评打分': 5}
{'短评内容': '我对这家酒店服务超满意。因带的笔记本出现了点小问题，我只是试着给总台打了电话咨询，酒店即派了工作人员帮我解决，非常感谢！我以后还会住这家酒店，并推荐给朋友。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错的选择，在市中心。', '短评打分': 3}
{'短评内容': '已经无数次住这个酒店了，很好，酒店的房间很大，设施也非常的不错。有那种大牌酒店的感觉。服务到位，就是房间的免费矿泉水是限量的。一天只给两瓶。', '短评打分': 5}
{'短评内容': '我预订了两天，但尚未入住，很是值得期待。', '短评打分': 5}
{'短评内容': '地点不错，但服务一般，只能达到4星级，5星是达不到的！', '短评打分': 1}
{'短评内容': '多次去牡丹江了，每次都住这里，酒店的规模很大，房间也大，环境很好。距离是中心很近', '短评打分': 5}
{'短评内容': '每次都住这里，酒店的房间很大，设施也很好。距离是中心很近', '短评打分': 5}
{'短评内容': '每次来牡丹江都住这个酒店，房间很大，设施也很好，距离是中心也很近', '短评打分': 5}
{'短评内容': '很好,已经住几次了,经理说很舒适,而且位置很好,很方便.', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': ' 酒店还给暖气！不错！不过，前台应该更新付款刷卡POS机为移动式的，省得个人在前台那奔波！又要照顾行李！不方便！', '短评打分': 3}
{'短评内容': '价格适中，紧临万寿路地铁站，房间很干净，服务不错，一楼有餐厅很方便但价格偏高。还不错，下次还住。', '短评打分': 5}
{'短评内容': 'the hotel is just normal\nwhat a expensive hotel!', '短评打分': 1}
{'短评内容': '卫生不错，装修也挺好。套间有个隔断就更理想了。不过感觉早餐不够丰盛，但免费提供的水果很不错。下次还会考虑入住。', '短评打分': 5}
{'短评内容': '升级为5星了。既然也就涨价了，其实里面没有什么变化！', '短评打分': 5}
{'短评内容': '+位置优越,早餐丰富,卫生需提高,价位偏高', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '基本可以，牡丹江的五星仅此一家，别无选择、、、、、', '短评打分': 5}
{'短评内容': '一般型的酒店，酒店和洗浴中心连着的，感觉大堂有些杂，其他都一般化。', '短评打分': 5}
{'短评内容': '很不错的酒店，地理位置交通方便，房间也很干净，设施都比较完善，性价比很好的酒店，下次还会入住的。', '短评打分': 5}
{'短评内容': '酒店硬件设施和卫生条件还不错.位置也很好很方便出行.当时在网上订的还用了40元电子劵呢，酒店性价比还是挺高的.', '短评打分': 5}
{'短评内容': '五星较勉强，但的确是牡丹江最好的酒店了。', '短评打分': 5}
{'短评内容': '地理位置很好，位于市中心，走到火车站大约10分钟；酒店配有康乐中心，配有海鲜餐厅，同时周边有很多特色小吃；服务十分到位，可以提运行李等；与城市相比，价格偏高', '短评打分': 5}
{'短评内容': '酒店管理略显业余，服务态度还好，属于努力争取做好的那种，很有希望的，加油！！！', '短评打分': 3}
{'短评内容': '该酒店在牡丹江市区算是最好的，在这样的城市有这样的酒店实属不易。早饭9点结束，提前5分钟就收餐。整体和大城市五星比有一定差距。', '短评打分': 5}
{'短评内容': '位置很好，离火车站步行不到10分钟。酒店出来后西边有很多餐馆非常方便，推荐去吃排骨串，还有超市和步行街。虽然升为五星，可是感觉还有一定差距。房间地毯有些旧 还有污迹，而且餐厅服务体现不到五星，总是着急9点收餐。由于一层海鲜城晚上大堂非常乱，很吵。不过前台的入住退房办理很迅速。', '短评打分': 5}
{'短评内容': '前台服務生態度良好;房間清潔,寬敞;暖氣充足.\r\n酒店位置佳,在步行街附近,有多間百貨公司購物方便,鄰近亦有多間餐館;前往火車站亦只是幾分鐘的車程', '短评打分': 5}
{'短评内容': '总体不错\r\n', '短评打分': 5}
{'短评内容': '酒店整体较为满意，服务较好干净卫生就是价钱贵了些。', '短评打分': 5}
{'短评内容': '刚刚升级为5星，总体很满意，服务也很好，价格也很合理，下次应该还会再选择', '短评打分': 5}
{'短评内容': '整体来讲还是一家很不错的酒店,位置也不错,交通很方便,但我个人感觉达不到5星级的标准,4星比较合适.', '短评打分': 3}
{'短评内容': '五星级还有点差距。但是服务不错。特别表扬前台0075号，我早上4点半到酒店的，人家还帮忙安排房间。而且服务特别好。对我们长期在外出差的人来说，人家热情的服务就是让我们感觉到回家的温暖。我来自上海，要知道上海的服务可是出名的不好哦。但是人家东北人很热情哦！一句话东北人都是活雷锋！', '短评打分': 5}
