{'短评内容': '在装修好吵', '短评打分': 4}
{'短评内容': '服务和地点不怎么好', '短评打分': 3}
{'短评内容': '位置好，环境好', '短评打分': 4}
{'短评内容': '价格不错，位置较好', '短评打分': 4}
{'短评内容': '喜欢熟悉的地方，第二次来桂林了', '短评打分': 5}
{'短评内容': '无法忍受的是晚上可能是水压不够没有足够的热水洗澡', '短评打分': 4}
{'短评内容': '酒店离朋友家很近。', '短评打分': 4}
{'短评内容': '感觉一般…', '短评打分': 4}
{'短评内容': '便宜嘛就这样', '短评打分': 2}
{'短评内容': '性價比好', '短评打分': 3}
{'短评内容': '便宜，还下错', '短评打分': 4}
{'短评内容': '一般，出差入住，没什么建议', '短评打分': 3}
{'短评内容': '标准房房间很大，也有阳台，大床房就一般了，相对较小，卫生也不如标间，经常入住了，满意', '短评打分': 4}
{'短评内容': '房间很大，经常入住', '短评打分': 4}
{'短评内容': '靠近三里店，出行方便', '短评打分': 3}
