{'短评内容': '刚好赶上节假日，价格涨了一倍，房间简陋又小与高价格不匹配，出去旅游没办法的。老板很热情，地理位置也是极好的出门走两步就到海边了这个很满意，唯一不好的就是楼下酒吧音乐一直放到晚上11点。', '短评打分': 4}
{'短评内容': '对于吃货来说，住这里很方便，就是晚上12点前太嘈杂。', '短评打分': 3}
{'短评内容': '很方便，老板人很nice', '短评打分': 5}
{'短评内容': '非常一般。。。', '短评打分': 2}
{'短评内容': '位置不错，出门就是公交站，也有直通机场和火车站的大巴，出行方便，马路对面是海，下楼就是各种小吃，海鲜，当地特色美食，地方特产，各种水果，', '短评打分': 5}
{'短评内容': '看见过蟑螂', '短评打分': 4}
{'短评内容': '酒店位置不好，紧挨酒吧，直到晚上12点酒吧声音才渐停，不过房间内部设施还挺全，卫生也不错。定的红色经典大圆床，还挺温馨。', '短评打分': 4}
{'短评内容': '曾厝垵的房价都贵，房间就这样了，设施简单房间小最多住2天，不习惯的，附近几个酒吧，23点结束就安静了。周边吃的逛的很方便，公交就在门口5分钟，海边过去也5分钟，过个天桥就到了，就是厦门现在的海好脏岸边都是垃圾', '短评打分': 4}
{'短评内容': '厦门这个季节来玩最合适了，有海风，还可以骑自行车不太热', '短评打分': 5}
{'短评内容': '超喜欢这家老板，服务超好', '短评打分': 5}
{'短评内容': '老板娘热情周到，还有阳台可以晒衣服，很贴心，舒适，赞', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
