{'短评内容': '不带早餐，周边吃的很方便，重点是离夜市很近', '短评打分': 5}
{'短评内容': '睡觉够用的了', '短评打分': 5}
{'短评内容': '酒店的装修风格不错，细节地方具有版纳特色。地理位置较好，就餐和购物都很方便。离大金塔和星光夜市都很近，每天晚上都可以出去溜达一圈，买上心仪的热带水果。', '短评打分': 4}
{'短评内容': 'Sound good', '短评打分': 4}
{'短评内容': '酒店没得说，环境很好，很有热带风情,我们是自驾的，到了告庄，找不着酒店就打电话给前台马上派人来接我们，服务态度棒棒哒，值得推荐.', '短评打分': 5}
{'短评内容': '去大金塔很方便，到告庄西大门口也不远，总之逛夜市、吃傣餐都很方便，去各大景点都到告庄大门口等专线车，很棒！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '周边环境不错，房价偏贵，晚上睡觉吵，床太硬！携程太扯！', '短评打分': 5}
{'短评内容': '干净整洁的酒店，服务很实在，让人有宾至如归的感觉，值得向大家推荐，家里人对酒店都很满意，下次有机会还会继续预订。', '短评打分': 5}
{'短评内容': '装修可能有点久，房间角落卫生不太理想。', '短评打分': 3}
{'短评内容': '老板娘人很好呦，住了三天，服务很周到。', '短评打分': 5}
{'短评内容': '方便，条件好，孩子喜欢！', '短评打分': 5}
{'短评内容': '没什么好说的，干净清洁，配套齐全再加上价格低廉，去哪儿找这么好的事，偏偏我就遇到了，朋友住的300多的湄公源，我住的168的曼丽阁，相较之后，我这边更有特色，更舒服。', '短评打分': 5}
{'短评内容': '环境 服务都很好 下次来西双版纳 还会住这里', '短评打分': 5}
{'短评内容': '服务态度环境都不错', '短评打分': 5}
