{'descr': 'good，good，good，good', 'star': 3}
{'descr': '房间不大', 'star': 4}
{'descr': '位置不错，性价比高，可惜黄了', 'star': 4}
{'descr': '性价比不错！', 'star': 5}
{'descr': '酒店已经黄了', 'star': 3}
{'descr': '一般吧，北京的酒店都不便宜，这个各方面比较适中', 'star': 4}
{'descr': '还可以', 'star': 3}
{'descr': '价格便宜，但实在是差强人意，很旧，毛巾卫生纸都很原始，使用一个大板钥匙，总之不像一个现代的宾馆，不会再住了', 'star': 3}
{'descr': '酒店很干净，房间很大，交通便利！', 'star': 5}
{'descr': '很旧 酒店卫生也不行 价格也不很划算', 'star': 2}
{'descr': '一般。比较旧。只是住一晚，要求不高可以选择', 'star': 3}
{'descr': '只能说还行吧，离地铁口有点远，想坐地铁，体力有不好的人就别了。', 'star': 4}
{'descr': '酒店地理位置优越，紧临地铁口，交通非常方便。周边吃饭、购物都很方便。酒店设施先进，房间干净，设备新，服务热情。酒店住宿可以免费停车，保安很尽责。值得入住！', 'star': 5}
{'descr': '周边吃饭买东西很方便，但是酒店设施实在不敢恭维，布草是破的，干湿不分离，早餐除了每人一个白煮蛋，其他都是素的，15块也就这样了', 'star': 3}
{'descr': '第二次入住，感觉还可以吧', 'star': 4}
{'descr': '可以啦，在北京那种地方价格还算优惠', 'star': 5}
{'descr': '垃圾 极其的垃圾 不建议入住！  设备老化 价钱贵！！！', 'star': 1}
{'descr': '位置很不错，离中华民族园很近，服务也到位，就是隔音稍差些，卫生间相对较小，但是都不是大问题。', 'star': 5}
{'descr': '无论哪方面都非常满意，价格再优惠点，就更完美了。', 'star': 3}
{'descr': '真心一般，态度还不错...', 'star': 3}
{'descr': ' 一切都好，一点小缺点就是隔音效果不太好，外面人打电话有时就能听见，稍稍影响休息', 'star': 3}
{'descr': '房子位置很好隔音还行', 'star': 3}
{'descr': '卫生间也太小了，让人郁闷，交通还可以，旁边就是唐人街', 'star': 3}
{'descr': '如果是在鸟巢附近活动的话，这里是个还行的选择。', 'star': 5}
{'descr': '性价比高，，价位合理，很干净最重要，不错', 'star': 5}
{'descr': '服务员非常热情，有些事情可以具体问题具体分析，灵活度很高。\n\n房间干净整洁，周边交通方便。国外客户要买手机SIM卡可以问前台。', 'star': 5}
{'descr': '酒店环境好，地理位置便利，卫生间较小，早餐很一般。', 'star': 5}
{'descr': '地方设施比较陈旧，但地点和性价比来说还可以。床比较舒服。加班半夜直接去了就睡着了，哈哈。小小的推荐一下。', 'star': 5}
{'descr': '位置环境不错', 'star': 3}
{'descr': '还不错噢，地方很好找，就是床小了点啦。其他的都很OK噢。', 'star': 3}
{'descr': '位置还不错，价格也合适，就是房间稍小了点！性价比高!', 'star': 5}
{'descr': '入住日期：2011-04-16 \t离店日期：2011-04-18\n实际我们入住是16号，离店20号。应该帮我补3天的积分阿。', 'star': 5}
{'descr': '科通到我办事的地方比较近，价格实惠，但是缺点是没有吃早饭的地方。', 'star': 5}
{'descr': '帮家人订的，说是很干净. 但是现在的价位好像不低', 'star': 5}
{'descr': '价钱实惠,248元,设施不行,没有饭厅.', 'star': 3}
{'descr': '酒店服务还好，硬件稍差一些', 'star': 3}
{'descr': '位置好，交通出行方便，而且距离鸟巢也比较近，室内条件也很好，整体来讲还可以.', 'star': 5}
{'descr': '小酒店，价格也不高，交通也方便，到地铁站不到十分钟，附近有大超市，麦当劳，屈臣世、还有85度C', 'star': 5}
{'descr': '网线不是很好，其他还行，地理位置不错哦，离地铁站以及鸟巢很近', 'star': 5}
{'descr': '比去年定的价格高了50元，不知什么原因，酒店基本满意', 'star': 5}
{'descr': '已经是第二次入住,感觉性价比还可以.离水立方和鸟巢都比较近.', 'star': 5}
{'descr': '房间还好', 'star': 3}
{'descr': '酒店在民族园附近，距离奥运村和奥体公园比较近，出行很方便，房间卫生挺好的，服务也不错，其他一般化', 'star': 3}
{'descr': '酒店地处市中心，周边交通出行还是很方便的，距离鸟巢，水立方，民族园都不是很远，房间硬件设施很齐全，还可以上网很方便，环境挺好的', 'star': 5}
{'descr': '酒店地理位置还可以，距离地铁口步行20分钟左右，边上有个大润发超市，买东西方便，房间舒适度挺好的，前台服务员态度很好，蛮规范的', 'star': 5}
{'descr': '房间很大很宽敞，性价比很高，服务一般，其他都还好', 'star': 3}
{'descr': '性价比很高的酒店，地理位置很好走路10分钟就能到鸟巢，前台服务很好，热情周到，卫生条件不错，住着很放心', 'star': 5}
{'descr': '房间卫生条件比较好，比较干净，硬件设施很齐全，前台服务很热情，位置出行方便，下次还会考虑入住的', 'star': 5}
{'descr': '在这住了3晚,感觉一般,卫生间太小,特别是淋浴的地方太小,位置基本可以,步行去水立方在10~15分钟左右.', 'star': 5}
{'descr': '还行', 'star': 5}
