{'descr': '可以', 'star': 5}
{'descr': '好好好好好好好好好', 'star': 5}
{'descr': '环境啦及，室内装修陈旧，下大雨窗户还漏水，是住过最差的如家', 'star': 1}
{'descr': '位置好找，安静干净，不错', 'star': 5}
{'descr': '住了很多次了，这次睡觉有点热，铺盖太厚了。', 'star': 4}
{'descr': '还行', 'star': 4}
{'descr': '住宿环境很好，很不错，给个满分。', 'star': 5}
{'descr': '很不错哦，住过几次了', 'star': 5}
{'descr': '连锁品牌，入住方便，感谢京东', 'star': 5}
{'descr': '质量不错，非常满意。', 'star': 5}
{'descr': '服务太度好，环境将就，毕竟只有百多元钱。', 'star': 5}
{'descr': '价格便宜 位置不错 不过酒店房间太小了。', 'star': 5}
{'descr': '太一般了。尤其是洗浴设备，不好用。', 'star': 3}
{'descr': '京东方便啊，吃喝玩乐都有，，，，但是商家的好坏和京东也没多大关系啊，哈哈哈。', 'star': 5}
{'descr': '不错，很安静', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '一般一般', 'star': 4}
{'descr': '还行吧，床小，位置不好找，房间结构乱', 'star': 4}
{'descr': '赞赞赞，交通方便，离时代天街痕迹。', 'star': 4}
{'descr': '房间还好，条件一般，吸引力不够，需要提高', 'star': 4}
{'descr': '很值得入住', 'star': 5}
{'descr': '经济实惠，交通方便，干净，停车在不远处一个商场边', 'star': 5}
{'descr': '靠近重庆刑警大队，安全buyongshuoe', 'star': 5}
{'descr': '卫生条件很差，虽然是特惠房，但是房间小得可怜，干湿区也没有分开，床头边上就是洗漱台，我是被惊呆了', 'star': 3}
{'descr': '还可以', 'star': 4}
{'descr': '交通方便 位置好周围什么都可以满足', 'star': 5}
{'descr': '地方很难找！！！！！', 'star': 3}
{'descr': '空调小有故障，房间整体不错，工作人员服务不错，早饭很不错。', 'star': 3}
{'descr': '还是可以，对于我熟悉的大坪来说我觉得这里交通很方便。酒店干净，卫生，就是时尚大床的浴室真的很时尚。', 'star': 5}
{'descr': '酒店很干净，服务也很好！酒店所在地是大坪附近比较安静的地方。酒店装修都是情侣房的风格，性价比较高！', 'star': 3}
{'descr': '服务态度很好！就是硬件设施比较陈旧！交通很方便!', 'star': 5}
{'descr': '酒店位置很方便，离地铁口很近，就是房间有点小，不过还不错啦', 'star': 5}
{'descr': '还可以，房间有点小，烟味有点重。。。。强烈推荐酒店附近的一家酸辣粉，  出酒店下坡然后左边走，前行20米，然后就在左手边，本不起眼的一排小店，好像只有那一家酸辣粉。', 'star': 5}
{'descr': '环境好 服务态度好 交通方便 棒极了 下次还去那', 'star': 5}
{'descr': '服务态度还可以，酒店设施卫生也ok,推荐给大家！', 'star': 5}
