{'descr': '很好好好好', 'star': 5}
{'descr': '一进门一股烟味，不知道是怎么做的卫生。隔音效果超级差，很明显外面空调机的声音，空间特别狭小，很糟糕的体验。', 'star': 2}
{'descr': '早餐很好服务热情', 'star': 5}
{'descr': '很干净，东西很齐全', 'star': 5}
{'descr': '房间不错哦', 'star': 5}
{'descr': '性价比还行', 'star': 5}
{'descr': '价格实惠，离江宁万达广场很近，服务态度挺好的', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '这边还不错', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '是楼层分离型的经济酒店，位置不错但是服务和设备真的太差了。特别是那个吹风机，用完后整个卫生间都是白烟，和前台说过后人家只是问我还用不用，不用就不修了，我也是醉了。', 'star': 2}
{'descr': '还行', 'star': 4}
{'descr': '还行', 'star': 4}
{'descr': '方便，主要考虑到方便，房间大小不错，但是感觉好矮，光线不错，卫生间的干湿分区做的不错，比杭州的要好，服务员很热情', 'star': 5}
{'descr': '卫生还可以，周边公交很多很方便，离江宁万达也很近。但房间在电梯旁边，隔音不好，听了一晚上电梯运作的声音。', 'star': 5}
{'descr': '挺干净的，也挺大，设施都挺新的，就是空调有点吵，周边离万达很近，方便～', 'star': 5}
{'descr': '真的很不错，就是白天旁边商店音乐大了点。。我给满分！！！', 'star': 5}
{'descr': '马桶上可能都没打扫，上面很多尿斑。而且洗手间骚味挺重的，房间挺新的，如果注意卫生打扫还是不错的。', 'star': 4}
{'descr': '蛮干净，就是隔音太差', 'star': 4}
{'descr': '还可以吧…闹中取静的位置…周边配套很方便…', 'star': 5}
{'descr': '挺好的 ，就是有异味，挺好的挺好的挺好的', 'star': 5}
{'descr': '比较干净，也还新。唯一的不足是地方太不好找，要是没有本地朋友带路，找起来不容易。', 'star': 5}
{'descr': '地理位置很好  住了两天 中间有点小插曲  由于门锁的问题换了一次房间  耽误了点时间  但服务还是挺周到的 还算满意吧', 'star': 5}
{'descr': '好不错 价格便宜 房间挺大的 毛巾很舒服 性价比不错', 'star': 5}
{'descr': '窗户太小，而且是天井窗户，屋内空气不好，下次不会再选择了。', 'star': 1}
{'descr': '很干净，有火锅味，三楼就是自助火锅，很好吃的说，房间还不错，但是要拨号上网', 'star': 5}
{'descr': '第一次住莫泰感觉还不错，就是隔音效果差了点，再次来南京的一家卫生差多了，有些挤，幸亏没听前台的话办会员卡。', 'star': 3}
{'descr': '干净卫生，前台服务态度一般，房间隔音效果不是很好。', 'star': 5}
{'descr': '不错不错啦，住过好几次了，莫泰的价格还是很公道的，就是隔音不好，', 'star': 5}
{'descr': '能在周六订到酒店不容易，住的还不错，要是能再经济点就更好了', 'star': 5}
{'descr': '酒店有点小，楼道里有麻辣烫的味道，呵呵。', 'star': 5}
{'descr': '隔音效果不好，其他还可以', 'star': 3}
{'descr': '很干净，但是隔音效果不太好。周围很好几家宾馆，也有吃饭的地方', 'star': 5}
{'descr': '在江宁区算是比较方便的酒店了.各方面都还是可以的吧', 'star': 5}
{'descr': '总体来说还算不错，性价比还是挺高的。', 'star': 3}
{'descr': '非常好，态度好，服务没的说！！！一句话，就是好！', 'star': 5}
{'descr': '还行吧，挺不错的，房间小了点。便宜点更好！！！！！！！', 'star': 5}
{'descr': '其他挺好的。。。就是水温好低~洗澡洗得冻死了。。。', 'star': 5}
{'descr': '感觉挺好的，服务态度也很好，就是隔音效果不怎么好，晚上好吵', 'star': 5}
{'descr': '服务，态度很到位，住在里面很温馨，让人有种到家的感觉，最喜欢里面的设计', 'star': 5}
{'descr': '服务态度不错，就是弹簧床弹簧太明显了', 'star': 3}
{'descr': '周围比较热闹，酒店也比较干净,离地铁站公交3站路       ', 'star': 5}
{'descr': '周围处闹市区,出行方便,内部设施一般,能接受!', 'star': 5}
{'descr': '有家的感觉，很不错！值得推荐，交通也便利！', 'star': 5}
{'descr': '环境干净，清静，不错！', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '安全工作做得不错，周边还算比较方便，今后还会再住', 'star': 5}
{'descr': '房间干净  清洁     温馨  相比如家 我更喜欢这里', 'star': 5}
{'descr': '感觉不错嘛', 'star': 3}
{'descr': '不错', 'star': 3}
