{'descr': '停车不用担心', 'star': 4}
{'descr': '在运河边旁，挺安静的', 'star': 4}
{'descr': '不错，挺舒适的', 'star': 5}
{'descr': '酒店很不错，', 'star': 5}
{'descr': '来这里住了好几天，很舒服，干净，风景好', 'star': 5}
{'descr': '不错，很给力！！！！！！', 'star': 5}
{'descr': '酒店在河边出入单行线有点难找，自已开车需要注意，房间整洁卫生，床挺大。出酒店不远处有美食街，观光塔。性价比好。', 'star': 5}
{'descr': '住11楼靠近路边，晚上很吵，房子不隔音!', 'star': 5}
{'descr': '地方有点难找，服务态度不错，价格也便宜', 'star': 4}
{'descr': '朋友一行6人，去苏州游玩，然后去吴江花园路上的叮叮冷锅鱼饱餐了一顿，入住了该酒店，服务好，出行方便，大家都很满意。', 'star': 5}
{'descr': '还不错 挺安静的', 'star': 5}
{'descr': '干净，环境好。价格适中。给五星', 'star': 3}
{'descr': '酒店位置还好，环境不错，好评！', 'star': 5}
{'descr': '基本满意', 'star': 5}
{'descr': '服务很好  还是不错的', 'star': 4}
{'descr': '酒店不错 干净卫生 有独立空调  好评', 'star': 3}
{'descr': '总体评价还是相当不错的，从一进酒店门开始，各岗的服务都是非常好的，房间也非常干净，性价比比较高\n最大的缺点是房间隔音太差，隔壁间的声音稍大点就听得很清楚', 'star': 5}
{'descr': '很好，一直住那里的。推荐，干净，安静。确实很好', 'star': 5}
{'descr': '隔音不怎么好？都能听到旁边房说什么话，其他还可以吧，有点吵', 'star': 5}
{'descr': '去吴江一般选择入住，比较安静。如何和其他快捷酒店相比，还是格林豪泰稍微好点。', 'star': 5}
{'descr': '酒店位置好，很干净，设施齐全，就是隔音不太好。总的来说性价比较高，下次到吴江还住格林豪泰。', 'star': 3}
{'descr': '地理位置比较偏僻，所以反而很安静，不错，就是房间的隔音太差，隔壁房间好吵，不过快捷酒店也就只能这样啦，不能要求太高哦。', 'star': 5}
{'descr': '床比较舒服，前几个星期住了一次，这次有预定的。就是楼上在装修，白天有点吵', 'star': 5}
{'descr': '房间很干净，清爽，位置比较偏，但是反而觉得幽静', 'star': 5}
