{'短评内容': '停车位充足', '短评打分': 5}
{'短评内容': '价格与当地国大、雷迪森靠齐，服务与路边小旅馆无异：马桶没打扫，留着好多恶心的血迹；电话机全是破的；前台服务员电话过去爱理不理且语气差', '短评打分': 2}
{'短评内容': '酒店稍偏，马路对面有几家小面馆，有一家牛肉羊肉面的味道很不错，对面的小街应该是红灯区，不过好像生意不好，大都关着门，酒店硬件设施不错，性价比较高，入住时前面的客人刚退房，急急忙忙打扫的阿姨没有打扫干净，房间地上有牙签，石榴籽，洗手台有头发，总体不错，早餐简单，搭配不太好，酒店物有所值了，毕竟价格在那了！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '待人预定，具体不是很清楚。', '短评打分': 4}
{'短评内容': '整体都挺不错，自助餐没有尝试，起床太迟了，别的都可以，就是夜里会有几声火车的喇叭声', '短评打分': 5}
{'短评内容': '酒店不错，性价比很高，第一次住上虞就住到这么好的酒店，服务员也很热情，不知道明天的早餐怎么样了下次还来', '短评打分': 4}
{'短评内容': '干净，还不错吧！酒店环境不错。', '短评打分': 3}
{'短评内容': '酒店环境好，停车场很大，不错。', '短评打分': 3}
{'短评内容': '酒店环境非常不错，很新很干净!', '短评打分': 5}
{'短评内容': '环境很不错，卫生也干净，价格实惠', '短评打分': 5}
{'短评内容': '同事一起出差入住，距离中医院很近，办事情方便。酒店硬件设施也不错，管理比较人性化。满意，推荐！', '短评打分': 5}
