{'短评内容': 'just so so but good position for highway travel...', '短评打分': 4}
{'短评内容': '非常好的宾馆。可以看长江', '短评打分': 5}
{'短评内容': '很好，就是吃饭有点远', '短评打分': 5}
{'短评内容': '相当不错的酒店位置很好', '短评打分': 5}
{'短评内容': '下高速就到，停车也方便。老酒店了，房间大，隔音不好。', '短评打分': 3}
{'短评内容': '高速旁边很方便', '短评打分': 5}
{'短评内容': '很不错，公司出差每次都入住这家，环境很好，也很方便，前台态度不错，下次去宜昌还来', '短评打分': 5}
{'短评内容': '还行吧，周边环境什么的一般般，服务也可以', '短评打分': 4}
{'短评内容': '路过休息还不错，方便', '短评打分': 3}
{'短评内容': '12月5日入住酒店，在携程网预订两间江景特惠房（178间），到前台后服务员以各种理由拒绝。让我们从新预订其它房型（188或218间）。刚好携程网来电核实客人入住情况，服务员才很不情愿给我们办手续。首先服务态度非常不好，爱搭不理的样子，沒有一点笑容，语言冰冷，问一句答一问。房间装修陈旧，有霉味，空调开到最高也不热，而且噪音很大，早餐品种单一，唯一适合自驾出游的朋友。酒店位于宜昌高速出口处', '短评打分': 2}
{'短评内容': '晚上临时上网搜的，靠高速出口最近的一家。硬件条件很好。服务可以。', '短评打分': 5}
