{'短评内容': '位置很方便，就在神农公园旁，环境不错。但是早餐太简单了。', '短评打分': 4}
{'短评内容': '设备有点旧,基本是物有所值.继续努力吧。', '短评打分': 5}
{'短评内容': '加', '短评打分': 3}
{'短评内容': '哈  还不错！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，交通方便。其他状况一般。', '短评打分': 5}
{'短评内容': '床垫比较舒服，设施一般，房间也不大，早上有送餐服务，总比没有好吧。相对198的价格来说，只能是一般吧。', '短评打分': 1}
{'短评内容': '  空调效果很差 房间那不是一般的热啊 早上7点半就来送早餐 直接被吵醒了 不过服务员态度还好 然后房间网速比较快 ', '短评打分': 5}
{'短评内容': '总体还行，就是早餐8点送到房间，每次都被吵醒，而且早餐太简单了！', '短评打分': 1}
{'短评内容': ':硬件设施不错！', '短评打分': 3}
{'短评内容': '早餐太差了，不过住的挺舒服！总体还不错！', '短评打分': 5}
{'短评内容': '酒店环境的确不错,值得推荐！', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '交通方便楼下就是公交站，旁边有公园。网速很快。但是靠近马路这边的房子因为楼下车多，很吵。', '短评打分': 5}
{'短评内容': '房间收拾的非常干净，看着很舒服，隔音也不错的，还有就是交通也蛮便利。', '短评打分': 5}
{'短评内容': '服务态度较好，楼下乘车方便！', '短评打分': 5}
{'短评内容': '酒店环境不错，管理也人性化，性价比不错。', '短评打分': 5}
{'短评内容': '酒店房间是中央空调，质量、致冷效果还不错,我喜欢客房内是中央空调的房间.室内布局也还不错.', '短评打分': 5}
{'短评内容': '房间设施比较新,很齐备.视内的电视很大,看起来有点电影院的感觉.反正我感觉还是挺不错的.', '短评打分': 5}
{'短评内容': '酒店的卫生条件很好.服务人员对工作都很认真负责,把房间整理的很干净也很温馨.', '短评打分': 5}
{'短评内容': '位置在神农公园的旁边，性价比还算是比较合适。', '短评打分': 5}
{'短评内容': '酒店位置不错,室内条件也可以,旁边的小街上有许多不错的餐厅,可以去品尝一下.', '短评打分': 5}
{'短评内容': '酒店给我感觉还是不错的,就是床有硬,不过睡起来还不错,对身体好,一觉醒来不会有酸痛感.室内条件也可以.', '短评打分': 5}
{'短评内容': '酒店整体环境不错，设施建议更新一下，其他还好。', '短评打分': 5}
{'短评内容': '这家酒店卫生条件非常好,每天负责打扫的员工很敬业.前台人员也很热情周到,给我感觉不错', '短评打分': 5}
{'短评内容': '位置很好,距离江边比较近,晚饭过后可以去散散步.挺不错的.离贺家土自由市场和宵夜一条街也不远.', '短评打分': 5}
