{'短评内容': '酒店设备需要多检查下了。有停车位，无早晨。环境还可以。', '短评打分': 3}
{'短评内容': '还不错的样子', '短评打分': 5}
{'短评内容': '完美&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '第一次从京东预定住如家，还直接升舱了。美女前台给满分。谢谢。第一次自助打票。挺干净的客房。噪音也小。离火车站600米 步行就到了。', '短评打分': 5}
{'短评内容': '一来这里都会住如家', '短评打分': 5}
{'短评内容': '非常好非常满意', '短评打分': 5}
{'短评内容': '哎呦我去', '短评打分': 5}
{'短评内容': '评价了好多次，不错字数够了吗，京豆拿来。哈哈', '短评打分': 5}
{'短评内容': '位置不错，离火车站挺近，周围吃饭的地儿也挺多，不错', '短评打分': 5}
{'短评内容': '挺好的 嗯嗯', '短评打分': 5}
{'短评内容': '位置不错，交通便利，楼下吃饭的地儿也挺多', '短评打分': 5}
{'短评内容': '京东定酒店挺便宜的，比官网还便宜，支持', '短评打分': 5}
{'短评内容': '跟往常如家一样 环境好服务态度好', '短评打分': 5}
{'短评内容': '交通方便 环境一般', '短评打分': 3}
{'短评内容': '服务态度很好，环境幽静。还算不错。', '短评打分': 5}
{'短评内容': '整体不错', '短评打分': 5}
{'短评内容': '位置很好，卫生很好，下次还来入住。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '啥时候睡觉都觉得就到家惦记惦记惦记', '短评打分': 5}
{'短评内容': '前台经理很漂亮，感冒了也很美', '短评打分': 5}
{'短评内容': '感觉挺好的，不错的，', '短评打分': 3}
{'短评内容': '挺好的，干净，很少去，比较便宜', '短评打分': 3}
{'短评内容': '如家快捷酒店（邹城龙山南路店），很好很好', '短评打分': 5}
{'短评内容': '感觉很温馨，服务好，早餐比较丰富。', '短评打分': 3}
{'短评内容': '位置不错，院子里能停车，服务态度好，干净。', '短评打分': 5}
{'短评内容': '己入住邹城市如家', '短评打分': 3}
{'短评内容': '还可以，有骚扰电话·····································', '短评打分': 5}
{'短评内容': '酒店卫生不错，确实是如家的感觉，而且交通比较便利。', '短评打分': 5}
{'短评内容': '订的是大床房,到店后才告之大床房已经没有了,现改为标准间,建议以后及时为客户保留房间,即便真的没有了也应该及时通知客户', '短评打分': 1}
{'短评内容': '交通方便 设施比较完备 价格便宜 房间比较干净 服务还不错', '短评打分': 5}
{'短评内容': '不错 设施还算完善 交通也必将方便 推荐入住', '短评打分': 5}
{'短评内容': '一直住如家，很不错。主要是服务好，比较干净。离火车站近。', '短评打分': 3}
{'短评内容': '温馨的住处····························', '短评打分': 5}
{'短评内容': '这个如家离火车站不远，走一回就到了。虽然靠路边，其实还有个大院，非常安静。住的是一楼也不吵。里面有暖气，不用开空调也很暖和，总的来说很适合出游住。', '短评打分': 5}
{'短评内容': '不错的酒店，房间够大，早餐也丰富，下次会继续入住！ \n', '短评打分': 5}
{'短评内容': '总体不错，新装修的，环境很好、院子大便于停车，唯一的不足就是电视频道太少，没几个台！', '短评打分': 5}
{'短评内容': '店面、房间干净，就是吃饭太不方便。由于忘带手机充电器问询总台，告知这里不预备。房间里没有吹风机，冬天洗澡头发干不了，这些相比汉庭差距不小。', '短评打分': 1}
{'短评内容': '整体上还不错，但有个缺点 ，被子太厚 ，不舒服 。应该改良 。', '短评打分': 5}
{'短评内容': '环境好，设施全，周围交通便利，价格合理，服务好，值得推荐！', '短评打分': 5}
{'短评内容': '每次来都住这里，舒服干净，卫生好！出门左拐有一家小笼包不错！', '短评打分': 3}
{'短评内容': '还可以，就是有点味道', '短评打分': 3}
{'短评内容': '服务不错，靠着路边，夜里还是比较安静的。', '短评打分': 5}
{'短评内容': '地理位置不错,房间干净整洁,服务也不错,下次还会选择.', '短评打分': 5}
{'短评内容': '环境不错，挺好的！', '短评打分': 3}
{'短评内容': '酒店卫生及环境都还可以，性价比较一般。可推荐。', '短评打分': 5}
{'短评内容': '非常干净，环境不错，服务也好，下次来还住这里！洗澡水好大！好评！', '短评打分': 3}
{'短评内容': '还不错的酒店，房间略微小了点儿，在邹城这样的地方，这个价格稍微贵了点儿，不过总体还是不错的。卫生尚可，卫生间有点异味，其他就是一个如家该有的样子了。', '短评打分': 5}
{'短评内容': '酒店开业不久，但是客人不少，卫生好，服务员可能较少，房间打扫不及时。\n现在没有早餐，不过提供外卖。房间和卫生间挺宽敞，走廊宽敞。', '短评打分': 5}
