{'短评内容': '早餐很好，房间卫生', '短评打分': 4}
{'短评内容': '各方面都可以，下次还会入住。', '短评打分': 3}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '房间不错，服务一般', '短评打分': 4}
{'短评内容': '有停车场，总体还行', '短评打分': 5}
{'短评内容': '干净，安静，经常住！', '短评打分': 5}
{'短评内容': '干净，安静，经常住！', '短评打分': 5}
{'短评内容': '干净，安静，经常住！', '短评打分': 5}
{'短评内容': '干净，安静，经常住！', '短评打分': 5}
{'短评内容': '各方面都还可以，下次还会入住。', '短评打分': 3}
{'短评内容': '有被坑的感觉觉!', '短评打分': 3}
{'短评内容': '不是很厚度，携程价比门市价高', '短评打分': 3}
{'短评内容': '多次入住，感觉很好', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比挺高的，总体来讲，钱还是花的比较值得，房间也挺大，浴室的热水还是比较给力的，下次还会预订', '短评打分': 5}
{'短评内容': '很是一般，性价比太低，好像主要以餐饮为主', '短评打分': 3}
{'短评内容': '非常好的酒店，下次还会再来的。', '短评打分': 5}
{'短评内容': '房间不小，够宽敞。', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '总体还可以，早餐很一般，服务员还是很热情的，下次还会入住？', '短评打分': 3}
{'短评内容': '房间还算干净 价格有点小贵 ，前台服务态度很好 ', '短评打分': 5}
{'短评内容': '十酒店干净，早餐丰富。', '短评打分': 3}
{'短评内容': '酒店服务很差', '短评打分': 3}
{'短评内容': '不錯的酒店，很好的商旅出行選擇。。。。。。。\n\n\n', '短评打分': 5}
{'短评内容': '酒店似乎以餐饮为主,上房间要穿过一个两旁都是包箱的走廊,性价比尚可', '短评打分': 1}
{'短评内容': '房间够大，设施也可以。适合自助旅游的人入住，因为周边景点不少。', '短评打分': 5}
{'短评内容': '房间很大,感觉很好,就是隔壁声音也大.楼下是饭店.', '短评打分': 5}
{'短评内容': '大体上还是不错，今天也出差这里三天，早餐就是一成不变的', '短评打分': 5}
{'短评内容': '酒店不错，干净，服务还好。吃饭的人太多，太吵，出租车不好打，早餐太差，没东西吃，盘子、筷子洗得不干净。', '短评打分': 5}
{'短评内容': '门口停车很方便，早餐很丰富，房间很豪华，下次还会入住 \n', '短评打分': 5}
{'短评内容': '酒店設施還不錯\n空間比較大\n空調很給力\n服務不錯\n早餐略簡單\n交通還算便利\n', '短评打分': 5}
{'短评内容': '门口停车很方便，早餐很丰富，房间很豪华，下次还会入住', '短评打分': 5}
{'短评内容': '早餐比较好，房间比较豪华，只是隔音不是太好', '短评打分': 5}
{'短评内容': '值  得  一  住，总  体  感  觉  挺  好  的  ', '短评打分': 5}
{'短评内容': '酒店不错，房间干净，楼层不高，酒店的餐饮野可以，就是早饭不是特别丰富，平时价格可以，到了周末涨的蛮多的。', '短评打分': 5}
{'短评内容': '服务不错，房间很干净。', '短评打分': 3}
{'短评内容': '酒店空间较大，布局独拘一格，装修温馨舒适，设施齐备，价格合理。唯一不足之处是酒店的隔音较差，隔壁说话声都能听到。', '短评打分': 5}
{'短评内容': '就四星旅館，房間的設備還是可以的\n清洁服務做的好，值得寫出來表揚\n\n一樓大堂，感覺還是以吃飯為主，無法突顯有住宿\n餐廳的生意很好，所以在大堂Check in時，只覺的好像走錯地方了，感覺是要來吃飯的。', '短评打分': 5}
{'短评内容': '很安静,不错', '短评打分': 3}
{'短评内容': '房间装修很一般，和图片效果差距较远，唯一的优点是比较安静。', '短评打分': 5}
{'短评内容': '性价比很高，这个酒店主打应该是吃饭，不过配套的酒店也很好，很喜欢，唯一不足比较难打车！', '短评打分': 5}
{'短评内容': '酒店不错。环境很好。也很安静。下次还会选这家', '短评打分': 5}
{'短评内容': '房间连冰箱都没有,差劲!商务套间在床上无法看电视!', '短评打分': 1}
{'短评内容': '+不错！288住四星酒店，设施很好，酒店餐厅也很好！', '短评打分': 5}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '交通有些不便，附近没什么购物、餐饮点，不过酒店自己有餐饮，而且相当不错。房间设施较新，宽敞明亮，卫生间干净，总体比较舒适。\r\n但，前台服务员的态度不怎么样，客人来了，4个前台都如坐泰山地在那坐着，对客人爱搭不理的。', '短评打分': 5}
{'短评内容': '+酒店尚新 但一楼大堂充满酒酸味 因中餐在旁边 建议房间上楼不要经过用餐包房', '短评打分': 5}
{'短评内容': '酒店装修新，房间够大，早餐过于简单。', '短评打分': 3}
{'短评内容': '新开酒店，装修可达4星，服务3星，现以一楼酒楼为主。值得推荐。', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '酒店看起来还比较新，房间挺大的，卫生也不错，整体感觉值得推荐。', '短评打分': 5}
