{'短评内容': '离灵隐寺很近，很方便！', '短评打分': 5}
{'短评内容': '离灵隐寺很近，很方便，不过离其他景点较远，旅舍很好。第二次入住了。很干净！', '短评打分': 5}
{'短评内容': '抵达杭州已是深夜~前台的美女小姐姐一直在贴心等待~然后耐心引导至住处~清晨在树香和依鸟鸣中睁开眼睛~透过房间的窗子便是满眼绿色~~环境很不错~安逸闲适~没有什么商业气息~特别适合发呆和消磨时间~房间很干净~~ 中式的风格~很大滴满足了一个北方人对杭州的一切美好想象~很棒的店！以后还会来！', '短评打分': 5}
{'短评内容': '没有早餐环境不错离灵隐寺很近', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '挺好的，也很干净，不错', '短评打分': 5}
{'短评内容': '酒店位于灵隐景区，周边环境好，空气清新，适合徒步休闲', '短评打分': 5}
{'短评内容': '酒店位于灵隐景区，周边植被茂盛，环境幽美，安静！', '短评打分': 5}
{'短评内容': '还是不错的，环境又好，老板也不错', '短评打分': 5}
{'短评内容': '还是不错的，环境挺好，还安静', '短评打分': 5}
{'短评内容': '环境清幽，离景区进，但是住宿的环境一般', '短评打分': 4}
{'短评内容': '环境比较清幽，房间条件的一般吧', '短评打分': 4}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '洒店位置很好', '短评打分': 5}
{'短评内容': '离灵隐很近，步行可到，环境不错，卫生也很好', '短评打分': 5}
{'短评内容': '酒店离灵隐很近，步行几分钟就到了，设施一般，性价比不错', '短评打分': 4}
{'短评内容': '酒店的位置很好，步行到灵隐寺5分钟，周边的景致很美。', '短评打分': 5}
{'短评内容': '位置很好，就在灵隐寺边上，早上起来走过去很近，卫生间淋浴房根本不隔水，洗完澡之后满地都是水，直接就溢出来了，这点让我很蛋疼，房间不大，没有什么地方可以放东西，所幸只是住一晚，东西带的也不多，', '短评打分': 4}
{'短评内容': '208元的房间，设施简陋局促，两人的行李物品没地方摆放，包都放在单人沙发上，没有橱柜衣服都挂在墙上。床单和被子看着像没换过。空调的动静堪比拖拉机，只能醒着时开。离灵隐寺几百米。乘7路最方便。晚上9点半以后就没公交了。白乐桥这片空气好清静。', '短评打分': 3}
{'短评内容': '离灵隐寺很近   但是离市区很远   不过旅店装修得很有感觉', '短评打分': 5}
{'短评内容': '很干净   舒适   空调给力~~~离灵隐寺很近   但打车不是很方便', '短评打分': 5}
{'短评内容': '环境没得说，最重要的是离灵隐很近，早上上完香还可以回店里休息一会再走。', '短评打分': 3}
{'短评内容': '店家服务很好，我下车后打完电话询问地址，就马上开车来接，免走许多冤枉路，（过后仔细确认，其实就在灵隐寺不远处）进门去，觉得很有特色除了房间小点。晚上很安静，空气很清新，星星很亮。', '短评打分': 5}
{'短评内容': '环境幽雅，空气清新，价格便宜。', '短评打分': 3}
{'短评内容': '位置就在灵隐寺山脚下不远。房间新装修的，纸杯需要下楼拿。(´･_･`)。相对便宜', '短评打分': 5}
{'短评内容': '不错，房间还算干净，就是电视频道过少，好在还有无线宽带可以用。酒店就在灵隐寺旁边，省了一笔停车费。', '短评打分': 5}
{'短评内容': '离灵隐的公交总站挺近的，村庄里大大小小不少旅舍，这家挂了青年旅舍的名字，相对生意要好一些，我们的标房在b楼，不带院子什么的，但是位置比较高，在三楼望出去风景还不错，房间很小，没有什么陈设，还算干净，空调也给力，水温基本恒定，但是花洒出水不好，估计冬天洗澡会是个问题吧。。。提供电蚊香，不过也没有什么蚊子，wifi全覆盖，网速的话，手机上网ok。酒店不提供早饭，不是很方便。也不能延迟到2点退房，不够人', '短评打分': 5}
{'短评内容': '旅舍的环境不错，我要的是景观大床房，不过这床实在不大，空间很小，而且窗子也很小，外面就是别人家房子的瓦顶，实在没啥景观', '短评打分': 3}
{'短评内容': '因半夜才入住,第二天才感受到周围的环境,早上有鸟叫声, 空气特别清新,还不错', '短评打分': 5}
{'短评内容': '酒店整体环境还可以，服务态度很好，就是住在一楼有点吵，其他都还可以。', '短评打分': 3}
{'短评内容': '环境挺好的，就是房间小了点。', '短评打分': 3}
{'短评内容': '还不错，跟农家一样，就是无线网络不给力，用不了', '短评打分': 5}
{'短评内容': '有点难找，出租车司机还是打电话问了别人才把我带到地方。= =\n不过，店家人蛮好的，并且房间的条件什么的都很好。\n出门之后就有小吃可以当早饭什么的，出了白乐桥之后坐公交车每一站都是景点~\n很喜欢。以后如果去了还会选择这家~~', '短评打分': 5}
{'短评内容': '幽静而简洁，令人有回归自然的感觉。有机会一定再去。', '短评打分': 3}
{'短评内容': '这次去住这里有点失望，238一间很小的房间，新装修的味道很重。挺失望的。。。。。', '短评打分': 4}
{'短评内容': '酒店环境很不错，到灵隐寺很方便，交通也很方便\n', '短评打分': 5}
{'短评内容': '旅馆环境很好～～装修风格也挺不错的～～只是购物逛街比较远，景区吃饭还是挺方便的', '短评打分': 5}
{'短评内容': '酒店很干净，周围环境也不錯，交通也很方便。（离灵隐寺公交站不到10分钟路程。不过第一次去的人可能不太容易找，最好去之前打电话去問一下服务人员指点一下会好一点）。服务人员也很nice。下次去玩還会考虑入住这个酒店。', '短评打分': 5}
{'短评内容': '房间很干净，还提供了毛巾、牙刷、沐浴露之类的，过去入住很方便，老板人很好，很热心。', '短评打分': 3}
