{'短评内容': '陪家人在总院看病的，可惜酒店有点吵，不过便宜！', '短评打分': 3}
{'短评内容': '还不错，去陆军总院挺方便。', '短评打分': 4}
{'短评内容': '没有早餐，没有开车，就是离医院近', '短评打分': 4}
{'短评内容': '老是有服务员在楼道吵闹声，隔音很不好，不过离医院近！', '短评打分': 4}
{'短评内容': '宾馆最大优点就是安静 离总院近  ...................................', '短评打分': 5}
{'短评内容': '优点，就是近，离目的地方便。周边吃饭的地方也多，挺好。每次都住。只是锅炉房声音有些大，天楼太吵了。。', '短评打分': 4}
{'短评内容': '可以。但网络太差！时有时无', '短评打分': 4}
{'短评内容': '就是网络时有时无！要改进才行', '短评打分': 3}
{'短评内容': '可以！网络时好时坏', '短评打分': 3}
{'短评内容': '很满意，感谢网店及酒店的热情接服务，谢谢！', '短评打分': 5}
{'短评内容': '替朋友预定的，回馈感觉很好，适宜居住，服务温和', '短评打分': 3}
{'短评内容': '环境舒适，交通方便，周围寂静，适宜休息。', '短评打分': 3}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '比较方便，离总院很近，停车好停。', '短评打分': 3}
{'短评内容': '酒店挺不好找的，在很深的巷子里的一个居民区。酒店内部环境不错，干净优雅，   有空调，宽带。', '短评打分': 3}
{'短评内容': '这酒店服务好，卫生好。', '短评打分': 3}
{'短评内容': '住在6楼没电梯，比较辛苦。兰州的住宿不好找啊。', '短评打分': 5}
{'短评内容': '外观看起来不怎么样，但内在环境不错，值得推荐。', '短评打分': 5}
{'短评内容': '万家宾馆总体还可以，我们带孩子住的标间，整个宾馆竟然没有备用枕头。', '短评打分': 3}
{'短评内容': '价格合理，环境不错，淋浴头有的不好，服务不错、总体85分！', '短评打分': 5}
{'短评内容': '到兰州军区总医院办事，就近方便，但其他出行稍有不便，服务和价钱基本相符吧。', '短评打分': 5}
{'短评内容': '周边环境一般，但店内环境不错呢，价位合理，值得一住', '短评打分': 3}
{'短评内容': '虽然房子稍微小了一点点，但是卫生、环境还是不错。屋内设施也不错，24小时热水。总之，推荐~ \n唯一不足之处就是稍微有点难找。不过步行一点点路，交通还是方便的。', '短评打分': 5}
{'短评内容': '在兰州来说，是比较干净的一家酒店了。服务也不错。值得推荐', '短评打分': 5}
{'短评内容': '服务不错，不过房间小了点，没有电梯，确实不方便！', '短评打分': 5}
{'短评内容': '位置比较偏远，环境卫生一般，出门打车需要往外走很远！', '短评打分': 1}
{'短评内容': '在一个院子里，很安静。房间虽小，但挺整洁的，设施也比较新。', '短评打分': 5}
{'短评内容': '第三次住了，就图去机场和附近办事方便，私人酒店管理实在不敢恭维，居然只有洗发露没有沐浴露。', '短评打分': 5}
{'短评内容': '在一个院内，酒店设施是新的，没有电梯，服务、管理一般，离民航大巴上下客点很近，去机场方便。', '短评打分': 5}
