{'短评内容': '经济实惠 离海边很近 小区绿化很好', '短评打分': 5}
{'短评内容': '非常好，老板也很热情。大赞', '短评打分': 5}
{'短评内容': '很有家的味道，很舒心', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': ' 家庭公寓式房，一室一厅，有观景阳台（我们住的是21楼），距离海边5分钟，小区门口有8路、25、26、6路等近10路公交车，去天涯海角、大东海、蜈支洲岛、亚龙湾以及机场、火车站等都很方便，不过公交车比较拥挤，且小偷比较多，外出要看好自己的钱包哦！小区环境十分优美，很安静，有露天游泳池，若想在小区内游泳10元一位。房间冰箱、洗衣机、微波炉、电磁炉、电视等一应设施齐全，可以做饭（每天灶具使用费30），', '短评打分': 5}
{'短评内容': '交通方便。对面的大海有很多贝壳可以捡。大姐很热情的。房间有WiFi～不过粗来玩少玩手机哟。晚上可以去海悦广场体验一下海南人民各式各样的舞蹈和才艺表演。', '短评打分': 5}
{'短评内容': '离机场近', '短评打分': 3}
{'短评内容': '优点：交通方便，可以方便的乘坐各条线路的公交车，一般都有座位。购物方便，楼下就有超市。价格便宜。\n缺点：临街的房子非常吵，建议选择不临街的房子。', '短评打分': 5}
{'短评内容': '位置好，交通便利。海月公寓的老板王姐还给升级了房间，非常感谢！王姐和小弟服务热情！“名不虚传”哦！我们住的是8层，房子宽敞明亮，房东王姐收拾的非常干净！阳台视野开阔，每天带孩子下海玩水后，衣服晾晒方便（对于带孩子来玩非常重要）孩子和王姐家的小朋友玩的很开心，真的是感觉很亲切，如同回家的感觉！推荐！', '短评打分': 5}
{'短评内容': '环境很好，靠海近。老板人也非常好，有机会我还会去的', '短评打分': 5}
{'短评内容': '客房的卫生做得不是很好，其它各方面条件倒还算可以，整体来讲还行.', '短评打分': 5}
{'短评内容': '位置很好，很方便出行，而且室内的环境也不错，住着舒适.', '短评打分': 5}
{'短评内容': '很温馨，下次有机会来三亚的话，还想入住此店，阿姨和小弟对人都很亲切', '短评打分': 5}
{'短评内容': '酒店有些花园式公寓酒店.环境好，而且距离海边也近，出海很方便.', '短评打分': 5}
{'短评内容': '这里购物、吃饭、旅游各条路线都非常方便。性价比很高。阳台大，而且就能看到南海、大东海广场。', '短评打分': 5}
{'短评内容': '客房的硬件设施还是挺不错的在，而且室内卫生做得也不错，印象挺好的.', '短评打分': 5}
{'短评内容': '服务人员的办事效率不高，速度不够快，有些显得散漫.不够专业.', '短评打分': 3}
{'短评内容': '房间大小还好，设施有些陈旧，卫生做得还好，周边环境挺好，出行游玩挺方便。', '短评打分': 3}
{'短评内容': '酒店的地理位置挺好，出行挺方便，卫生方面还好，打扫的还算干净。', '短评打分': 3}
{'短评内容': '环境不错，服务挺周到，房间挺温馨舒适，住的有种家的感觉。', '短评打分': 5}
{'短评内容': '设施挺好，网上挺快的，使用很方便，位置也不错，出行挺方便。', '短评打分': 3}
{'短评内容': '酒店看着有点老化，卫生方面还好，服务态度挺好，挺耐心的，离海边挺近的，游玩挺方便。', '短评打分': 3}
