{'短评内容': '每次过来都住这里，交通方便，价格实惠，唯一不足的是没早餐', '短评打分': 5}
{'短评内容': '门口能停车', '短评打分': 3}
{'短评内容': '价廉物美！！！', '短评打分': 4}
{'短评内容': '620 卫生间有异味 洗澡的时候地漏堵 开窗外面也有异味', '短评打分': 4}
{'短评内容': '相对来说，偏贵一点', '短评打分': 4}
{'短评内容': '很好，下次出差还会去住的', '短评打分': 5}
{'短评内容': '开关是坏的，电视也是坏的，被芯都是毛发，下次肯定不会在选择这家酒店！', '短评打分': 2}
{'短评内容': '价格比前台贵', '短评打分': 3}
{'短评内容': '房间大，整体上干净整洁，高处窗口看风景特好', '短评打分': 3}
{'短评内容': '房间较大，装潢也算高档，有窗看风景，港下最高酒店', '短评打分': 3}
{'短评内容': '客房还可以，在小镇的中心位置，交通方便，就是有点小贵。', '短评打分': 4}
{'短评内容': '房间宽敞。干净。屋里还有小桌子。不错', '短评打分': 3}
{'短评内容': '环境还不错。送早餐，房间挺大挺干净', '短评打分': 3}
{'短评内容': '价钱还可以', '短评打分': 3}
