{'短评内容': '老板很热情', '短评打分': 4}
{'短评内容': '老板热情，价格合适', '短评打分': 5}
{'短评内容': '酒店空调不这么好，走遍吃的不是很方便，酒店老板服务态度很满意', '短评打分': 3}
{'短评内容': '房间太脏了', '短评打分': 2}
{'短评内容': '客房内太脏了', '短评打分': 1}
{'短评内容': '房间的床单还是蛮干静的，环境还可以！', '短评打分': 4}
{'短评内容': '老夫妻俩开的小客栈，要求高的就别去了', '短评打分': 3}
{'短评内容': '宾馆不错，很好找，就在省道旁，停车方便，房间比较安静，但床垫有点硬。', '短评打分': 3}
{'短评内容': '还不错哦，老板还可以多开发票，卫生间蛮好的', '短评打分': 3}
{'短评内容': '环境卫生安静，服务很好！', '短评打分': 3}
{'短评内容': '环境卫生，交通方便！', '短评打分': 3}
{'短评内容': '还算好吧！就是离街太远了。', '短评打分': 3}
{'短评内容': '这个天太冷了', '短评打分': 2}
{'短评内容': '入住要打电话，呼叫铃也叫不来人。晚上就开始停电停水，发票都开不了。', '短评打分': 2}
{'短评内容': '还好。老板很热情，随和。吃饭选择性不大，吃饭不太方便。交通最好有自己的车或有车接送。', '短评打分': 4}
