{'短评内容': '设施一般，卫生条件还行', '短评打分': 3}
{'短评内容': '酒店位置很好，也好找，干净卫生，服务热情周到，价格也是经济实惠型的，后面有停车的地方，住这里是一个不错的选择。', '短评打分': 5}
{'短评内容': '再次预定了，非常不错的一家酒店，性价比高，值得推荐，周边配套设备都很齐全，交通非常便利，服务卫生各方面都好。', '短评打分': 5}
{'短评内容': '酒店挺好的，挺干净的', '短评打分': 4}
{'短评内容': '卫生状况比较好，房间比较大，设施也挺齐全，网速快。周边配套设施齐全，性价比高，值得推荐', '短评打分': 5}
{'短评内容': '很不错的入住体验，下次来郑州还会住这里，房间干净整洁', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '挺好的。房间很舒适。', '短评打分': 5}
{'短评内容': '还好，就是交通差点', '短评打分': 5}
{'短评内容': '很好，  位置好距离大石桥很近 ，   交通很方便 ，酒店环境好，设施齐全，房间很干净， 很值得去哦', '短评打分': 5}
{'短评内容': '干净，便宜。方便，确实不错！！', '短评打分': 5}
{'短评内容': '一直住，实惠卫生', '短评打分': 5}
{'短评内容': '一直住，实惠卫生', '短评打分': 5}
{'短评内容': '一直住，实惠卫生', '短评打分': 5}
