{'descr': '可以，不隔音', 'star': 5}
{'descr': '位置很好找在中心医院附近牌匾很大，服务员很热情.有什么事情都帮忙解决.借针线还帮我送上楼了非常的热情.客房打扫卫生的服务很好卫生间干净卫生无异味，地漏干净卫生无异味，房间干净卫生味道很好，一进屋很香，封包浴巾干净卫生可以免费使用的哦，床单很干净卫生，被罩很干净卫生无毛发，很安全，门上有防盗锁安全的很，门锁很好使方便，门口就是停车场，大堂放着轻音乐听着很舒心，周边很多小吃店，有两部电梯电梯速度很快，', 'star': 5}
{'descr': '位置很好找在中心医院附近牌匾很大，服务员很热情.有什么事情都帮忙解决.借针线还帮我送上楼了非常的热情.客房打扫卫生的服务很好卫生间干净卫生无异味，地漏干净卫生无异味，房间干净卫生味道很好，一进屋很香，封包浴巾干净卫生可以免费使用的哦，床单很干净卫生，被罩很干净卫生无毛发，很安全，门上有防盗锁安全的很，门锁很好使方便，门口就是停车场，大堂放着轻音乐听着很舒心，周边很多小吃店，有两部电梯电梯速度很快，', 'star': 5}
{'descr': '位置很好找在中心医院附近牌匾很大，服务员很热情.有什么事情都帮忙解决.借针线还帮我送上楼了非常的热情.客房打扫卫生的服务很好卫生间干净卫生无异味，地漏干净卫生无异味，房间干净卫生味道很好，一进屋很香，封包浴巾干净卫生可以免费使用的哦，床单很干净卫生，被罩很干净卫生无毛发，很安全，门上有防盗锁安全的很，门锁很好使方便，门口就是停车场，大堂放着轻音乐听着很舒心，周边很多小吃店，有两部电梯电梯速度很快，', 'star': 5}
{'descr': '位置很好找在中心医院附近牌匾很大，服务员很热情.有什么事情都帮忙解决.借针线还帮我送上楼了非常的热情.客房打扫卫生的服务很好卫生间干净卫生无异味，地漏干净卫生无异味，房间干净卫生味道很好，一进屋很香，封包浴巾干净卫生可以免费使用的哦，床单很干净卫生，被罩很干净卫生无毛发，很安全，门上有防盗锁安全的很，门锁很好使方便，门口就是停车场，大堂放着轻音乐听着很舒心，周边很多小吃店，有两部电梯电梯速度很快，', 'star': 5}
{'descr': '位置很好找在中心医院附近牌匾很大，服务员很热情.有什么事情都帮忙解决.借针线还帮我送上楼了非常的热情.客房打扫卫生的服务很好卫生间干净卫生无异味，地漏干净卫生无异味，房间干净卫生味道很好，一进屋很香，封包浴巾干净卫生可以免费使用的哦，床单很干净卫生，被罩很干净卫生无毛发，很安全，门上有防盗锁安全的很，门锁很好使方便，门口就是停车场，大堂放着轻音乐听着很舒心，周边很多小吃店，有两部电梯电梯速度很快，', 'star': 5}
{'descr': '位置很好找在中心医院附近牌匾很大，服务员很热情.有什么事情都帮忙解决.借针线还帮我送上楼了非常的热情.客房打扫卫生的服务很好卫生间干净卫生无异味，地漏干净卫生无异味，房间干净卫生味道很好，一进屋很香，封包浴巾干净卫生可以免费使用的哦，床单很干净卫生，被罩很干净卫生无毛发，很安全，门上有防盗锁安全的很，门锁很好使方便，门口就是停车场，大堂放着轻音乐听着很舒心，周边很多小吃店，有两部电梯电梯速度很快，', 'star': 5}
{'descr': '环境挺好，服务到位', 'star': 5}
{'descr': '还可以，住的挺舒服', 'star': 5}
{'descr': '经常住，性价比挺高。', 'star': 5}
{'descr': '卫生条件很好，交通方便，在繁华地段商城较多，地理位置优越，下地铁就可以看到，到这里办事只不错的造样。', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '大堂一股厕所味，前台服务员强制加微信会员，被婉拒后脸色很不好，房间里也充满卫生间或者下水道味。床单还算干净，被子有异味，床很大硬度合适。', 'star': 3}
{'descr': '很好，推荐', 'star': 5}
{'descr': '卫生有待提高有虫子，隔音不是很好，隔壁打炮太震撼了', 'star': 4}
{'descr': '价格低廉，不过设施较一般，室外比较嘈杂！', 'star': 4}
{'descr': '一前台男生的态度很好，比他的女同事好太多-_-', 'star': 5}
{'descr': '还可以吧，房间有点小，其他还可以', 'star': 4}
{'descr': '代朋友预定，感觉非常好，下次还会订', 'star': 5}
{'descr': '各方面都改可以', 'star': 5}
