{'短评内容': '整体感觉良好', '短评打分': 5}
{'短评内容': '对价格来说还是挺好的', '短评打分': 5}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '酒店位置特别好，屋里也很干净，我住的屋没有异味，如果怕吵可以换无窗的特价房更便宜，我比较介意空气新鲜，所以要的带窗的，出门必备耳塞眼罩，给其他朋友一个友情提示。电梯4部，偶尔会堵住，床单有破损，其他我都特别满意，下回去还会住在这里的', '短评打分': 5}
{'短评内容': '酒店环境非常好', '短评打分': 5}
{'短评内容': '房间无法反锁，灯光设计差。淋浴排水不好，床太硬，房间没有窗户，空气不畅通。不过服务员的服务态度很好', '短评打分': 4}
{'短评内容': '总体来说很不错，出去就是解放碑，价格也合适，周边吃的喝的玩的都有，唯一一点玻璃上面跟楼上露个缝，楼上半夜不睡吵的我睡不着，希望可以改进，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 5}
{'短评内容': '位置超级方便吧，大楼一楼在装修，一开始有点小失望，进房间后还算满意，前台也非常好，愿意给我们换了个可开窗的房间！住了三天，感觉很好！', '短评打分': 4}
{'短评内容': '对于这次住宿感觉真是太差了，什么希曼酒店，干脆叫稀烂酒店算了，整个房间非常小不说，光线特别暗，整个房间就算是把所有的灯都打开还是特别昏暗，连一个正常的大灯都没有，人在里面住的非常压抑！所以考虑这家酒店的就算了。 另外洗浴的东西很水货，说不出来的味道，我房间淋浴的浴头都是坏的，毛巾里面还有半个的，估计是为了节省一个裁剪成两个用的。 晚上睡觉的时候非常吵，电器的声音一直响了一夜，空调噪音有点大，反正就', '短评打分': 3}
{'短评内容': '挺好的位置，可惜要么临街很吵，要么窗户打不开，要么没窗户，哎', '短评打分': 5}
{'短评内容': '五折入住豪华单间，很实惠，地理位置很好，解放碑商圈内，下楼2分钟就到，就是大楼在装修，楼下有点杂乱', '短评打分': 5}
{'短评内容': '环境很不错，服务态度也是非常的好', '短评打分': 5}
