{'短评内容': '前台杨丽，徐中娥服务不错', '短评打分': 5}
{'短评内容': '前台杨丽，徐中娥服务不错，有个小姑娘杨婷微笑很好', '短评打分': 5}
{'短评内容': '前台杨丽，徐中娥服务不错，入住的马梅芳也不错', '短评打分': 5}
{'短评内容': '性价比很高，服务很注意细节，位置也很方便，总之很满意，下次来肯定还来这家，另外补充一下，早餐很丰富，很满意。', '短评打分': 5}
{'短评内容': '不错的酒店，，好找干净，不错', '短评打分': 5}
{'短评内容': '酒店设施、卫生都挺好的！性价比挺高的！', '短评打分': 5}
{'短评内容': '前台席旭梅、马梅芳服务周到细致酒店不错环境好', '短评打分': 5}
{'短评内容': 'gooooooood, 前台?非常热情，特别感谢赵婷，徐中娥两位美女', '短评打分': 5}
{'短评内容': 'gooooioooooooood', '短评打分': 5}
{'短评内容': '真心感觉不错，下次来会第一考虑，为顾客着想，环境卫生都很好！设施齐全，网速很快，早餐品种很丰富，干净卫生！', '短评打分': 5}
{'短评内容': '真心感觉不错，下次来会第一考虑，为顾客着想，环境卫生都很好！设施齐全，网速很快，早餐品种很丰富，干净卫生！', '短评打分': 5}
{'短评内容': '前台席旭梅，杨丽服务不错，酒店也不错，下次还会过来的', '短评打分': 5}
{'短评内容': '帮老公出差预定的，老公说满意！', '短评打分': 5}
{'短评内容': '帮老公出差预定的，老公说满意！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间不错，设施也还可以。服务跟不上。淋浴出水不够。', '短评打分': 4}
{'短评内容': '环境不错，早餐也挺丰盛的，算溧阳比较好的了', '短评打分': 4}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '酒店还行', '短评打分': 5}
{'短评内容': ' 总体感觉不错', '短评打分': 3}
{'短评内容': '酒店地理位置不错，性价比也较好。只是这个季节空调好象没开，只送风，温度不变，盖上被子不适合睡眠，望改进。', '短评打分': 3}
{'短评内容': '前台的服务很热情，酒店房间也比较干净。关键是性价比很高。每个房间还配备了电脑。酒店的地段也不错。 \n', '短评打分': 5}
{'短评内容': '前台的服务很热情，酒店房间也比较干净。关键是性价比很高。每个房间还配备了电脑。酒店的地段也不错。 \n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '前台的服务很热情，酒店房间也比较干净。关键是性价比很高。每个房间还配备了电脑。酒店的地段也不错。 到天目湖和南山竹海等都很方便。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '成功入住扬子国际大酒店', '短评打分': 3}
