{'短评内容': '酒店就在夫子庙旁边', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '楼层很好', '短评打分': 5}
{'短评内容': '没早餐，但是周边什么都有，很方便', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '酒店位置很好，离着夫子庙超级近', '短评打分': 5}
{'短评内容': '卫生真的很差', '短评打分': 2}
{'短评内容': '酒店还不错 家电生活用品都挺齐全的 就是我们住的那个房间有一扇窗关不上 有点害怕 还有门是个最大的问题 要输入几遍密码才能打开 每次这个是最痛苦的 离夫子庙和地铁站都挺近挺方便的 总的来说还不错把', '短评打分': 3}
{'短评内容': '这个价位还是值的，', '短评打分': 5}
{'短评内容': '我第一次写评论，我们是早起八点火车到南京的，正常酒店早上6点以后有房市可以办理入住的，他家说是下午两点才可以办入住，怎么我头一次住酒店不懂啊？房间刚进来是脏房我可以忍，等房扫来打扫等半天才来，房间装潢老化，床只有1.2米和图片完全不符，前台态度极差，私企公寓个人家买卖就是不行，大家订房慎重，他家宣城每天都是客满', '短评打分': 3}
{'短评内容': '地铁3号口出来。，走一两百米左右就到了，特别近。。。在一栋小区商品房里边。。就是卫生情况不是那么好。，但是也还能接受，房间够大，，看我们人多还免费帮我们换了个家庭房', '短评打分': 4}
{'短评内容': '位置好，价格合适，住的是豪华房，无论房间大小还是设施都没体会到。', '短评打分': 4}
{'短评内容': '房间格局很别扭，估计地漏的问题，房间有股异味。位置很好，地铁站很近，价格也实惠。', '短评打分': 4}
{'短评内容': '这个酒店唯一的好处就是地理位置很棒，出门就到夫子庙，周围有银行，地铁口，超市，饭馆，一应俱全，房间内部真的一般的不能再一般，厕所像没刷过一样，好多烟头，硬件设施太一般，将就可以住，位置很棒', '短评打分': 2}
{'短评内容': '位置在夫子庙附近，近地铁口，在小区里面，前台和住的房间不在一起，房间门是密码锁，店家会把密码发到手机上，虽然方便但是我觉得不是很安全。房间设施很好，中央空调、微波炉、洗衣机、冰箱都齐全。总体来说还是很不错的！', '短评打分': 5}
{'短评内容': '挺干净的，周围很方便', '短评打分': 5}
{'短评内容': '还不错，老板态度不错，这个位置这个价格也凑合了，出门右边就是夫子庙，，两百米', '短评打分': 5}
{'短评内容': '很人性化，老板还蛮热情。就是停车要花钱，24小时20元。', '短评打分': 5}
{'短评内容': '服务挺热情的，房间也很安静舒适，房间很大，设施都很不错，总之，很推荐这家酒店', '短评打分': 5}
{'短评内容': '很好的老板，很热情很耐心的带我们参观预定的房间！公寓式酒店，房间有冰箱、洗衣机，不错~！下次去南京还住~！只是位子不那么明显好找~！', '短评打分': 5}
{'短评内容': '地方不好找，床也不知道咋了还难受的不行，一晚上都睡不着', '短评打分': 1}
{'短评内容': '还不错 离夫子庙闹市区很近 算是便宜的 来南京玩的可以选择 老板太热情', '短评打分': 5}
{'短评内容': '就在夫子庙的对面，安静、温馨，老板人情还给我们免费升了级，很不错的一家公寓式酒店。就是夏天蚊子太多，老板再配个纱窗和蚊帐就好了！：）', '短评打分': 5}
{'短评内容': '离夫子庙很近 有好多南京小吃。晚上可以去夫子庙逛逛', '短评打分': 5}
{'短评内容': '还不错的酒店，类似单身小公寓', '短评打分': 3}
{'短评内容': '＋公寓改装的酒店，一般吧！', '短评打分': 3}
{'短评内容': '太有爱了，每个房间都有不同的风格，而且闹市区里也很幽静，物有所值，强烈推荐，老板也很热心，房间里电器一应俱全，就跟自己家一样，必须赞一个。', '短评打分': 5}
{'短评内容': '交通确实很方便，到总统府，玄武湖，大屠杀纪念馆，雨花台等都有直达的公交，就在门口坐。就是我路盲，找这家酒店花了不少时间，不过老板很热情，说找不到就打电话，后来还出来接我们了。如果有类似我这样路盲的，建议一下火车就打电话询问路线，貌似有直达门口的车。。。设施也挺齐全的，之前看到不少不太好的评价，还很担心，但是后来发现自己担心多余了。毕竟你不能以五星级酒店的标准来衡量这样一家普通的公寓式酒店么。', '短评打分': 5}
{'短评内容': '老板很热情', '短评打分': 3}
{'短评内容': '＋國盟老板很熱心，酒店地點不錯對面就是夫子廟，門口有公車站。清潔需要用更專業方法。', '短评打分': 3}
{'短评内容': '还不错，挺干净', '短评打分': 3}
{'短评内容': '酒店很温馨，有家的感觉，离夫子庙很近，出行很方便，酒店服务很热情周到，早餐很可口，性价比高，下次再去的话还会选择这间酒店。', '短评打分': 5}
{'短评内容': '环境不错。不错。地理位置好的一笔.就在夫子庙的旁边', '短评打分': 5}
{'短评内容': '此酒店除了房间大，没有任何优点，空调不好，还不给加被子，除了看上去干净其他的都一般。', '短评打分': 1}
{'短评内容': '进门很不方便，服务很热情。隔音效果也一般。房间内环境还好。', '短评打分': 5}
{'短评内容': '硬件条件不错哦  很温馨  地段很好 靠在夫子庙                                                                                                                                                                                ', '短评打分': 5}
{'短评内容': '非常不正规，酒店根本没有专业的人打扫卫生。', '短评打分': 1}
{'短评内容': '房间还可以,交通很方便,就在夫子庙对面,还有老板人也很客气,下次住南京,还住你家', '短评打分': 3}
{'短评内容': '性价比很不高.这酒店只能称做是“客栈”。理由:（我住的是温馨大床房）\n1、优点:所处地理位置好（紧靠夫子庙、秦淮河），房间宽敞、空调、饮用水好；服务人员的态度热情，周到。\n2、缺点：到酒店找不到服务台；客房内无电话（找服务员要用手机拨长途）；洗热水澡只能15分钟（电热水），第2人洗要等4个多小时；不能刷信用卡；不能当场提供发票；洗漱、卫生用品质量低下，还没有洗手液或香皂；早餐不敢恭维：只有粥、鸡蛋', '短评打分': 1}
{'短评内容': '可以，家的感觉。', '短评打分': 3}
{'短评内容': '该酒店式公寓式的，地理位置很好，但是不好找，酒店的大叔很热情，早餐很家庭，味道也不错，如果是背包族非常适合！', '短评打分': 5}
{'短评内容': '环境安静，酒店的工作人员服务热情，适合家庭出游居住。', '短评打分': 5}
{'短评内容': 'good, room upgrade to a better one, clean and warm just like staying at home', '短评打分': 5}
{'短评内容': 'home hotel style, feeling warm with staying there, and absolutely nice location, near to fuzi temple. BUT the service not professional....', '短评打分': 5}
{'短评内容': '优点：地段好，离夫子庙近，到地铁有一点点远，老板热情\n缺点：临街太吵我住的7楼夜里有点难入眠，没人打扫卫生', '短评打分': 5}
{'短评内容': '酒店位置很好，但是靠路边的房间实在是太吵了，空调的声音太大，一夜没睡好！热水只能够2人洗，重新烧好，竟然用了一夜的时间！', '短评打分': 3}
{'短评内容': '环境好。服务好.值得推荐，GOOD GOOD GOOD', '短评打分': 5}
{'短评内容': '很不错，干净，清静，安全，方便！下次还会继续入住！价格能再优惠些就更好了！', '短评打分': 3}
{'短评内容': '这家酒店确实不一般，是朋友介绍住的。每一位酒店的员工对待客人都很热情。特别要提一下的是，结帐的时候忘了退押金，老板及时提醒。', '短评打分': 5}
{'短评内容': '环境很好·很干净·打开房门就像回到了家!喜欢1', '短评打分': 3}
{'短评内容': '酒店是公寓式的，房间有冰箱、微波炉和洗衣机，很方便，交通也很便捷。就是好像没有人打扫卫生啊，另外如果房间配备电脑就更好了。', '短评打分': 5}
{'短评内容': '很好，下次还会住的，不过不要靠路边的，有点吵！', '短评打分': 5}
