{'短评内容': '一般 靠近附院', '短评打分': 4}
{'短评内容': '垃圾的一比，没试过这么差的', '短评打分': 1}
{'短评内容': '老板人很好', '短评打分': 5}
{'短评内容': '不错………………', '短评打分': 5}
{'短评内容': '真心不行，厕所都没纸巾，还没有小肥皂洗脸，只有洗发露，连沐浴露都没有，电话也是坏的，环境好一般，不喜欢，以后不会再去了', '短评打分': 3}
{'短评内容': '这个地段，就在南通附属医院旁，那么便宜的价格算不错了，虽然房间内设施还是有点老旧，但是老板挺热情的！', '短评打分': 5}
{'短评内容': '本来在携程上订的豪华标间，入住变成了大床房，加了一张硬板床，成了标间。携程让我如何再信你？携程能不能回复我，我的豪华标间呢？我的房费又该怎么办？携程你能回答我吗？', '短评打分': 4}
{'短评内容': '不错，干净卫生！老板老板娘人很好，离通大医学院很近', '短评打分': 5}
{'短评内容': '一般，不是很好，就是价格低', '短评打分': 3}
{'短评内容': '酒店位置不错，位于南通大学附近，生活便利，服务也不错，卫生挺好，只是称不上豪华，装饰风格简约，只是面积有点小！', '短评打分': 4}
{'短评内容': '酒店在市中心，价格实惠，性价比高！', '短评打分': 3}
{'短评内容': '环境不错，很干净，服务很好，就是没有无线网', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '有待改善', '短评打分': 3}
