{'短评内容': '酒店位置不错，离延边大学，水上市场走路10分钟都能到达，门前有公交，房间干净，大床很大，十一期间也算比较便宜了，幸运挑了这家性价比很高的酒店。就是没有电梯，没有老人也不是问题。早餐不知道有没有，反正忙着去找特色美食吃了。门前能停几辆车。临街有点噪音。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '干净卫生条件不错', '短评打分': 5}
{'短评内容': '酒店位于延西街马路旁，过路汽车比较炒，没有电梯，这次住四楼，晚上喝酒回来走楼梯比较累，性价比一般，卫生间用的是电热水器，水压不够，洗起澡来不爽', '短评打分': 4}
{'短评内容': '酒店房间卫生情况还所以，但酒店没有电梯，这次住的是四楼，晚上喝完酒回来还要爬楼梯很累，还有卫生间是电热水器，水压不够，洗起澡来不舒服', '短评打分': 4}
{'短评内容': '很满意，推荐！', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': '每次出差都住这里，离火车站很近，出门左拐 直行200米就到，酒店环境优雅，交通便利，简直是居家旅行最佳首选。', '短评打分': 5}
{'短评内容': '市中心，交通方便，价位合理。设施旧一些。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '简单过夜 还好 还好 真的还好', '短评打分': 3}
{'短评内容': '服务态度很好，房间很干净，交通很便利！', '短评打分': 3}
{'短评内容': '住的很舒服！下一次来有早饭吃！', '短评打分': 3}
{'短评内容': '交通方便，服务好，房间干净！！', '短评打分': 3}
{'短评内容': '房间很大，服务也不错，性价比较高，值得入住', '短评打分': 3}
