{'短评内容': '酒店就在文昌阁边上', '短评打分': 5}
{'短评内容': '就是空间小了些', '短评打分': 5}
{'短评内容': '不错，价格公道', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '老旧设施，价格不低，在扬州普遍都是这样的。', '短评打分': 3}
{'短评内容': '位置很好就在冶春附近，由于是老星级宾馆设施有烂旧了可是楼层服务员认真负责态度很好。后院免费停车场很大。', '短评打分': 4}
{'短评内容': '便宜', '短评打分': 5}
{'短评内容': '地理位置相当不错，周围是商业中心，离各景点都近，吃饭购物都比较便利。', '短评打分': 4}
{'短评内容': '服务员服务态度不错', '短评打分': 4}
{'短评内容': '干净，一直以来都住在这里，房间大小还可以的！', '短评打分': 5}
{'短评内容': '酒店非常好。 离文昌阁 瘦西湖都很近', '短评打分': 5}
{'短评内容': '还好 还好     ', '短评打分': 3}
{'短评内容': '很干净，住这里，觉得蛮安心的，蛮好的，以后都住这里，交通方便', '短评打分': 5}
{'短评内容': '网络太差', '短评打分': 5}
{'短评内容': '很好的酒店，很大的停车场，不错，下次还入住。', '短评打分': 5}
{'短评内容': '酒店位置挺好，但是设备较陈旧，早餐7:00才开始，有点坑爹！', '短评打分': 5}
{'短评内容': '位置不错，但是酒店设备较陈旧，早餐时间要7点钟，太晚了。', '短评打分': 5}
{'短评内容': '地理位置好 在文昌阁附近。离瘦西湖 也不远。但是酒店里面毛巾都是破的。早餐很差。不推荐', '短评打分': 1}
{'短评内容': '宾馆地理位置还不错，在市中心，交通比较方便，但是，宾馆旧了不怕，就怕墙壁太薄，隔壁半夜招妓，那动静听的是一清二楚，简直是现场直播，本来玩了一天的瘦西湖，累的想好好休息，可是，宾馆的墙壁能不能不用木板啊，下次还是住连锁酒店吧，正规一点。', '短评打分': 1}
{'短评内容': '，客房不错、酒店位置不错，价格若能再便宜；性价比更高！', '短评打分': 3}
{'短评内容': '酒店的设施比较陈旧，位置比较好，周围的景点比较多。相比较价格偏高', '短评打分': 1}
{'短评内容': '酒店设施还可以,开车去瘦西湖很方便.孩子倒是很喜欢旁边的文昌广场的儿童游乐园,吃饭逛街都不错,二楼的餐厅需要提前预订,临时去可能没地方.', '短评打分': 5}
{'短评内容': '我已于28日入住扬州红彬树酒店', '短评打分': 3}
{'短评内容': '酒店的设施比较陈旧，位置比较好，周围的景点比较多。相比较价格偏高', '短评打分': 1}
{'短评内容': '标间太小，电视机模糊，茶杯不干净，还有灰，床也很小', '短评打分': 1}
{'短评内容': '房间小的不能再小，晚上旁边施工很吵，窗户就那上下拉的窗帘，还破了，很恐怖的房间。。', '短评打分': 1}
{'短评内容': '价格便宜，房间有些旧，地毯脏，窗户隔音不太好，空调外挂机太响，其他还好，停车场车位不少', '短评打分': 5}
{'短评内容': '一般般，去扬州的话可以推荐一下，毕竟交通真的很方便！', '短评打分': 5}
{'短评内容': '交通挺方便，但房间装修太差，总体性价比不高。', '短评打分': 1}
{'短评内容': '房间很差。。。老旧。。。墙体脱落的厉害。。。。尤其是208-308房间走在房间里面都有要塌下去的感觉。。。。那几件都是用板子格的感觉很怕掉下去。。。绝对不建议住下去。。。。那样的房间和价格真不成比例。。。还不如人家几十块的旅馆', '短评打分': 1}
