{'短评内容': '干净 在古城里 位置不错 很好', '短评打分': 5}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '客栈在古城，离洋人街、五华楼、红龙井很近。。。。\r\n硬件设施很齐全，24小时热水，WIFI，三楼的洗衣机。。。\r\n老板娘人好，送我们去景点，帮我们订票。。。。\r\n对了，客栈还有条小狗狗，叫旺财，很可爱。。。。\r\n有机会，还回去住。。。。', '短评打分': 5}
{'短评内容': '环境不错，地段也不错，靠近武庙，家庭房的窗户能看到苍山一角。', '短评打分': 5}
{'短评内容': '地点好，性价比高，如果要求不高，可以选择', '短评打分': 5}
{'短评内容': '不错哟~嘿嘿~喜欢院子的旺财！~霍霍', '短评打分': 3}
{'短评内容': '很好，位置很好找，离洋人街什么的也都近，而且非常清静。老板人很好，很热情地给我们介绍旅游线路。很好的酒店，以后还会入住。', '短评打分': 5}
{'短评内容': ' 挺干净环境也不错 就是位置有点偏', '短评打分': 3}
{'短评内容': '设施齐全，还有配台式机上网，但地址很偏，很不好找。洗漱用品也不好。', '短评打分': 1}
{'短评内容': '总的还不错，我入住的是新店，叫美家园的，老板人很好', '短评打分': 5}
{'短评内容': '客栈很干净，很有特色，地理位置也很好。老板是个话不多的中年男人，也是个驴友，客栈性价比很高！', '短评打分': 3}
{'短评内容': '非常满意，院子相当别致，老板人很好', '短评打分': 3}
{'短评内容': '不错  环境很好 也很方便，房间超大的。。。', '短评打分': 5}
{'短评内容': '如果不是老板娘来接，的确不大好找，但位置、环境倒还不错', '短评打分': 5}
{'短评内容': '住的老店，虽然入住时有点小误会，但总的来说还是不错的。就是地点不太好找，挺喜欢他家新店的。', '短评打分': 3}
{'短评内容': '从泸沽湖回来又住了水云，一如既往的好。推荐', '短评打分': 5}
{'短评内容': '这次来云南玩，住了好几家客栈，这家超推荐，老板和老板娘（应该是吧，嘿嘿(^_^)）很热心，真心推荐大家来，这离古城酒吧街也近，祝老板生意兴隆(^_-)', '短评打分': 5}
{'短评内容': '靠近古城南门，要先问清楚地点，否则比较容易找不到，环境也算安静，老板娘人很随意，一直也不收我们房钱，知道走的时候主动询问才把钱交了，老板介绍了去洱海坐游轮了，可以免费送去的，但是得讲讲价格，开价140，我们还到120，不过听说100就可以去的。洱海还是值得一去的。跑题了，客栈整体还算行，就是卫生间干湿分离下比较好。', '短评打分': 5}
{'短评内容': '客栈不错。老板和老板娘也很好，还会开车接送，房间也很温馨!', '短评打分': 5}
{'短评内容': '房间环境很好，靠近古城，玩的也方便，房间还有电脑，另外老板人也很好，还帮我们定了火车票。就是去的时候天气不好，在大理就玩了两天，好多地方还没来得及玩，下次去还要定这家客栈。', '短评打分': 5}
{'短评内容': ' 酒店很温馨舒适，老板人也好。推荐。', '短评打分': 3}
{'短评内容': '非常干净的客栈，设施完善，性价比很高，服务也很周到', '短评打分': 3}
{'短评内容': '已入住，很好。', '短评打分': 3}
{'短评内容': '旅馆环境尚可，晚上比较安静，不过我住的房间靠近信号发射塔，住久了可能对身体不好喔，而且二楼的厕所有点塞，去洗手间不方便。这方面店家要改进喔。总体来说还是可以的。', '短评打分': 5}
{'短评内容': '老板人很好，再次去再选他家的，总体里说玩得很开心', '短评打分': 5}
{'短评内容': '客栈位置很好，晚上很安静，波哥和小董都是有问必答，很热情，绝对推荐~', '短评打分': 5}
{'短评内容': '离主要街道都挺近的，院里还能停车！不错！', '短评打分': 5}
{'短评内容': '我住的是新店这边。房间很干净也很舒适，洗手间很大。房间里的东西都很新，服务态度也很好。强烈推荐哦……', '短评打分': 5}
{'短评内容': '客栈当天主院没有房间了 我们在分院住的 很好 分院的老板娘刚到大理不久 但是非常热情 给我们用地图讲解怎么去玩 哪里好玩 值得一提的是 大理的好吃的真的很多 喜欢辣得重口味的可以好好尝尝美食 丽江就没有了哦~位置非常好 十分方便 云南人民很热情！~热水好 房间舒适温馨！~', '短评打分': 5}
{'短评内容': '很不错的一个客栈，客栈里老板和客人都很好，有点象家的感觉！', '短评打分': 3}
{'短评内容': '我住的是他们的新店，距离老店大概50米，几位老板人都很好，很热情，我们去苍山和洱海的行程都是他们帮忙安排的，\n\n', '短评打分': 5}
{'短评内容': '已经入住，客栈地址变更，不是很好找！', '短评打分': 3}
{'短评内容': '还不错  我们住的是三人间~   店主人很好  下雨了还帮我们收衣服 房间挺大挺干净的', '短评打分': 5}
