{'短评内容': '没有预定中那么好找。   预订者需要考虑。   酒店是在公路旁边     太吵了    开关要到床旁边。一进门是坏的开关。   感觉一点不好。', '短评打分': 1}
{'短评内容': '整洁，服务很周到，早餐也不错，本来准备给全5分的， 只是半夜被蚊子不停的吵吵醒了，没有蚊香，感觉不好。 3. 是10.1黄金周去的，客房的入住率很高，基本可以按照我们的要求安排了房间给我们。', '短评打分': 5}
{'短评内容': '一，不肯开发票给我，后期继续投诉，二，楼下就是主交通道，晚上特别吵，三，268一个晚上，房间灯还是坏的，不愿意给换房间或者退房，爱理不理四，没有停车场好的地方就是卫生比较整洁，浴室有暖光灯', '短评打分': 1}
{'短评内容': '没想象中的好，家具床单被套都很旧', '短评打分': 3}
{'短评内容': '位置很好，离大理火车站不到10分钟车程，酒店环境非常整洁卫生，尤其被子枕头非常干净，唯一缺点是没有电梯，整体必须好评！', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '交通方便，附近有机场大巴停靠站，干净实惠，服务热情，装修特色，很满意', '短评打分': 5}
{'短评内容': '客栈在马路边进去一点的巷子，干净，还不错', '短评打分': 5}
{'短评内容': '位置在下关主城区，打的十分钟，环境很好，网络有点儿慢。', '短评打分': 5}
{'短评内容': '环境很好，在下关区，位置有一点侧，但是本地人基本都知道，下车打的十分钟左右就到了，价格也很不错，就是网络有点儿慢。', '短评打分': 5}
{'短评内容': '设施都不错、对得起这个价格，就是床单被单有点脏。', '短评打分': 4}
{'短评内容': '性价比超高！值得推荐！', '短评打分': 4}
{'短评内容': '房间干净，就是没吹风，还有空调不热，冷！', '短评打分': 5}
{'短评内容': '酒店离火车站两三个站，打的差不多起步价就可以到达。首先周边环境不怎么样，附近在施工尘土飞扬，酒店倒不会受影响，不吵，可是周围也没什么逛的。不过酒店内部不错，干净卫生，设施也齐全，布置得也挺有特色，老板也不错。如果你要赶火车，又不想离火车站太近，对房间卫生也有一定要求，可以推荐。', '短评打分': 5}
{'短评内容': '要不是黄金周，真不要去！城中村，没感觉', '短评打分': 2}
{'短评内容': '房间清爽干净，离市区主要景点明珠公园和洱海公园，汽火车站都很近。缺个空调，开窗睡觉吵闹了点。', '短评打分': 3}
{'短评内容': '位置还不错，网络不行。', '短评打分': 3}
{'短评内容': '除了没停车位其他一切都好，老板待人非常好', '短评打分': 5}
