{'短评内容': '非常不错哦', '短评打分': 5}
{'短评内容': '挺安静的，离考点也不远，有免费停车券，早餐没什么吃的', '短评打分': 4}
{'短评内容': '超级棒的酒店', '短评打分': 5}
{'短评内容': '京东酒店 服务', '短评打分': 5}
{'短评内容': '空间比较大，床比较软。价格经常在变化，421元订的。', '短评打分': 5}
{'短评内容': '很好！有舒适的大床，房间总体也很大，被子盖得很舒服！整体都十分干净、整洁，而且还有提供免费的矿泉水。总体来说，非常不错！！！', '短评打分': 5}
{'短评内容': '还好！！！！！！', '短评打分': 5}
{'短评内容': '住过很多次了，房间不错，价格略贵，希望能有更多优惠吧，特别是老顾客优惠，还有早餐有待提高，真的不怎么样', '短评打分': 5}
{'短评内容': '这次去苏州玩住那儿，房间条件感觉很好！', '短评打分': 5}
{'短评内容': '这次去苏州玩住那儿，房间条件感觉很好！', '短评打分': 5}
{'短评内容': '很不错的一次体验，非常安静干净，早餐也特别对胃口，五分好评！', '短评打分': 5}
{'短评内容': '挺喜欢 感谢服务  ', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '要不是离孩子学校近，真心不想住，因为经常接会议，房间总是很紧张', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '同上次', '短评打分': 3}
{'短评内容': '同上次', '短评打分': 3}
{'短评内容': '设施2星，服务3星，位置4星', '短评打分': 4}
{'短评内容': '多次入住，不错！靠近文星广场，吃饭方便。毛巾有些旧了，太硬！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '入住苏州西交利物浦国际会议中心', '短评打分': 3}
{'短评内容': '酒店总体不错，孩子入住这考试很方便', '短评打分': 3}
{'短评内容': 'dsijfeifudskjeiufsdkfjewufsjdofeufsjafef', '短评打分': 5}
{'短评内容': '如果便宜的话，条件还是不错的，就是貌似三楼和上面楼层同样价格的标间配置不同，这样感觉不太好，虽说有个被单抱枕什么的不影响什么，但是同样价格不同配置还是让人有些小小不爽。不过整体上规格挺高的，服务员的服务态度也不错。', '短评打分': 5}
{'短评内容': '还可以~还可以~还可以~还可以~还可以~还可以~还可以~还可以~还可以~还可以~', '短评打分': 5}
{'短评内容': '服务好，学习考试时住在这里特别方便。酒店很干净，餐很可口。', '短评打分': 5}
{'短评内容': '酒店挂四星，房间很干净，设施齐全，很满意！', '短评打分': 3}
{'短评内容': '挺不错的地方，比较安静。。。价格也公道。\n\n', '短评打分': 5}
{'短评内容': '只是为了去学校方便才住这里，房间还马马虎虎，早餐一塌楜度，性价比太差。', '短评打分': 1}
{'短评内容': '房价偏高，但设施、环境还是可以的。服务不够仔细。', '短评打分': 5}
{'短评内容': '环境不错，设施也比较全，就是看单子上有体重秤，结果没有，屋子稍微有些味道，有蚊子', '短评打分': 5}
{'短评内容': 'bucuode1jiudian,很棒！下次去苏州还想住', '短评打分': 5}
{'短评内容': '非常不错的酒店，很清净，不足的是饭店上菜太慢了', '短评打分': 5}
{'短评内容': '还可以吧，在高教区，环境挺好的，服务一般吧～', '短评打分': 5}
{'短评内容': '不错，就是服务还不到位，天气很热，check in的地方居然空调都不开', '短评打分': 5}
{'短评内容': '还不错哦  离西交利物浦学校很近的 性价比比较高 其它的酒店太吵了', '短评打分': 5}
{'短评内容': '这个酒店离西交利物浦大学的托福考场太近了，很方便。不过没有想象的服务周到，大厅没人接待，房间有点味道，早餐也很一般。希望有所改进。', '短评打分': 3}
{'短评内容': '酒店不错，总体感觉还可以，交通方便离大学研究院近。', '短评打分': 3}
{'短评内容': '最大的优点就是交通方便，周边的小吃店不少，不过就设施来说价格还是贵了。', '短评打分': 5}
{'短评内容': '总体感觉不错，只是人比较少，感觉凄凉，电视节目也比较少。', '短评打分': 3}
{'短评内容': '装修好，价格贵，安静', '短评打分': 3}
{'短评内容': '房间有蚊子啊，而且还没有驱蚊设备T_T', '短评打分': 3}
{'短评内容': '不错的，性价比还是很高的，高教区给我留下了非常好的印象~', '短评打分': 3}
{'短评内容': '总体来说感觉还不错，好坏参半。\n不过房间里没有睡衣，没有洗脸的小毛巾，4星酒店基本应该有的都没有。\n但洗澡水还是比较大的，晚上比较安静，餐厅味道还不错。\n', '短评打分': 5}
{'短评内容': '干净实惠值得推荐给各位交通便利，离地铁7号线就500米，好', '短评打分': 5}
{'短评内容': '地段很好,周围是学校,对面是KFC,而且离客户很近', '短评打分': 5}
