{'短评内容': '性价比低，没有停车场，没有早餐，装修旧', '短评打分': 3}
{'短评内容': '环境一般，卫生也不抬好！服务态度有待提高！', '短评打分': 3}
{'短评内容': '离儿童医院好近，挺好', '短评打分': 4}
{'短评内容': '离儿童医院很近', '短评打分': 5}
{'短评内容': '房间有点小，', '短评打分': 4}
{'短评内容': '一般般啦。。住着也还行。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '设施旧了点，环境差了点', '短评打分': 4}
{'短评内容': '对得起价钱', '短评打分': 3}
{'短评内容': '连吹风机都没有，除了床没有什么可以满意的。前台服务态度也不好，连包纸都要跑。这酒店订过一次就不会订下一次了', '短评打分': 2}
{'短评内容': '在路边，所以环境不太好，备注里说尽量安排安静房间，结果是在马路边上那面，所以不太满意', '短评打分': 4}
{'短评内容': '环境一般  卫生一般 还是比不上快捷酒店', '短评打分': 2}
{'短评内容': '来考试的。近才选择。设施确实陈旧  阿姨很热情', '短评打分': 5}
{'短评内容': '先说优点，比较靠近儿童医院，，，再说我本人意见：一，针对我们这种只能住的起小旅店的人来讲，性价比只能算一般，二，酒店内部的消防措施不到位，三，酒店内部的免费用具很差很差，四【重点】，酒店内的服务员在不与钱为前提下的交流，态度尚算可以，一旦要增加酒店的成本或是涉及到顾客的自身利益时，态度相当强硬，，，我是2015.10.4号晚上入住的，交了300元押金，第二天出门时通知了前后服务员说：我最迟晚上会来', '短评打分': 3}
{'短评内容': '还算干净，就是靠马路，有点吵', '短评打分': 3}
