{'descr': '房间还行  就是微冷穿衣服住的', 'star': 5}
{'descr': '还可以  就是房间有点微冷   穿衣服睡得', 'star': 5}
{'descr': '位置很方便，门口就是公交站点，去火车站汽车站很近', 'star': 5}
{'descr': '床单不换，被子上还有很多污渍，洗澡水没那么热，附近吃饭的地方，非常少，总之差评吧！也没有一次性拖鞋。', 'star': 2}
{'descr': '洗澡时间过十分钟水变凉', 'star': 4}
{'descr': '空调不好使', 'star': 4}
{'descr': '凑足五个字', 'star': 4}
{'descr': '非常不错', 'star': 4}
{'descr': '环境位置都非常好，价格优惠，总之挺不错的！', 'star': 5}
{'descr': '挺安静的，环境也不错', 'star': 5}
{'descr': '没有订酒店，实在没地方住了，凑合住的，反正我是穿着衣服睡的……', 'star': 3}
{'descr': '宾馆的环境卫生比较好，出乎之前的期望，服务人员的服务态度也很好，宾馆交通便利，第一次入住很容易找到了，适合出去玩入住。', 'star': 5}
{'descr': '比较方便，离火车站近。周围买东西比较方便。', 'star': 3}
{'descr': '还可以，比较方便，有线无线，最主要离火车站比较近。', 'star': 3}
{'descr': '还可以。出行比较方便，有电脑，有线无线', 'star': 3}
{'descr': '还可以。只是配置的东西都是收费的，连一次性拖鞋都是。', 'star': 3}
{'descr': '每次都住这里 还是很不错的', 'star': 3}
{'descr': '酒店设施一般，卫生状况不错，服务态度还算不错', 'star': 4}
{'descr': '这是第二次在这家订房了，还可以。网上订的比前台折扣还便宜', 'star': 4}
{'descr': '前台态度挺好 房间干净整洁 总体不错！就是卫生间我个人不太喜欢透明的', 'star': 5}
{'descr': '环境不错服务态度很好', 'star': 3}
{'descr': '第一次来、很好', 'star': 3}
{'descr': '环境挺好的，性价比比较高。装修比较新。地理位置交通也比较方便', 'star': 5}
{'descr': '位置挺好，价格便宜。新装修，房间性价比高。', 'star': 5}
{'descr': '房间比较安静，停车方便，地毯非常脏，有垃圾，应该是没有吸尘，没有IPTV。', 'star': 5}
{'descr': '介绍中说是房间有电脑可以上网，我才定的，结果来了根本没电脑，失望！', 'star': 3}
{'descr': '酒店离上海火车站很近，门口有自己的停车场，停车很方便。', 'star': 5}
{'descr': '满屋烟味，象个情人旅馆，床不舒服，隔音不好。', 'star': 1}
{'descr': ' 很满意，房间很大', 'star': 3}
{'descr': '在上海性价比算不错的了，下次去的话还会考虑入住', 'star': 5}
{'descr': '酒店位于沪太路上，离上海火车站很近，过恒丰桥就到。交通便利，停车也很方便，周边配套不是很好', 'star': 5}
{'descr': '酒店除了地方有点难找，但房间还算干净，设施也不错。', 'star': 5}
{'descr': '地理位置不错，周边环境比较繁华。服务态度还可以。房间比较干净，设施齐全，就是我去的那两天电视效果比较差。网速也稍显慢一点。总体来说还是很不错，特别是圆床房，房顶还有面大镜子，比较有情趣，非常适合情侣。个人认为性价比很高，下次有机会还会选择这家。', 'star': 5}
{'descr': '住的是大床房，房间挺大的，至少在上海地区还算是不错的了，只是早餐品种太少了！', 'star': 5}
{'descr': '酒店位置不错，房间挺大的，卫生也好，就是世博期间价格有点高。', 'star': 3}
{'descr': '酒店位置不错，交通便捷。\r\n房间挺大的，合理利用。\r\n卫生也好，就是世博期间价格有点高。\r\n入住时丢了我一个毛巾\r\n白色的 可能打扫人员没注意。。。', 'star': 5}
{'descr': '酒店位置不错，房间挺大的，卫生也好，就是世博期间价格有点高。', 'star': 3}
{'descr': '南苑E家是我出差的维一选择.赵平', 'star': 5}
{'descr': '酒店环境卫生，服务什么都很不错，房间设施齐全很人性化，早餐还行，如果品种再多点就更好了。就是酒店的门面和内部不配套，门面太简单了，看了外表没有去住的兴趣，其实内部真的不错，值得推荐', 'star': 5}
{'descr': '服务很好，房间也不错，就是卫生间有点不满意', 'star': 3}
{'descr': '其他都很好，就是位置偏了点，晚上出入不是很安全！', 'star': 1}
{'descr': '+很好很满意', 'star': 5}
{'descr': '已入住,不错。', 'star': 5}
{'descr': '酒店卫生相当不错,服务也还不错,只是位置不是很好,门前的道路拥挤,而且道路中间有隔离带,有时候酒店就在眼前却不好过马路,还要绕很远,而且世博期间价格相当贵,不过我定的房间床位比较大,所以四个人开的一间房,住着也挺舒适.', 'star': 5}
{'descr': '房间的卫生设施都还不错很满意，位置挺好找的就在火车站附近，价格服务还可以因为也是世博可能贵了一些不过都还能接受。', 'star': 5}
{'descr': '位置很优越，周边离公交地铁站挺近，离火车站也不远，出行很方便的。', 'star': 5}
{'descr': '酒店各方面都不错，人员服务很好，也不吵，就是难找。打车问司机都没听过呢', 'star': 5}
