{'短评内容': '非常不错，第一次在那边，黄金地段，非常实惠', '短评打分': 5}
{'短评内容': '周边配套方便，其他一般。一分钱一分货吧', '短评打分': 3}
{'短评内容': '在这个地段这个价位还含早很难得了', '短评打分': 5}
{'短评内容': '很好 性价比高', '短评打分': 5}
{'短评内容': '交通方便 地铁下就是连城新天地 直通会展中心 中心城 吃喝逛街方便', '短评打分': 5}
{'短评内容': '位置方便 价格合理 还含早', '短评打分': 5}
{'短评内容': '离会展中心太近了！很方便啊', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '不错吧，交通方便', '短评打分': 4}
{'短评内容': '周边再修地铁，住正对马路的房间噪音较大', '短评打分': 4}
{'短评内容': '环境不错，楼层高夜景不错。', '短评打分': 5}
{'短评内容': '餐點較單調', '短评打分': 4}
{'短评内容': '对于参加展会的入住，那是很不错的选择！', '短评打分': 5}
{'短评内容': '对于参加展会的入住，那是很不错的选择！', '短评打分': 5}
{'短评内容': '地理位置很好，出行也很方便 走几步就到地铁站，直走也能到会展中心。房间整体比较干净，地方也比较大。', '短评打分': 4}
{'短评内容': '我是在携程网上提前预订的宾馆，到宾馆后发现与网上的图片一样，宾馆房间挺不错的，空间较大，有阳台，可以晾衣服，卫生也很干净，前台服务很热情，跟我细心解释了信用卡预授权、担保等问题，宾馆提供的早餐品种多，馒头、包子、炒粉、鸡蛋、白粥、豆浆样样都好吃，还有宾馆地段好，我们到嘉里建设广场出差，走地下的连城新天地，一下子就到了，总体上这次入住还是很满意的。', '短评打分': 5}
{'短评内容': '交通非常方便', '短评打分': 5}
