{'短评内容': '酒店不错！服务可以', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 4}
{'短评内容': '位置可以吧，卫生感觉一般 ，应该是打扫的偷懒了 枕头底下有头发渣子。明显没有换床单！电视是坏的 不能用！其他还行吧', '短评打分': 4}
{'短评内容': '没想过会有这么差的格林豪泰。', '短评打分': 2}
{'短评内容': '同比性价比很高，就是出行不方便', '短评打分': 5}
{'短评内容': '交大旁边，大学中的战斗机。', '短评打分': 5}
{'短评内容': '卫生安全交通方便', '短评打分': 5}
{'短评内容': '环境不错，卫生，安全。交通比较方便', '短评打分': 5}
{'短评内容': '跑了很远才找到，理解错了，以为是大店，实际不是，环境还行', '短评打分': 4}
{'短评内容': '除了服务员态度好一点别的都很差。最差的是携程网，我在携程网预订的35平米的商务大床房，可是这家酒店根本没有这种房间，只有15平米的普通大床房。宾馆服务员积极帮忙联系携程，还差点和携程吵起来，赞。携程网不咋地。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境，服务，早餐，各种都不错。', '短评打分': 5}
{'短评内容': '周边环境不错，隔音效果差', '短评打分': 4}
{'短评内容': '位置稍微偏远，但还算可以、自行车20min，价格很便宜', '短评打分': 3}
{'短评内容': '总体还行。', '短评打分': 4}
{'短评内容': '应该是房间的部分地方重新装修过，地板有点陈旧，价格可以', '短评打分': 3}
