{'短评内容': '大床真的好大', '短评打分': 5}
{'短评内容': '很好，服务很亲切', '短评打分': 4}
{'短评内容': '从香格里拉一路过来，发现这家酒店已是非常地好了。入住后，发现洗手盘是开裂过的。晚上有点冷，准备开冷 气，发现没有摇控器。找服务员拿，拿了几次还是开不了，据说电工找不到？晕。后来发现她总是拿了不同牌子的摇控器过来。当然开不了，但态度还是相当好（无语）。卫生还是相当不错的。早餐真的是无语，品种不多不在说了，各部门的服务员都随便拿了个盘子就来你身边盛着就走开。真的是没见过四星酒店还有这种待遇', '短评打分': 5}
{'短评内容': '冬天去的，冷', '短评打分': 3}
{'短评内容': '性价比不错，在林芝住此地还算满足。', '短评打分': 4}
{'短评内容': '酒店有藏式特色，干净。吃的也不错。卫生间排水有问题，希望改进。', '短评打分': 3}
{'短评内容': '条件不错了，干净卫生服务挺好', '短评打分': 3}
{'短评内容': '很好，有四星酒店档次，早饭不错。', '短评打分': 3}
{'短评内容': '酒店新开的，房间不错！服务也很贴心，当天我预定的是一个标间和一个单间，checkin的时候告知标间没了，原价换了三个单间，服务员帮把行李送入房间，晚上还有水果赠送，不是一个，是一盘，种类多，数量也还行！有免费的WIFI，速度较快！唯一不足的是，卫生间太小了，坐马桶和洗澡都不是太施展得开，吼吼 ', '短评打分': 5}
{'短评内容': '酒店新开的，房间不错！服务也很贴心，当天我预定的是一个标间和一个单间，checkin的时候告知标间没了，原价换了三个单间，服务员帮把行李送入房间，晚上还有水果赠送，不是一个，是一盘，种类多，数量也还行！有免费的WIFI，速度较快！唯一不足的是，卫生间太小了，坐马桶和洗澡都不是太施展得开，吼吼', '短评打分': 5}
{'短评内容': '林芝算挺好的酒店了', '短评打分': 4}
