{'短评内容': '酒店位置很好，停车方便，早餐丰富', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店是旅顺最好的酒店之一，房间不错，服务周到，早餐不错。周边环境一般，但购物、餐饮很方便，酒店距海边10多分钟的路程。', '短评打分': 4}
{'短评内容': '旅顺非常好的酒店，房间很大，床也舒适。交通要有车才方便，但离每个景点都不远，周边安静，早餐一般，住两天，都是重复的。', '短评打分': 5}
{'短评内容': '京东预定酒店也很方便，价格跟携程上差不多', '短评打分': 4}
{'短评内容': '服务不好，其他还行，离市中心较近', '短评打分': 4}
{'短评内容': '没有免费水，吹风筒。硬件还行。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '住在酒店前往各个旅顺景点还是蛮方便的，价格相对来说也不贵，想要住的好点干净点的话，推荐选择！餐饮不错。', '短评打分': 5}
{'短评内容': '周边环境差一点点。', '短评打分': 5}
