{'短评内容': '常住的，性价比高', '短评打分': 5}
{'短评内容': '在东方购物广场边上，吃饭方便！酒店干净整洁！龙游一家不错的酒店', '短评打分': 5}
{'短评内容': '有停车场，酒店位置不错！', '短评打分': 5}
{'短评内容': '早餐凑合，停车方便，还算干净卫生，就是卫生间排风坏了，也没给修修，多要两瓶水还要额外收费，有点不爽～', '短评打分': 4}
{'短评内容': '早餐还可以吧，也有停车位，房间面积挺大的，还算满意，不过房间有些设施有些陈旧，卫生间排风扇坏了，也没人修', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以的，', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '大堂什么还不错，整体看上去比较舒服，就是这里本来就没什么地方看，吃了韩寒去过的大排档，味道一般，就是便宜。一次够了。', '短评打分': 5}
{'短评内容': '房间很干净，也很温馨', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '很好的选择，安静的地方，环境卫生很好', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以，性价比还可以', '短评打分': 4}
{'短评内容': '这个酒店已经住了很多次了，这次住的是豪华套房，但是发现如果要使用自己的电脑就非常麻烦，连电源插座也没有', '短评打分': 4}
