{'短评内容': '卫生很差，前台态度不好。', '短评打分': 3}
{'短评内容': '服务不到位', '短评打分': 3}
{'短评内容': '有停车场，方便停车', '短评打分': 5}
{'短评内容': '酒店离动物园大约400米，离翠湖公园约1.2公里。房间干净，早餐马马虎虎，性价比较高。', '短评打分': 4}
{'短评内容': '有停车场，很方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺干净的', '短评打分': 5}
{'短评内容': '干净，安静，停车方便，位置好，出行方便', '短评打分': 5}
{'短评内容': '干净整洁。', '短评打分': 5}
{'短评内容': '不错，好找，上档次', '短评打分': 5}
{'短评内容': '房间还可以就是纱窗烂了都不换那个蚊子真叫一个多.，一下就打死十只.，建议换换纱窗更好点其他都不错!', '短评打分': 3}
{'短评内容': 'wifi不稳定啊！信号极差！断断续续的！', '短评打分': 3}
{'短评内容': '多次入住了！环境还行！主要附近吃和玩方便！推荐', '短评打分': 3}
{'短评内容': '房间还可以，环境也可以', '短评打分': 3}
{'短评内容': '一般般，设备太旧了，以前好很多', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '，比起同价的其他宾馆，设施不错，房内有单独的电吹风，浴室也大。', '短评打分': 3}
{'短评内容': '服务不错，价格也不高，房间也挺干净的，就是离市区有点远了。总体还行。', '短评打分': 5}
{'短评内容': '很好住，地理位置很好~~交通很方便。去昆明的时候很喜欢住这里，我的同学也喜欢住', '短评打分': 5}
{'短评内容': '性价比还可以，酒店不是很旧，下次还住。酒店不远处有家彝家驴肉火锅店味道很好。', '短评打分': 5}
{'短评内容': '酒店看起来还不是很旧，性价比还可以。离圆通寺和翠湖都很近。', '短评打分': 5}
{'短评内容': '酒店性价比还行，离圆通寺不远。看起来酒店不是很旧。', '短评打分': 5}
{'短评内容': '这次和朋友一起住的三人间 总体来说酒店还是很不错的很安静其它硬件也很到位 就是卫生间有异味 希望能改进一下 顺便问一下酒店你们的卫生间设计人员是不是外行啊 马桶怎么会安装在洗脸池边上呢', '短评打分': 5}
{'短评内容': '方便 好打车 硬件设施不错 环境好 去哪里都方便', '短评打分': 5}
{'短评内容': ' 酒店条件很一般，热水都不热', '短评打分': 3}
{'短评内容': '作为经济型酒店，条件一般，就是空调取暖效果不佳。', '短评打分': 5}
{'短评内容': '酒店还行，就是太冷了，服务一般，作为经济型酒店还可以。', '短评打分': 5}
{'短评内容': '服务还可以，就是卫生间会漏气，恶臭难闻，服务员处理了也没效果', '短评打分': 3}
{'短评内容': '服务态度需要更进一步提高。\n最好能提供早餐等内容。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房挺新的还不错，周边交通也方变离我办事的地方挺近的，就是吃饭的地方少了点，总的还算OK，下次来还主这里。', '短评打分': 5}
{'短评内容': '环境很好 房间很大 住起来很舒服；周围也很安静 服务态度也好 下次来 还要住这里  很满意', '短评打分': 5}
{'短评内容': '新酒店，舒适、温馨而又安静，交通方便。', '短评打分': 3}
