{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '酒店闹中取静，地理位置得天独厚，有专门的停车场和餐厅，消费边高！吃喝洗浴全部可以在该酒店完成，房间也比较大，布局合理！', '短评打分': 4}
{'短评内容': '被酒店小坑了一把！我又不是少林高僧会一指禅！！！', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '房间设施很好，干净整洁，帮老公订的，老公非常满意，服务也挺好。价格特别优惠。以后还会来的。这样的价格住这样的房间，太意外啦。满意。', '短评打分': 5}
{'短评内容': '出差相对来说可以了', '短评打分': 4}
{'短评内容': '房间整洁，服务周到。', '短评打分': 5}
{'短评内容': '设施陈旧有待更新', '短评打分': 3}
{'短评内容': '蛮好，不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '不错不错。', '短评打分': 5}
{'短评内容': '不错不错。', '短评打分': 5}
{'短评内容': '总体来说还是不错的', '短评打分': 5}
{'短评内容': '一般般。能根据客户要求匹分开票，但明细不能匹分；早餐差点', '短评打分': 3}
{'短评内容': '面积大，但设施陈旧。卫生间的配套太旧了。', '短评打分': 3}
{'短评内容': '值得推荐的酒店，入住的房间很大服务态度也很好，紧邻高速交通方便！', '短评打分': 5}
{'短评内容': '房间很大，服务态度很好。离高速公路口很近。交通方便。值得推荐！', '短评打分': 5}
{'短评内容': '该酒店值得再次入住', '短评打分': 3}
{'短评内容': '你公司反回款打这个帐号:4637580002861569冯全苗', '短评打分': 3}
{'短评内容': '，结账服务态度差，房间比较干净。', '短评打分': 3}
{'短评内容': '算是那里比较好的酒店了，下次去还会入住!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '整体环境不错！，不足的是大床中间往下陷', '短评打分': 3}
{'短评内容': '物超所值，虽是4星，一般5星的室内硬件比不上她。位置略远，但因城市小，还算方便。下次来肯定还是首选', '短评打分': 5}
{'短评内容': '交通便利，环境很好，房间很大，双洗浴，周围很安静，唯一就是床有点硬，个人喜好吧！推荐！', '短评打分': 5}
{'短评内容': '该酒店位置很好，酒店设施也很好，就是桑拿客人太少了，呵呵', '短评打分': 5}
{'短评内容': '环境很安静，很美~总的感觉真的很不错，值得去感受一下~', '短评打分': 5}
{'短评内容': ' 不错，房间大，送的餐味道好，下次还会住这里', '短评打分': 3}
{'短评内容': '不错的', '短评打分': 3}
{'短评内容': '感觉非常不错，价位也比较合适值得向朋友推荐.', '短评打分': 5}
{'短评内容': '非常好,离富士康十分近，如果前往晋城处理富士康业务的话十分方便，\n房间也很大，服务非常好！！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '房间很大,设施也不错,打扫卫生的小姐很尽责, 我走时丢了一张卡,她发现后,就马上通知总台送给我, 非常感谢!', '短评打分': 5}
{'短评内容': '酒店设施非常好，房间很大，自助餐也很不错。', '短评打分': 5}
{'短评内容': '很不错的酒店，房间设施很高级、现代化，房间也很大，就是床太硬，被子质量太差', '短评打分': 3}
{'短评内容': '在晋城感觉最好的酒店', '短评打分': 5}
{'短评内容': '还不错，值得一住', '短评打分': 3}
{'短评内容': '在山西算是挺不错的酒店，房间很大，服务很好，就是床太硬了，位置有些偏', '短评打分': 5}
{'短评内容': '床太硬', '短评打分': 5}
{'短评内容': '总体感觉还行', '短评打分': 5}
{'短评内容': '山西兰花集团的招待所，但是性价比真的很高...房间面积挺大的,装修豪华,浴室里有浴缸,也有淋浴间,卫浴设施都是名牌产品...客房点餐很便宜,就10-40左右,吧台饮料可口可乐才卖5元...下次去度度假也行...', '短评打分': 5}
{'短评内容': '作为2县城市的4星级宾馆，应该很不错了，宾馆旁边的美食城，价格稍微高了一点但是东西很精致好吃', '短评打分': 5}
{'短评内容': '我是10月2号入住的，就在高速公路附近，进城出城都很方便，酒店设施很新也很好，完全是五星级的标准，房间很大，卫生间很大，有一个淋浴间和一个浴缸 淋浴，可以2个人同时洗澡不打扰，很方便。唯一不足的是我们去的时候可能是气温已经很低了，没有空调，因为酒店窗户不能完全打开，所以有点闷，但是还是性价比很高的酒店，我下次去还会选择这里', '短评打分': 5}
{'短评内容': '有点贵，设备不错', '短评打分': 5}
{'短评内容': '酒店较新，设施好，价格也适中', '短评打分': 5}
{'短评内容': '&lt;font color=&quot;Navy&quot;&gt;&lt;font size=&quot;3&quot;&gt;&lt;font face=&quot;宋体&quot;&gt;总体来说这是我在山西住过的不错的4星级宾馆。服务态度不错。就是有些跟进式——我问什么都会认真回答，不会主动给你建议。设施没得说，非常过硬，不比五星级的差，很舒服。卫生间也很舒适温暖。就是早餐差了些。希望可', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
