{'短评内容': '酒店服务态度可以，房间很大，早餐一般，', '短评打分': 5}
{'短评内容': '还不错！淡季出行性价比很高，早餐也很丰富，我们住的三号楼湖景房，视野还不错，单车要是可以免费骑就更棒。', '短评打分': 5}
{'短评内容': '适合一家出来度假的酒店，不错', '短评打分': 5}
{'短评内容': '千岛湖性价比最高的五星酒店，非常适合带家人来这边安静的玩几天，酒店的服务非常好，地下车库停车非常方便，以后有机会去千岛湖还会下榻绿城度假酒店', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境很赞，闹中取静，3号楼15层湖景景观很漂亮，楼下湖边有步道散步骑车。房间很大，早餐丰富。', '短评打分': 5}
{'短评内容': '陈晓欢服务很好。', '短评打分': 5}
{'短评内容': '前台服务很好', '短评打分': 5}
{'短评内容': '住了一天，环境真心赞，房间也不错，就是不太新欢睡软床垫。有儿童乐园，娃玩的还挺开心。早餐也很赞。', '短评打分': 5}
{'短评内容': '非常满意的一次旅行，无敌大湖景，可以俯瞰千岛湖。', '短评打分': 5}
{'短评内容': '虽然没有住成、还是不错的，定退都很方便的下次在来预定吧', '短评打分': 5}
{'短评内容': '1、京东预定酒店是最划算；2、习惯用京东预定', '短评打分': 5}
{'短评内容': '非常好，环境不错，房间也收拾的干净，对面就有几家不错的饭店，口味做的好吃，去各个景点也方便。', '短评打分': 5}
{'短评内容': '房间很好景色也不错，不知道是什么原因被子潮乎乎的，早餐很一般没什么吃的，价格在当地算是比较贵的，建议住1号楼！', '短评打分': 5}
{'短评内容': '在绿城住了三天，一进门就看到大阳台了，可惜阳台上的设施少了点，只有一个躺椅和茶几，不能一家子一起。房间里其它的设施都挺全的，浴室里既有浴缸又有淋浴房，客厅也很大，有沙发，如果有朋友拜访的话接待起来也很方便。早餐也挺不错的，但我在这里真的要为他们的酒店管家点赞。第二天出门的时候我们挂了清洁房间的牌子，回来一看，本来挂在卫生间的衣服，酒店管家在打扫房间时帮我拿来了晾衣架全晾在阳台上了，太贴心了。第三天我们本来想让酒店管家帮我们收一下laji就好了，房间不必要打扫了，跟她说过以后她马上就来帮我们换**袋，还是帮我们打扫了房间。以前住别的酒店时，像这种情况服务员肯定都是换好**袋就走的，肯定不会继续打扫了。所以我打的五星很大一部分是因为那位酒店管家，在此再对她说一次谢谢。', '短评打分': 5}
{'短评内容': '好评 好评 好评 好评 好评', '短评打分': 5}
{'短评内容': '很好很大很干净', '短评打分': 5}
{'短评内容': '很大很好，很干净很舒适', '短评打分': 5}
{'短评内容': '好用的，愉快的购物体验', '短评打分': 5}
{'短评内容': '好用的，愉快的购物体验', '短评打分': 5}
{'短评内容': '房间不错 很喜欢 价格也不贵', '短评打分': 5}
{'短评内容': '到现在房间还能订，和我说无房取消订单。骗谁呢。。。', '短评打分': 1}
{'短评内容': '环境好，房间很大，看湖的效果不错。还能湖边早餐，不一样的感觉', '短评打分': 5}
{'短评内容': '还不错，早餐品种还行', '短评打分': 5}
{'短评内容': '这酒店性价比简直完美！', '短评打分': 5}
{'短评内容': '已经安利给朋友了，属于千岛湖超具性价比的酒店，无论风景、大小、位置。。。完全满意。。。以后去绝对选这里', '短评打分': 5}
{'短评内容': '400多的房间，性价比超级高，安排住在1705，看风景很好。', '短评打分': 5}
{'短评内容': '博世(BOSCH)空气滤清器0986AF2941(沃尔沃S80L、沃尔沃:S80L、S80II、XC60)', '短评打分': 5}
{'短评内容': '不错，在县衙旁，房间够大', '短评打分': 5}
{'短评内容': '好好的', '短评打分': 4}
{'短评内容': '好不错', '短评打分': 5}
{'短评内容': '老妈很满意，难忘的一次轻松游', '短评打分': 5}
{'短评内容': '定了行政房 超级赞。性价比很高！', '短评打分': 5}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '不错，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '订的湖景套房，露台超赞，价钱很合理', '短评打分': 5}
{'短评内容': '还是推荐的，性价比很高', '短评打分': 5}
{'短评内容': '总体还是蛮不错的', '短评打分': 5}
{'短评内容': '订的湖景房 免费给升级行政套房 位置非常好 美美哒、很满意', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '设施可以，环境优美，会再来，，', '短评打分': 4}
{'短评内容': '环境好，住的湖景房间，推开阳台的门窗望着宁静的湖面真是一种远离喧嚣的享受！早餐丰盛，交通方便。值得一住～', '短评打分': 5}
{'短评内容': '酒店不错。', '短评打分': 5}
{'短评内容': '酒店地理环境非常不错，我家住的湖景标房带一个看湖的阳台，对着湖，风景很美，房间也大，适合度假。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '在湖边,一边喝咖啡,一边看书,顺边看泳池里的人...', '短评打分': 5}
{'短评内容': '酒店地理环境非常不错，我住的高标房带一个很大的露台，对着湖，风景很美，房间也大，适合度假。', '短评打分': 5}
{'短评内容': '房间还不错，湖景房景色很美，但是早餐太差了~', '短评打分': 5}
{'短评内容': '不错，就是早餐简单了点，有点挤。风景很好。适合度假。下次还会考虑。', '短评打分': 5}
{'短评内容': '超级适合家庭出游的选择，带有厨房的套房，一边喝咖啡一边观湖，很惬意', '短评打分': 5}
{'短评内容': '酒店很好，很喜欢，下次还住。', '短评打分': 3}
{'短评内容': '入住绿城度假酒店', '短评打分': 3}
{'短评内容': '风景很好，在阳台吹吹风，感觉特好，房间 很大，前台服务一般，大堂不够气派。', '短评打分': 5}
{'短评内容': '套房哦，很赞。前面就是游泳池，度假首选了，性价比还高的，和喜来登挨着，不知道他俩是啥关系，感觉是一样的，可能喜来登更豪华', '短评打分': 5}
{'短评内容': '湖景很美  酒店的房间干净宽敞 服务也很好 非常舒适 值得推荐', '短评打分': 5}
