{'短评内容': '服务很好，卫生干净。', '短评打分': 5}
{'短评内容': '卫生环境都很好', '短评打分': 5}
{'短评内容': '网上订的，真是不错的', '短评打分': 5}
{'短评内容': '早餐很丰富！', '短评打分': 4}
{'短评内容': '房间很好，干净卫生，适合出差，离市中心，火车站很近，购物与出行方便。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很大 不错 可惜后来没住', '短评打分': 5}
{'短评内容': '位置非常方便，出了火车站就能看到。是那种老式的星级宾馆，端庄气派，服务也不错。房间挺大的，安静。订单时说的零食没有赠送，不过退房时间延迟到2点了，个人觉得延迟退房要比零食之类更实用', '短评打分': 5}
{'短评内容': '房间超级大。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好的酒店，就在车站旁边，方便，吃饭地多，有轻轨三四号线。房间大，内外两间，两卫生间，干静舒适，推荐。', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好的酒店服务也好', '短评打分': 5}
{'短评内容': '选择这间酒店就是看网上评价不错来订的，环境性价比高，不过洗脸盆下边水管漏水和沐浴间的排水系统有待加强。', '短评打分': 5}
{'短评内容': '交通比较便利，房间也很干净！不错！', '短评打分': 5}
{'短评内容': '很好的地理位置！', '短评打分': 5}
{'短评内容': '房间大，干净，床舒服，就是交通较乱。', '短评打分': 5}
{'短评内容': '房间大，干净，床舒服，就是交通较乱。', '短评打分': 5}
{'短评内容': '环境幽雅，历史悠久，服务热情，交通方便！美中不足，淋浴水温不好控制忽冷忽热！', '短评打分': 5}
{'短评内容': '酒店在火车站对面，附近公交车较多，但是打车不太方便。房间很干净，早餐也不错。就是牙刷、洗发水之类的，质量一般。', '短评打分': 3}
{'短评内容': '酒店还可以。优点1.离火车站近；2.但是不吵；3.早餐好、花样多；4.新装修。缺点1.房间里东西少，只有一台电视，没有睡衣、', '短评打分': 3}
{'短评内容': '服务很好，设施也不错，唯一不爽的是早餐品种相对简单，馄饨要点好几次才能要到，但总的来说还不错，离火车站近，乘火车特方便。', '短评打分': 5}
{'短评内容': '酒店离火车站300米，非常近。房间大，很实惠。', '短评打分': 3}
{'短评内容': ' 交通便利', '短评打分': 3}
{'短评内容': '位置非常好，离公司很近。', '短评打分': 3}
{'短评内容': '非常不错的酒店，早餐丰富，门口就是长春南站广场，旁边就是长江路步行街，吃东西和买东西都非常方便，酒店装修很好，比较安静。', '短评打分': 5}
{'短评内容': '价格适中，位置离火车站非常近，就在火车站对面。房间大，配置新，十分满意。下次还来。', '短评打分': 5}
{'短评内容': '位置好，无论火车还是大巴很方便。就是早上外边有点吵。整体还是不错的。', '短评打分': 5}
{'短评内容': '都挺好的，就是晚上隔壁太吵了，地毯有些脏，最满意的是洗澡水，水流很大，舒服', '短评打分': 5}
{'短评内容': '酒店地址位置、环境感觉不错的，出差住宿不错的。', '短评打分': 5}
{'短评内容': '酒店感觉不错的，平常出差在此住宿不错的。', '短评打分': 5}
{'短评内容': '很方便。价格也合适。设施还可以。。就是交通方便。', '短评打分': 5}
{'短评内容': '离火场站近，卫生干净，网速稍慢，但服务较好，晚上无人骚扰', '短评打分': 5}
{'短评内容': '大厅的环境迷惑了我的眼睛，房间设施差，服务差', '短评打分': 1}
{'短评内容': '房间很好，就是太大了。其他的非常满意。就是地毯有点脏', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '+好', '短评打分': 5}
{'短评内容': '酒店房间太脏', '短评打分': 5}
{'短评内容': '除了距离火车站近以外，一无是处。1、房间宽带十分不稳定，甚至需要折腾40多分钟以上才能连接上。2、餐厅点餐，居然在菜中发现不明小生物的尸体。3、房间有味道，是那种刚装修完的那种味道，但是房间绝对不是才装修的。4、淋浴喷头该换了，出水实在是不敢恭维。5、电视遥控器，换台只能后退，不能前进。6、热水壶就算不换，也该清理一下壶底的水垢了。7、房间隔音实在是差，实在是太差了！！！\r\n绝对不推荐这家酒店！！', '短评打分': 1}
{'短评内容': '+太旧', '短评打分': 5}
{'短评内容': '房间太旧了，位子还可以，楼道里有发霉的味道。房间内设施都该更新了\r\n\r\n', '短评打分': 5}
{'短评内容': '服务很好，相当满意', '短评打分': 5}
{'短评内容': '如果赶早班火车推荐入住。设备陈旧，毛巾很黑。我来时下雨，女行李员冒雨撑伞，提行李，服务热情。酒店内有不知真假僧人骗财，没有管理人员过问。', '短评打分': 5}
{'短评内容': '作为一个开业很长时间的酒店，装修方面已经过时，所以显得陈旧，不明亮。服务人员缺乏热情。地理位置较好。', '短评打分': 5}
{'短评内容': '很陈旧，不好', '短评打分': 1}
{'短评内容': '火车站区域来讲，比较经济方便', '短评打分': 5}
{'短评内容': '老酒店还行，足够便宜', '短评打分': 5}
{'短评内容': '垃圾', '短评打分': 1}
{'短评内容': '可以推荐', '短评打分': 5}
{'短评内容': '没啥说的，一直以为长春的春谊宾馆应该是不错的，但不论是新楼还是旧楼都很差劲！唯一值得记住的就是春谊宾馆这四个字，还是因为它很差的原因。\r\n实事求是的说就是很大很大的一个招待所。\r\n而且相较于住宿条件，性价比低到可以打劫形容！同样价位可以在长春住到非常舒服的酒店了。\r\n这次的选择非常失败！', '短评打分': 1}
{'短评内容': '就位置而言绝对是非常好,离火车站、客运总站都很近，客运北站也不远，如果比较在意位置的话，很推荐\n作为比较老的酒店设施是比较陈旧的，不过倒还凑合，早饭不错\n前台态度迥异~~~遇到的服务人员，一个超级热情：帮我们查去哪里的客车在哪个站坐、长影世纪城怎样门票可以优惠，还有一个冰冰冷的都没见过笑容~~~ ', '短评打分': 5}
{'短评内容': '虽然酒店的设施旧一些，但是住着还算舒适，该有的都提供了，可有可不有的就没有提供了。可能是节日期间住店的客人少或者是服务人员轮休吧，自始至终没有看见楼层服务员，前台的态度也一般，有点意外！', '短评打分': 5}
{'短评内容': '很好。早餐很丰盛。', '短评打分': 5}
{'短评内容': '离火车站比较近，出行、乘车方便。', '短评打分': 5}
{'短评内容': '很差', '短评打分': 3}
{'短评内容': '大车店水平！', '短评打分': 1}
{'短评内容': '总体来说，还是不错！', '短评打分': 3}
{'短评内容': '地理位置非常方便，历史悠久，但和现在的酒店相比，设施还是没有竞争力', '短评打分': 5}
{'短评内容': '卫生条件一般,前台服务也有待改进', '短评打分': 5}
{'短评内容': '经常住这里，感觉跟之前住设施上有些差别，设施比较旧了，位置倒是非常方便的', '短评打分': 3}
{'短评内容': '2009年8月我曾住此酒店的贵宾楼，酒店的位置好，就在火车站对面，无论是打的还是乘坐公交，都很方便。酒店具有丰富的历史。设施和卫生较好，早餐也还可以。酒店的工作人员服务非常好。标间的性价比非常高。', '短评打分': 5}
{'短评内容': '我觉得这家酒店很不错，首先是位置好，距离火车站近，面向人民大街，交通很便利，酒店大气，住在这里感觉心情特别敞亮。', '短评打分': 5}
{'短评内容': '酒店的设施很老旧,性价比不太好,价格和服务都不成正比,位置不错靠近火车站交通方便.', '短评打分': 3}
{'短评内容': '酒店位置，服务不错，设施一般，性价比还可以，下次还会住', '短评打分': 5}
{'短评内容': '位置离长春火车站非常近 适合赶车或者火车中转住宿，但房间很旧 很小  舒适度很一般', '短评打分': 5}
{'短评内容': '酒店很老旧了,房间的窗户都是假的打不开,设施很陈旧,位置靠近火车站很方便.', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还行。。。', '短评打分': 5}
{'短评内容': '早餐一般。而且通过网站订房，仅仅有一人，不和常理。', '短评打分': 5}
