{'短评内容': '环境可以 前台接待也很好', '短评打分': 5}
{'短评内容': '性价比很高的地方，市中心位置。', '短评打分': 5}
{'短评内容': '整体还行，感觉一般', '短评打分': 5}
{'短评内容': '作为一位入住。。。。酒店的顾客，我用亲身经历发自内心的觉得，～～～酒店环境整洁，房间布局还不错，挺干净的，服务也还可以，空调正对着直接吹，有点不舒服，整体来说还不错。', '短评打分': 4}
{'短评内容': '不够三星，房门声音很重，早餐菜夹直接放菜里，很脏。住宿感受非常差。', '短评打分': 3}
{'短评内容': '好，不错，很喜欢', '短评打分': 5}
{'短评内容': '没有房间了，都交完钱又给退了，之前怎么不显示呢？', '短评打分': 1}
{'短评内容': '住的比较舒服，酒店还是，比较满意的', '短评打分': 5}
{'短评内容': '不是所有的银行卡都可以支持京东金融支付，有些遗憾。比较了几个网站，京东酒店价格略低，很实惠。下车会继续光临预定。', '短评打分': 4}
{'短评内容': '真的很好很干净', '短评打分': 5}
{'短评内容': '酒店比较正规，价位低，房间隔音效果比较差最离奇的是第二天我们自己定比携程还便宜了十元一间房，而且还给我开发票。', '短评打分': 4}
{'短评内容': '服务态度不错正好赶上酒店装修乱，隔音效果不好。总体评价五星还不错。', '短评打分': 5}
{'短评内容': '酒店正在装修，楼道搅乱，位置不错，出行方便。', '短评打分': 5}
{'短评内容': '酒店位置交通方便，房间设施干净卫生，价格适中，非常值得下次入住！', '短评打分': 5}
{'短评内容': '空调不管用，房间挺冷的，wifi信号太差，三星酒店还不如快捷', '短评打分': 4}
{'短评内容': '酒店性价比很高，地理位置很好，附近就有小吃街，就是设施略显陈旧，但总体还是不错的，下次还会继续入住，', '短评打分': 4}
{'短评内容': '一般啦 没有特别喜欢的地方', '短评打分': 3}
{'短评内容': '酒店离市中心近，但是有点救', '短评打分': 4}
{'短评内容': '真是无语了 在洛阳玩几天 不想折腾 所以房间又续订了一天  今天电视还是不好使  晚上八点回到房间 八楼会议室还在唱歌 本来走一天就累了想休息  旁边鬼哭狼嚎的根本没法睡 楼下饭店发电机早上六点半嗡嗡响 一直到晚上八点多停  这宾馆住的 没顺心的地方  以后再也再也不会来了', '短评打分': 3}
{'短评内容': '环境还不错，逛街吃东西都很方便。服务也很好。就是卫生间没有浴帽，隔音效果一般！总体来说，还是不错的！', '短评打分': 5}
{'短评内容': '总体感觉不错，比较干净，有专门的停车位。洗澡水很好。', '短评打分': 5}
{'短评内容': '家庭房住了一晚。房间很大，也很安静，早餐不错。', '短评打分': 5}
{'短评内容': '条件一般，隔音不好，平时也就200元之内，五一期间价格自然翻番，早饭太一般，节假日可以考虑，毕竟价格不算高。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '不错，满意', '短评打分': 3}
{'短评内容': '条件很一般，价格有些贵。', '短评打分': 3}
{'短评内容': '还好了，就是靠近路边，有点太吵，其他环境可以，水很热', '短评打分': 5}
{'短评内容': '酒店对面就是车站，出行很方便，酒店可以刷卡，就是不能寄存行李，大堂还有旅行社，整个环境不错。房间的床也很大，美中不足的是洗澡水不大，冬天的话洗澡可能会感觉有点冷。', '短评打分': 5}
{'短评内容': '这酒店不错，干净。而且在市中心很方便。但早餐不是很好', '短评打分': 5}
{'短评内容': '价格比较低，对面就是商业街，地段挺好的。就是稍显陈旧，离马路近的房间有点吵，总体不错。', '短评打分': 5}
{'短评内容': '位置不错，干净，只不过有点吵，因为附近好像有迪厅', '短评打分': 5}
{'短评内容': '服务很好条件一般', '短评打分': 3}
{'短评内容': '地理位置不错 交通方便 家庭房也就是一间 只是两张床一大一小而已 开始以为是套间 早餐没起来 不知道', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '总体感觉还可以，市内卫生环境较好，价格合理。就是卫生间较差，有异味，空间小。', '短评打分': 5}
{'短评内容': '帮朋友定的，朋友说很好的，呵呵\n帮朋友定的，朋友说很好的，呵呵', '短评打分': 5}
{'短评内容': '装修不错 挺好的 环境也不错 离商业圈很近', '短评打分': 5}
{'短评内容': '除了位置好之外，离王府井比较近，剩下真不知道还有什么可推荐，卫生间是锈迹斑斑，毛巾都是破的，住了一个晚上就走人', '短评打分': 1}
{'短评内容': '交通方便，服务周到，酒店设施较陈旧，总体讲在洛阳价格并不是很优惠。', '短评打分': 5}
{'短评内容': '住了三天，整体感觉还不错，床是圆的，很可爱，有联想的一体机可以上网，马路对面就是新都汇购物休闲广场，购物、吃饭、看电影、健身都很方便，离王府井也不远，整体感觉不错，就是6月2号办理入住的时候，上午十一点多，坐在前台最东边的那个服务人员态度太差劲了，真想投诉她，难道我花几百块钱是来看你翻白眼的吗？气死我了。', '短评打分': 5}
{'短评内容': ' 环境还不错.', '短评打分': 3}
{'短评内容': '酒店设施太一般了，住着不温馨，也许是牡丹节的缘故，价格有点偏高。', '短评打分': 1}
{'短评内容': '房间很简单，床很窄，除了位置好之外，其他没什么特点。', '短评打分': 5}
{'短评内容': ' 快捷方便', '短评打分': 3}
{'短评内容': '很好,简单干净,吃饭购物很方便.', '短评打分': 3}
{'短评内容': '房子挺干净的，电脑上网速度也快。', '短评打分': 3}
{'短评内容': '非常不错的酒店  干净  舒适  服务业不错  推荐', '短评打分': 5}
{'短评内容': '很好，很干净，不过房间隔音很差，早上被隔壁叫声吵醒。', '短评打分': 3}
{'短评内容': '房间有点异味，其他都还可以，有停车场，到老城区小吃做公交车6站路。', '短评打分': 5}
{'短评内容': ' 房间很干净，网速也很快，就是空调过一阵就会猛的响一声，很恐怖。', '短评打分': 3}
{'短评内容': '服务员态度很好，周到热情，卫生情况不错，很干净，价格经济实惠，餐饮很好，饭菜蛮可口的', '短评打分': 5}
{'短评内容': '酒店服务挺不错的，服务员都很有礼貌的跟我们打招呼，酒店地处市中心周边出行很方便，房间卫生很好，干净整洁，住着挺满意的', '短评打分': 5}
{'短评内容': '酒店位置很好，地处市中心，周边购物出行很方便，房间卫生条件很好，干净整洁，服务到位，住宿条件很好', '短评打分': 5}
{'短评内容': '酒店餐饮很好，蛮可口的饭菜，服务不错，服务员办事效率快，酒店位置好，就在市中心，周边出行方便，房间卫生条件很不错', '短评打分': 5}
{'短评内容': '酒店位置不错，交通出行方便，房间装修的很一般，服务很好周到热情，卫生条件很不错，下次还会考虑入住的', '短评打分': 5}
{'短评内容': '服务不错，服务员随叫随到，办事效率高，房间硬件一般，卫生打扫的很干净，住宿环境很不错', '短评打分': 5}
{'短评内容': '酒店位置不错，周边有一些配套的娱乐休闲中心，还有超市商场，购物游玩方便，房间内部装修的很到位，卫生很好，住宿条件不错', '短评打分': 5}
{'短评内容': '很不错的酒店，服务到位，有提供叫醒服务，蛮周到的，房间装修的不错，布置的很温馨，住在里面有家的感觉，周边环境很好，就在火车站附近，出行方便', '短评打分': 5}
{'短评内容': '酒店有自己的停车场，停车特别方便，服务不错，周到热情，当时有行李员主动帮我拎行李，前台服务员办事效率快，房间装修的很一般，舒适度挺好的', '短评打分': 5}
{'短评内容': '酒店距离火车站蛮近的，周边环境挺好的，对面就是商场，逛商场超市都很方便，出行没问题', '短评打分': 5}
