{'短评内容': '位置有点里面，但是有个大院子，非常安静', '短评打分': 5}
{'短评内容': '前台一女服务员态度很差，对待老人态度耍横，素养较低', '短评打分': 2}
{'短评内容': '没毛巾和梳子', '短评打分': 4}
{'短评内容': '竟然没有洗脸的毛巾/给差评', '短评打分': 4}
{'短评内容': '', '短评打分': 3}
{'短评内容': '环境不行~', '短评打分': 5}
{'短评内容': '价格合理，环境还不错', '短评打分': 5}
{'短评内容': '位置很好找 交通方便 离中山路步行街也很近 出门不远也有吃的 房间很温馨 2张1.35米的床 我们3个大人一个小孩 够住 总体感觉还不错', '短评打分': 5}
{'短评内容': '京东的服务一流，质量很好，是正品，比超市便宜', '短评打分': 5}
{'短评内容': '很好，不错，住着很舒服，连锁酒店就是好', '短评打分': 5}
{'短评内容': '很好，不错，住着很舒服，连锁酒店就是好', '短评打分': 5}
{'短评内容': '还不错，就是空调太吵。', '短评打分': 5}
{'短评内容': '还可以吧，服务员挺热情的，环境也可以，可以让服务员选一些比较安静的房间', '短评打分': 5}
{'短评内容': '一般般，隔音不好，房间太小', '短评打分': 5}
{'短评内容': '还不错，就是房间空调响声有点大，', '短评打分': 5}
{'短评内容': '虽然比较旧但是房间很大,位置也不错,去厦门可以考虑这里', '短评打分': 5}
{'短评内容': '京东订酒店挺方便的,价格也很便宜~', '短评打分': 5}
{'短评内容': '离步行街很近，位置安静。前台也非常热情。下次还要来。', '短评打分': 5}
{'短评内容': '还不错，就是不好停车', '短评打分': 5}
{'短评内容': '挺好的，酒店距离市中心近', '短评打分': 5}
{'短评内容': '跟朋友一起开车出去玩，一路都在找离中山街近又方便停车的地方。这家还行，房间小了点。进去的小路太窄了，需要点技术开进去哦。总体还可以吧。性价比还算可以。', '短评打分': 5}
{'短评内容': '离码头很近方便！不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 4}
{'短评内容': '不错 ', '短评打分': 5}
{'短评内容': '总的来说一分价钱一分货', '短评打分': 4}
{'短评内容': '环境真心一般', '短评打分': 5}
{'短评内容': '位置可以，就是里面设施和卫生都一般', '短评打分': 4}
{'短评内容': '这是住过7天最最最差的一家，态度不是很好，车停门口，一大早六点多打电话敲门喊起来挪车，哎，房间墙壁都是掉皮，被水泡过，卫生很差，反正各种操心', '短评打分': 1}
{'短评内容': '环境不错，服务态度好', '短评打分': 5}
{'短评内容': '交通方便 床挺舒服', '短评打分': 5}
{'短评内容': '环境挺好 房间也干净 推荐', '短评打分': 3}
