{'短评内容': '院子里太吵了&hellip;&hellip;', '短评打分': 3}
{'短评内容': '经常住的，老顾客了，服务各方面都挺好的', '短评打分': 5}
{'短评内容': '早餐只能说聊胜于无，设施老旧，地毯很脏', '短评打分': 4}
{'短评内容': '停车方便，早餐一般吧，交通比较便', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '应该是很有年份的宾馆了，闹中取静。一觉睡到自然醒，设施较老，但是对的起这个房价了。免费停车场，超大，有专人值班。很省心！', '短评打分': 4}
{'短评内容': '房间设施陈旧，满屋子烟味。', '短评打分': 3}
{'短评内容': '好极了 好极了', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 4}
{'短评内容': '酒店房间面积大，卫生尚可，设施有点陈旧。', '短评打分': 4}
{'短评内容': '这个非常值得推荐，这个价位的早餐非常好！', '短评打分': 5}
{'短评内容': '位置较佳，交通便利。', '短评打分': 5}
{'短评内容': '环境安静，早餐不错，下次来了还住', '短评打分': 4}
{'短评内容': '服务还好，环境也很好，整体感觉很不错。', '短评打分': 3}
{'短评内容': '房间干净，卫生条件很好，给个赞!下次出差还到该店。', '短评打分': 3}
{'短评内容': '在许昌算是不错的宾馆了，性价比高，房间挺好', '短评打分': 3}
{'短评内容': '干净卫生，前台服务好。特别是院子里停车方便，负责停车管理的保安师傅非常热情，负责。', '短评打分': 3}
{'短评内容': '可以 服务不错 态度挺好', '短评打分': 3}
{'短评内容': '酒店比较老，环境一般。不如照片漂亮。房间还是蛮大的，就是内部装修比较老土，入住的时候正在装修。比较乱。希望以后会好点。', '短评打分': 1}
{'短评内容': '房屋设施比较陈旧，正在装修有点吵。比起140的价格稍微有点贵。倒是服务人员都很热情，还是推荐入住。', '短评打分': 3}
{'短评内容': '酒店交通方便，停车场宽敞，卫生也还行，但正在改造，前楼有点乱。', '短评打分': 5}
{'短评内容': '  服务员态度一般,隔音不是很好,走廊走路说话房间里都能听见.性价比很低…', '短评打分': 3}
{'短评内容': '很好，很满意。', '短评打分': 3}
