{'短评内容': '没订到，，', '短评打分': 4}
{'短评内容': '环境很好，', '短评打分': 5}
{'短评内容': '位置很方便', '短评打分': 5}
{'短评内容': '巿中心方便', '短评打分': 5}
{'短评内容': '环境好，最好网上订的也送早餐。', '短评打分': 5}
{'短评内容': '很好，不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '服务态度不好', '短评打分': 3}
{'短评内容': '我住过的汉庭中最差的一家，', '短评打分': 2}
{'短评内容': '总体来说这是一家装修设备都陈旧的酒店，唯一的优势地理位置  一般', '短评打分': 4}
{'短评内容': '床很大，住的舒服', '短评打分': 5}
{'短评内容': '离步行街近，出行方便，房间宽敞，不错！', '短评打分': 5}
{'短评内容': '房间非常大，床也很大，环境很不错！楼下就是步行街，吃的逛的地方都很多，坐公交也很方便，很棒！', '短评打分': 4}
{'短评内容': '还可以，性价比高', '短评打分': 5}
