{'短评内容': '适合    两个人住', '短评打分': 5}
{'短评内容': '定了一晚，但是只住了3个小时就退房了，想让工作人员改成钟点房按照钟点房付费，服务人员不给改', '短评打分': 3}
{'短评内容': '性价比高，会再次选择', '短评打分': 5}
{'短评内容': '整体不错，房间虽然小些但还可以，只要干净卫生无需太大。给予整体好评！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '很干净，房间稍微有点小，早餐很不错', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还可以吧，就是房间太小了', '短评打分': 4}
{'短评内容': '酒店价格适宜，各项设施齐全，出差在外可以一住', '短评打分': 3}
{'短评内容': '总体不错，服务很好，面积有点小', '短评打分': 5}
{'短评内容': '很好很舒服，下次还会再来', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店环境不错，各方面都还行。服务也好', '短评打分': 4}
{'短评内容': '一如既往的满意，干净，床很舒服。', '短评打分': 3}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '价钱都可以，就是房间里的消费品不是那么规范，我房间里的扑克都已经拆封了，还少双拖鞋。。。。。。。郁闷。', '短评打分': 5}
