{'短评内容': '酒店的硬件还不错，对于这个价位的应该说是性价比比较高的', '短评打分': 5}
{'短评内容': '快乐健健康康快乐', '短评打分': 5}
{'短评内容': '有待改进', '短评打分': 3}
{'短评内容': '一般有待改进', '短评打分': 4}
{'短评内容': '价格实惠，房间较多，周围交通购物方便。楼下有饭馆和小商店，离天虹商场不太远，旁边不远还有乐海超市，蛮大的，小吃店和水果店也很多。', '短评打分': 4}
{'短评内容': '价格实惠，房间较多，周围交通购物方便。楼下有饭馆和小商店，离天虹商场不太远，旁边不远还有乐海超市，蛮大的，小吃店和水果店也很多。', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '房间稍微有点小，不过数量很多，网络还比较给力，洗澡也还不错。遗憾的是没有早餐。', '短评打分': 4}
{'短评内容': '房间还可以，个别房间卫生间味道比较大。周边环境不错，购物吃饭比较方便。', '短评打分': 4}
{'短评内容': '房间环境一般，不过价格不贵，性价比还行', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '靠近海边，环境好，购物乘车也方便。', '短评打分': 4}
