{'descr': '性价比高', 'star': 5}
{'descr': '担保不能一直确认，人家携程都给我打了几个电话了，不能确认，订单你又确认了？你们工作怎么衔接？', 'star': 1}
{'descr': '自己把预定时间搞错一天，客服为我们协调了几次和酒店接洽，酒店方面也很好，还是为我们预留了房间，只是房间水管爆裂给我们由豪华标间换成普通标间，还退了三十元，房间也很宽敞，工作人员帮我们拉行李，服务很不错，也很人性化，下次去玩还会继续预定！', 'star': 5}
{'descr': '酒店正在装修，又吵又乱，简直无法入住', 'star': 3}
{'descr': '酒店正在装修，又吵又乱，简直无法入住', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '还可以哟', 'star': 5}
{'descr': '总的来说还行，就是卫生方面需要提升一下', 'star': 3}
{'descr': '酒店位置、环境各方面都还可以。', 'star': 4}
{'descr': '可以吧', 'star': 5}
{'descr': '周围环境不错！外观大气！我喜欢！', 'star': 5}
{'descr': '位置好找，个人觉得离奥体还不远走一段就到了。交通很方便啊！！！交通真的很方便！环境也还蛮好的～干净，不吵。唯一的缺点就是没有窗户了…', 'star': 3}
{'descr': '整体体验不错，服务好，房间稍旧', 'star': 5}
{'descr': '还不错，推荐入住。。。。。。。', 'star': 3}
{'descr': '性价比高，但设施老化严重，估计多年没有更新设施了。出行方便，离地铁很近。', 'star': 3}
{'descr': '是一个有些年代的酒店了，以前读书的时候来住过，现在住起来感觉还是不一样', 'star': 5}
{'descr': '网站订购价格非常划算 设施不错 水大 冷气大 交通方便 退房时间晚 还有早餐 有机会的话还会再次入住的', 'star': 5}
{'descr': '服务很好，环境交通都很便利，这个价实惠', 'star': 3}
{'descr': '不错，房屋还比较舒适，宽敞，服务也不错!', 'star': 5}
{'descr': '很不错房间大，干净，态度也挺好，我会推荐给朋友', 'star': 5}
{'descr': '很不错，宽敞干净，位置也很方便下次还会来住', 'star': 5}
{'descr': '房间挺大，干净整洁，就是电脑收费另加30贵了', 'star': 5}
{'descr': '很不错的一间酒店，非常干净整洁，会推荐给朋友下次还来住', 'star': 1}
{'descr': '房间挺好的，性价比还可以，酒店人员也挺热情的，对得起这个价格，若再来有机会还会入住该酒店', 'star': 5}
{'descr': '不错的酒店，物美价廉。\n房间要是再大一些就好了。', 'star': 5}
{'descr': '还行，比速8差点还行，比速8差点还行，比速8差点还行，比速8差点', 'star': 1}
{'descr': '除了没窗户，空气不好以外，其他都算是满意', 'star': 5}
{'descr': '早餐一般般    房间太旧了    环境也有点吵', 'star': 1}
{'descr': '酒店的位置是比较偏不过离我办事的地方很近，价格倒不是太贵，房间空调制热差些其他设施还好。', 'star': 3}
{'descr': '房间里挺干净，电视空调网线都有，价格也不算贵，住的挺划算。', 'star': 5}
{'descr': '酒店装修的有点欧式风格，前台服务挺热情的，房间挺大挺舒适的。', 'star': 5}
{'descr': '干净卫生，服务热情，出行方便，价格合理。值得推荐。', 'star': 5}
{'descr': '酒店以黄色为主，看着挺干净挺清爽，基本设施都有，价格也挺合适，值得推荐。', 'star': 5}
{'descr': '价格挺实惠，位置挺好，出行挺方便，设施基本齐全，总体感觉还好。', 'star': 3}
{'descr': '酒店位置挺好，周边交通挺便利，娱乐购物吃饭也挺方便的。', 'star': 3}
{'descr': '前台服务和客房服务人员都挺好，房间收拾的挺干净整洁，洗漱用品也挺齐全，感觉挺不错。', 'star': 5}
{'descr': '房间宽敞明亮，基本设施都有，通风效果也不错，感觉挺舒适。', 'star': 5}
