{'descr': '位置好，一般想要去的地方都很近。房间大，暖气也可以，床很舒服。卫生很糟糕，座椅床头电话都是灰。屋子里有一股淡淡的霉味，又喷了些遮盖味道的东西，很难受。卫生间灯刚打开就一闪一闪的。洗发水非常难挤出来…', 'star': 3}
{'descr': '不错不错不错', 'star': 5}
{'descr': '住了3天，两天没热水，第2天没热水说第3天下午就好了，结果第三天大清早，水是冰冷的。………打扫过的房间没放拖鞋，晚上回宾馆，衣服脱换好了，给客服打电话，客服说自己下楼取吧。问能送吗？客服说等两三个小时吧。', 'star': 1}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '好评', 'star': 5}
{'descr': '很好，离火车站也近。', 'star': 5}
{'descr': '干净，暖和', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '住着很舒服，服务好', 'star': 5}
{'descr': '真心评价。因为在中央大街附近所以屋子不大。我们住的标间。但是卫生还是可以的。有个小小的窗户，可能因为是一楼吧。但是对于住宿没有特别要求的人是可以接受的。希望对别人有帮助。', 'star': 4}
{'descr': '好！！！！！！！！！！！！！！！！！！！！！！', 'star': 4}
{'descr': '设施好，服务佳，就是没有停车位', 'star': 5}
{'descr': '什么都很一般', 'star': 4}
{'descr': '安静，方便，出行首选！', 'star': 3}
{'descr': '一直是七天忠实的粉丝  希望七天能够有电脑更好', 'star': 1}
