{'短评内容': '暖和到有点热', '短评打分': 5}
{'短评内容': '工作人员服务到位，很认真细心。很开心再次来大连来锦江之星。', '短评打分': 5}
{'短评内容': '卫生很差，床也不好', '短评打分': 2}
{'短评内容': '真是扎的够丑的，睡着体感还可以，不过不怎么习惯，还是普通大床好，被子啥的看上去好旧啊，空调遥控原装的坏了吗，现在这个太难使了', '短评打分': 5}
{'短评内容': '位置不错，环境还好。', '短评打分': 5}
{'短评内容': '酒店位于俄罗斯风情街，交通便利，在快捷型酒店中，算还不错的', '短评打分': 5}
{'短评内容': '订的标准间，和图片上的根本不一样，那窗户小的可以忽略了，晚上到的也看不到外面，早上起来一看就是个假窗户一样的真窗户，窗户外就是个放室外机的狭长的道，根本就是阴暗的，失望，感觉给的不是标准间', '短评打分': 3}
{'短评内容': '还可以，酒店不大，不过挺有特色的！就是暑期去性价比不高啊！呵呵', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好吵好吵，真的受不了了！！！绝对是花钱买罪受！旁边是迪斯科舞厅，振得头晕脑胀！而且，晚上8点多，在看电视，突然一张色情名片就塞进来了，吓死人了。这里的锦江之星是不刷卡进电梯的，任何人都可以进来，真的很没安全感', '短评打分': 1}
{'短评内容': '非常一般', '短评打分': 3}
{'短评内容': '还可以，只是淋浴坏了，可能是个别房间吧，其他都挺好的！', '短评打分': 5}
{'短评内容': '环境很好特别干净，价位也不贵', '短评打分': 5}
{'短评内容': '环境很好 位置也不错 服务态度好', '短评打分': 5}
{'短评内容': '还可以吧，淋雨不好用，其他还可以！', '短评打分': 5}
