{'descr': '哈哈哈', 'star': 1}
{'descr': '挺好的地铁', 'star': 3}
{'descr': '地铁7号线挺近', 'star': 4}
{'descr': '特脏，房间气味大！', 'star': 2}
{'descr': '安居上课看不上课看斯巴达克看见弟弟看别人考虑吗不信被你喜欢万马奔腾老看我哦信任被孩子看你是女子看是你不懂', 'star': 5}
{'descr': '好好好好好好', 'star': 5}
{'descr': '住的是有窗户的，相对比同等价位的小旅馆来说这里还是不错的，环境简洁卫生，交通便利！', 'star': 5}
{'descr': '离要办事的地方近，地铁站不远，在北京，有地铁，去哪儿都便利。', 'star': 3}
{'descr': '这价格的住宿，蛮好的！', 'star': 5}
{'descr': '在北京这个价只能跟内地的4.50元的相比，真的不咋样，地段倒是还好，北京，北京，住宿太贵了，太贵啦！', 'star': 4}
{'descr': '价位不错 ', 'star': 5}
{'descr': '离北京站两站地，周边不远处有饭店，超市，可供生活所需，就是房间有点简陋，屋内设备太一般', 'star': 4}
{'descr': '点赞。安静。赞。出行必备。么么哒', 'star': 3}
{'descr': '一分钱 一分货', 'star': 2}
{'descr': '酒店位置挺好的，紧靠二环交通方便，卫生也挺不错，就是设施有点老了，关键是还没网络。对这个价格来说挺超值的。', 'star': 5}
{'descr': '酒店位置挺好的，紧靠二环交通方便。房间也挺干净，就是设施有点旧了，关键是还没网络。这个价格来说挺超值了。', 'star': 5}
{'descr': '环境还好啦，服务很不错，适合出差小住。', 'star': 5}
{'descr': '能够在北京城里找到这么便宜的旅馆很不错！\r\n需要改进的是被子、床单没有每天换，晚上还有蚊子叮，前台服务小姐表情冷漠，如果改进就更好了！', 'star': 4}
{'descr': '还可以，就在广渠门桥下面，位置还不错，就是房间有点小了，只有10来平米左右，不过这个价位也就这个级别了', 'star': 5}
{'descr': '地方有点小，没有电梯，门卡开不了门，房间隔音效果不算太好，不过周围环境还可以！', 'star': 5}
{'descr': '房间如其名，比较小，设施不怎么新，但整体来讲，这个地段，这个价格还说的过去', 'star': 5}
{'descr': '地方真的很迷你… 地方超小  不算太干净  总觉得198元住这种地方有点儿不划算  ', 'star': 3}
{'descr': '入住了酒店不大，环境不是特好', 'star': 3}
{'descr': '好难找！从火车站来最好打车', 'star': 3}
{'descr': '这个地段这个价格还是可以了，交通方便', 'star': 3}
{'descr': '位置还算可以 交通比较方便 房间面积有点小 但在北京这个价位超值了', 'star': 5}
{'descr': '史上最差的旅馆没有之一。。。订的标间最后只给了个没有网的双人间。。。隔音效果各种差。。。', 'star': 1}
{'descr': '地点不错，游玩方便。', 'star': 3}
{'descr': '位置不错，但是环境差。', 'star': 3}
{'descr': '总体价位还是可以接受！在北京一百多能住这样房间很好了。洗澡间比较小。', 'star': 3}
{'descr': '不怎么好，晚上不安静。卫生差。再也不去住了。', 'star': 3}
{'descr': '有些失望', 'star': 3}
{'descr': '一进屋 地上有床单杂物 卫生间厕所没冲 洗漱用品没换新的 没有喝的热水 水杯只有一个 空调没有遥控器 墙边堆着板子。各种失望。', 'star': 3}
{'descr': '打空调燥声大，不打开还太冷。卫生太一般。服务也不好。', 'star': 3}
{'descr': '。昨晚入住迷你酒店，服务态度不错。但是空调开了一晚都没点效果。冷。', 'star': 3}
{'descr': '房间破旧不说，订单又脏而且还有几个洞，服务人员的意识也不够，希望朋友们不要去那家店体验！', 'star': 1}
{'descr': '卫生环境一般。洗澡冷热水调节伐好像坏了。', 'star': 3}
{'descr': '墙壁估计很久没刷了，楼道走廊的卫生也不是很好，188元电脑房感觉不值。', 'star': 1}
{'descr': '酒店整体给人感觉很温馨,不大也不小,布局也比较合理,就是在二环边上有点吵,当然交通算是便利', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '对了，还要补充一下，   那个换的毛巾，，我服了，，，，叫她换了，居然上面还不干净，，，有类似锈迹，还是血迹的，，，红红的，，，换的速度，很慢，，，洗个澡，，还得等大半个小时！！！', 'star': 1}
{'descr': '环境一般，房间也很小。。设备很差，下次不准备再住。。', 'star': 1}
{'descr': '住宿条件、地段和价钱成正比，你知道的～～三人间是两张大床的普通双人间。', 'star': 1}
{'descr': '酒店环境太差，房间超小，设施陈旧，质价不符！', 'star': 1}
{'descr': '還不錯.一百多元的在北京这个位置性價比相對可以了.訂了兩天結果又多訂了兩天`..房間小小的.簡簡單單.還行拉.就是冷氣機和馬路的噪音太大.前台服務還可以..打電話叫外賣也方便.整體感覺就一小宾馆。', 'star': 5}
{'descr': '优点：迷你确实很迷你，这点可以，毕竟有空调！\n缺点：但是我不理解会什么床单和漱口杯，茶杯这些都脏的？', 'star': 1}
{'descr': '条件还不错，服务也好，价格也比较实惠，挺好的…', 'star': 3}
{'descr': '房间设施陈旧，服务一般\n卫生差，床单，被罩，枕巾，地板都没有仔细的清洗\n不过好在价格便宜，房间小是北京普遍的状况\n如果你想选择价格便宜而且长时间入住的话，可以考虑这家酒店\n', 'star': 5}
