{'短评内容': '整洁干净很满意！', '短评打分': 5}
{'短评内容': '总体还好吧', '短评打分': 4}
{'短评内容': '酒店位置较偏，附近正在修路，周边大环境较差，房间窗口望去是一堆垃圾，房间算比较大，但设施和卫生真不怎么好！300多一个标间感觉不值！', '短评打分': 3}
{'短评内容': '没有早餐，房间很大，很舒服', '短评打分': 5}
{'短评内容': '条件很差，离市区也远。无早。也可以叫酒店', '短评打分': 1}
{'短评内容': '来的不是时候，没有热水供应，无线网差的不加评论，附近仅有这一家，酒店开发的太少了。', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '离城好远，除了自己一楼的餐厅，旁边没有什么，不过好在餐厅的菜味道不错', '短评打分': 2}
{'短评内容': '国庆期间，酒店爆满。前一晚订房，携程很给力！免了露宿街头的尴尬。这个酒店距离市中心有10来公里，不是问题。住宿和餐饮一体的。房间比较大，设施不错但有些陈旧了。饭菜量很大，味道也不错。唯一遗憾的是处于滨湖路边，也是延安风沙大的特点吧，加上大车多，虽然酒店是双层窗户，但尘土还是有的。总体给四星。', '短评打分': 4}
{'短评内容': '条件一般！离市区较远！', '短评打分': 3}
{'短评内容': '周边环境差，出行较方便。设施不合理，', '短评打分': 1}
{'短评内容': '比较偏，环境不好', '短评打分': 4}
{'短评内容': '房间床有些久了，睡着都能感觉到里面的弹簧，酒店周边比较荒凉，房间较贵，国庆出去的，也就将就了。', '短评打分': 4}
{'短评内容': '由于房源紧张，只能定在机场周围，比较陈旧，卫生间居然还堵塞，价格还这么贵', '短评打分': 3}
{'短评内容': '还行吧！', '短评打分': 4}
