{'短评内容': '还好还好哈哈哈哈哈', '短评打分': 5}
{'短评内容': '非常舒适', '短评打分': 5}
{'短评内容': '地下停车场不大，旁边有个货运火车', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 4}
{'短评内容': '满意哟', '短评打分': 5}
{'短评内容': '完了。没房了。只好换一家。京东好久不接单。', '短评打分': 5}
{'短评内容': '挺不错的哦', '短评打分': 5}
{'短评内容': '位置优越，性价比高，可以续住。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '在黄石这种城市，这家酒店距湖北师范大学较近，周围设施齐全，交通方便，酒店性价比高，服务热情，以后去还会再住的。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '对房间很满意 房间大干净 住的很满意', '短评打分': 4}
{'短评内容': '位置很好，交通便利。价格适中，每次出差去黄石都住。同事也说环境比较好。', '短评打分': 5}
{'短评内容': '交通方便，服务热情，设施新。', '短评打分': 5}
{'短评内容': '服务不错，位置比较中心，设施比较新', '短评打分': 5}
